,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,1.29,3.88,2.3,8.83,4.61,6.5,3.7,11.0,6.4,2.84,3.26,2.76,1.7,8.73,Sciences,Ok,Good,1.0,0.0,0.0,Bertha Thompson,African-American,female,2.0,Canada,34.0,94089
1,0.65,3.52,2.4,7.84,3.61,1.54,2.4,24.0,3.8,0.73,0.55,-1.65,-2.13,3.96,Engineering,Ok,Good,0.0,0.0,0.0,Sandra Monton,African-American,female,2.0,USA,34.0,94027
2,-1.3,2.77,3.1,-0.37,2.25,-4.57,0.0,18.0,0.0,-4.5,0.88,-2.58,-1.67,5.21,Engineering,None,Bad,1.0,1.0,0.0,Adele Kealoha,African-American,female,0.0,USA,25.0,95035
3,-0.65,2.85,2.0,1.4,3.22,0.35,0.0,45.0,3.8,0.71,2.83,1.98,1.61,8.81,Engineering,None,Good,1.0,0.0,0.0,Elizabeth Simpson,African-American,female,0.0,USA,24.0,94105
4,-0.66,2.42,1.8,2.61,2.46,-2.52,0.0,43.0,5.3,2.18,0.03,-2.29,-2.47,3.53,Quantitative,Ok,Good,1.0,0.0,0.0,Darlene Bravo,African-American,female,0.0,USA,25.0,94014
5,-0.8,3.65,1.1,4.92,3.8,1.07,0.0,42.0,5.5,2.27,2.55,2.22,1.59,8.58,Humanities,Very Good,Bad,0.0,0.0,0.0,Marguerite Crider,African-American,female,0.0,USA,30.0,94605
6,0.17,2.97,0.6,1.91,1.68,-3.1,0.0,17.0,6.8,3.25,1.2,0.49,1.84,9.35,Quantitative,None,Good,0.0,1.0,0.0,Kristen Archie,African-American,female,0.0,USA,23.0,94301
7,0.05,2.72,2.9,4.97,3.24,0.33,0.0,67.0,3.3,0.48,0.0,-3.11,-2.32,4.28,Engineering,Ok,Good,0.0,0.0,0.0,Jada Silkwood,African-American,female,0.0,USA,26.0,94598
8,-0.69,2.62,0.6,2.67,2.21,-2.95,0.0,54.0,0.0,-3.44,3.03,0.91,-0.12,6.72,Quantitative,Ok,Bad,0.0,0.0,0.0,Denise Dean,African-American,female,0.0,USA,27.0,94121
9,-0.0,3.25,1.7,3.64,2.91,-0.13,0.0,65.0,2.3,-0.16,1.14,-1.12,-1.24,5.4,None,Ok,Good,0.0,0.0,0.0,Jennifer Flores,African-American,female,0.0,USA,27.0,94556
10,-0.76,3.52,0.4,3.81,3.01,-0.94,2.0,18.0,3.4,0.17,1.59,1.5,2.44,9.94,Quantitative,Very Good,Bad,0.0,0.0,0.0,Carol Knowlton,African-American,female,1.0,USA,30.0,95035
11,-0.77,2.95,2.9,2.89,2.99,-1.8,3.1,22.0,4.8,1.58,0.08,-5.25,-3.84,2.8,Engineering,Very Good,Good,0.0,0.0,0.0,Connie Robinson,African-American,female,1.0,USA,29.0,94061
12,-1.22,2.72,0.3,0.75,1.77,-4.72,2.2,33.0,3.3,0.13,3.02,-1.14,-0.76,6.77,Quantitative,Ok,Good,0.0,1.0,1.0,Mary Crosby,African-American,female,1.0,USA,24.0,94010
13,0.53,2.61,1.4,3.64,3.1,2.18,2.4,6.0,3.8,0.47,2.43,0.23,0.62,8.05,Engineering,Very Good,Good,0.0,0.0,0.0,Jane Westberry,African-American,female,1.0,USA,27.0,94043
14,-0.41,3.1,2.8,-0.81,2.77,-0.44,0.0,11.0,5.4,2.24,0.47,-3.48,-2.36,4.49,Engineering,Ok,Good,0.0,0.0,0.0,Ida Gardner,African-American,female,1.0,USA,22.0,94089
15,-0.37,3.3,2.8,2.83,2.85,-1.46,1.6,56.0,2.0,-0.77,4.66,4.86,3.78,11.36,Engineering,Ok,Bad,0.0,0.0,0.0,Martha Leavens,African-American,female,1.0,USA,27.0,94595
16,-1.42,3.14,2.1,-0.21,1.95,-5.45,0.0,24.0,3.2,0.06,2.64,2.1,2.23,9.64,Engineering,None,Bad,0.0,0.0,1.0,Jackie Thompson,African-American,female,1.0,Canada,25.0,94027
17,-0.81,2.98,2.3,2.87,2.58,-3.04,0.0,24.0,3.3,0.63,3.2,0.92,1.15,8.8,Engineering,None,Good,0.0,0.0,0.0,Karen Hunt,African-American,female,1.0,USA,26.0,94027
