,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,0.13,2.26,1.2,3.2,2.69,0.45,0.0,5.0,1.4,-1.82,1.04,-2.24,-1.83,4.96,Quantitative,Very Good,Good,0.0,0.0,0.0,Brandi Littles,Asian,female,0.0,USA,29.0,94043
1,-0.06,2.86,1.6,4.4,2.3,-2.59,0.0,0.0,0.3,-2.78,1.72,0.38,-0.01,6.78,Quantitative,Very Good,Bad,0.0,0.0,0.0,Anita Mcgrane,Asian,female,0.0,USA,27.0,94040
2,-0.49,3.07,2.4,0.8,2.76,-1.15,0.0,19.0,7.0,3.44,0.68,-1.92,-2.42,3.71,Quantitative,Very Good,Good,0.0,0.0,0.0,Phyllis Steward,Asian,female,0.0,Canada,22.0,94304
3,-0.13,2.62,2.6,1.8,2.93,0.15,0.0,29.0,3.7,0.57,2.51,2.24,2.43,9.83,Engineering,None,Good,0.0,0.0,0.0,Amy Guthrie,Asian,female,0.0,USA,30.0,94560
4,-0.74,2.53,1.2,1.2,2.07,-3.32,0.0,23.0,4.2,1.08,0.0,-3.58,-3.28,2.86,Quantitative,Ok,Bad,1.0,1.0,0.0,Carmen Trojanowski,Asian,female,0.0,USA,24.0,94028
5,-0.98,2.78,0.5,1.2,1.24,-6.52,0.0,40.0,0.0,-2.68,1.19,-1.5,-0.83,6.2,Humanities,Ok,Good,0.0,1.0,1.0,Linda Ballard,Asian,female,0.0,USA,25.0,94603
6,1.39,3.28,1.8,8.5,4.22,5.76,0.0,27.0,1.1,-1.84,1.38,-2.34,-1.9,4.97,Sciences,Very Good,Good,1.0,0.0,0.0,Ida Brown,Asian,female,2.0,USA,31.0,94070
7,0.08,2.87,1.7,3.2,2.43,-1.19,0.0,18.0,7.6,3.96,2.99,2.77,2.49,9.78,Humanities,None,Bad,0.0,1.0,0.0,Helen Reed,Asian,female,0.0,Australia,27.0,95035
8,-0.29,3.47,2.4,4.3,3.26,-0.24,0.0,70.0,3.6,0.84,0.9,-1.37,-1.03,5.74,Humanities,None,Good,0.0,0.0,0.0,Tessie Cohen,Asian,female,0.0,USA,28.0,94903
9,-0.65,2.8,0.8,0.6,1.67,-4.29,0.0,39.0,4.3,1.42,2.15,0.3,-0.34,6.23,Engineering,Ok,Bad,0.0,1.0,1.0,Lisa Donahue,Asian,female,0.0,USA,22.0,94578
10,1.04,3.0,2.0,7.0,3.91,4.43,0.0,37.0,9.0,5.41,0.5,-2.82,-2.06,4.6,Quantitative,Very Good,Good,1.0,0.0,0.0,Joe Grant,Asian,female,2.0,USA,31.0,94545
11,0.19,3.1,2.3,6.2,3.11,-0.36,0.0,21.0,2.6,-0.5,0.83,-2.54,-1.99,4.65,Engineering,None,Bad,0.0,0.0,0.0,Susan Morin,Asian,female,0.0,USA,29.0,94538
12,-0.01,3.01,2.1,3.4,2.77,-0.91,0.0,48.0,3.4,0.51,0.52,-4.17,-3.18,3.65,Engineering,None,Bad,0.0,0.0,0.0,Sonya Velasquez,Asian,female,1.0,China,27.0,94109
13,-0.51,2.88,2.5,4.4,3.25,-0.44,0.0,38.0,3.0,0.23,2.27,0.77,1.03,8.35,Humanities,Ok,Bad,0.0,0.0,0.0,Amie Vargas,Asian,female,1.0,USA,26.0,94586
14,1.05,2.66,3.2,7.5,3.69,3.04,0.0,49.0,1.7,-1.01,0.75,-1.75,-0.39,6.85,Quantitative,Ok,Good,0.0,1.0,0.0,Marilynn Blackwell,Asian,female,1.0,USA,30.0,94502
15,-0.68,2.47,1.1,-1.9,1.87,-2.57,0.0,43.0,3.2,-0.0,1.32,-0.4,-0.83,5.7,Sciences,Ok,Bad,0.0,0.0,0.0,Anita Hamilton,Asian,female,1.0,USA,24.0,94014
16,0.16,3.15,3.0,2.7,4.04,4.14,0.0,51.0,0.8,-1.66,1.72,-0.44,0.08,7.22,Engineering,Very Good,Good,1.0,0.0,0.0,Betty Brown,Asian,female,1.0,USA,30.0,94618
17,0.23,3.19,2.5,7.6,3.54,1.03,0.0,34.0,0.0,-3.19,1.49,-1.75,-2.21,4.25,Humanities,Ok,Good,0.0,0.0,0.0,Noel Svec,Asian,female,1.0,USA,31.0,94030
18,-0.35,3.01,3.3,2.6,3.63,1.44,0.0,77.0,4.1,1.38,3.3,2.39,1.63,8.89,Quantitative,Ok,Good,0.0,0.0,0.0,Karen Powell,Asian,female,1.0,USA,27.0,94945
19,-0.41,3.53,2.5,5.6,3.81,0.8,1.3,56.0,1.1,-1.68,1.97,-0.63,-1.47,4.99,Quantitative,Ok,Good,0.0,0.0,0.0,Catherine Zenker,Asian,female,1.0,USA,32.0,94595
20,0.13,4.16,1.0,5.4,4.31,4.57,0.0,24.0,3.4,0.35,2.07,-0.18,-0.59,6.35,Quantitative,Ok,Good,1.0,0.0,0.0,Irene Gibbs,Asian,female,1.0,USA,30.0,94027
21,0.32,3.0,1.5,4.7,3.65,3.26,0.0,25.0,2.0,-0.78,2.94,2.39,2.16,9.56,Quantitative,Very Good,Good,1.0,0.0,0.0,Ashley Rivera,Asian,female,2.0,Australia,26.0,94539
22,0.23,3.67,1.8,9.1,4.69,4.84,0.0,7.0,9.6,5.85,1.96,0.34,0.5,7.57,Quantitative,Very Good,Good,0.0,0.0,0.0,Margarite Hagen,Asian,female,2.0,USA,31.0,94043
23,-0.15,2.96,1.3,1.3,1.89,-2.9,2.7,50.0,4.1,1.07,1.0,-1.35,-0.79,6.15,Quantitative,None,Good,0.0,1.0,0.0,Myrtle Parsons,Asian,female,0.0,USA,27.0,94609
24,-0.48,2.62,1.6,2.0,1.47,-5.75,0.0,4.0,3.3,0.01,0.47,-3.07,-2.94,3.45,Sciences,None,Good,0.0,0.0,1.0,Tennille Lacey,Asian,female,0.0,USA,25.0,94040
25,-0.01,3.05,2.7,6.7,3.39,-0.02,0.0,46.0,1.4,-1.27,2.34,1.29,1.36,8.65,Engineering,None,Good,0.0,0.0,0.0,Meredith Markham,Asian,female,0.0,USA,28.0,94019
