,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,0.01,2.31,1.6,1.36,1.82,-2.77,0.0,24.0,4.9,1.85,0.73,-1.58,-2.34,3.77,Engineering,Ok,Bad,1.0,0.0,0.0,Julie Gray,Other,female,0.0,USA,25.0,94027
1,-2.88,2.64,1.5,-5.19,0.97,-9.88,1.7,47.0,2.3,-0.54,2.43,0.42,0.74,8.17,Engineering,Very Good,Bad,0.0,0.0,0.0,Jeanne Mann,Other,female,0.0,USA,21.0,94114
2,1.21,2.67,2.1,3.58,2.41,0.66,0.0,28.0,5.0,1.81,2.91,1.9,1.2,8.24,Engineering,Ok,Good,0.0,0.0,0.0,Isadora Norman,Other,female,0.0,USA,27.0,94402
3,-0.03,3.29,2.4,7.42,3.84,1.53,0.0,1.0,7.4,3.68,1.15,1.43,1.7,8.63,Quantitative,Ok,Good,1.0,0.0,0.0,Frances Atencio,Other,female,0.0,USA,33.0,94040
4,-0.03,2.69,2.2,4.63,2.87,-0.5,0.0,10.0,1.9,-1.24,2.06,-0.21,0.15,7.43,Engineering,Very Good,Bad,0.0,0.0,0.0,Judith Murphy,Other,female,0.0,USA,29.0,94085
5,0.24,2.43,2.3,2.48,3.09,1.74,0.0,26.0,1.8,-1.18,1.72,-1.87,-1.57,5.38,Humanities,Ok,Good,0.0,0.0,0.0,Sylvia Lugo,Other,female,0.0,USA,25.0,94403
6,0.09,3.07,1.5,4.75,3.23,0.94,0.0,38.0,3.1,0.13,2.32,0.01,0.31,7.55,Sciences,None,Good,0.0,0.0,0.0,Regina Hills,Other,female,1.0,USA,27.0,94586
7,-0.22,2.53,2.0,2.27,2.39,-1.88,0.0,29.0,1.7,-1.06,1.8,-1.17,-1.58,5.03,Engineering,None,Good,0.0,0.0,0.0,Michelle Swan,Other,female,1.0,USA,25.0,94560
8,-0.91,3.02,0.6,5.84,2.31,-4.29,1.7,83.0,2.0,-0.32,1.8,0.48,0.21,7.12,Engineering,None,Good,0.0,0.0,0.0,Judith Hernandez,Other,female,1.0,USA,32.0,94503
9,0.33,2.55,2.2,1.81,3.15,2.11,0.0,77.0,0.6,-1.74,0.69,-2.52,-2.46,3.96,Quantitative,Very Good,Good,0.0,0.0,0.0,Ellen White,Other,female,2.0,USA,26.0,94945
10,0.74,3.69,3.6,6.15,4.25,4.14,0.0,31.0,6.9,3.59,1.1,-2.61,-1.73,5.25,Quantitative,Very Good,Good,1.0,0.0,0.0,Heather Gannon,Other,female,2.0,USA,29.0,94544
11,0.53,3.03,2.5,4.48,3.53,2.65,2.3,71.0,3.7,1.09,2.21,-1.31,-0.97,6.05,Engineering,Very Good,Good,0.0,0.0,0.0,Anne Urbine,Other,female,2.0,USA,28.0,94509
