,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,-0.38,3.22,1.2,3.81,2.52,-2.27,0.0,47.0,3.6,0.52,2.3,0.35,-0.35,6.44,Engineering,None,Good,0.0,0.0,0.0,Samuel Socha,Other,male,0.0,USA,28.0,94114
1,-1.75,2.61,1.0,-2.32,1.89,-4.91,0.0,70.0,0.0,-2.65,4.32,4.48,3.85,11.68,Engineering,None,Bad,0.0,0.0,0.0,Wallace Bassett,Other,male,0.0,USA,21.0,94903
2,1.25,3.5,2.1,7.59,4.06,4.79,0.0,3.0,4.2,0.65,2.12,2.32,1.87,8.83,Humanities,Ok,Good,1.0,0.0,0.0,Rene Adams,Other,male,2.0,China,30.0,94040
3,0.71,3.31,1.8,2.62,3.09,2.25,0.0,14.0,2.5,-0.41,2.82,2.89,2.25,9.43,Engineering,None,Good,0.0,0.0,0.0,Anthony Mcmillin,Other,male,2.0,USA,24.0,95002
4,0.42,2.73,3.1,2.1,3.25,2.09,0.0,64.0,1.2,-1.27,2.96,3.5,3.48,10.99,Engineering,Very Good,Good,0.0,0.0,0.0,Clement Messer,Other,male,0.0,USA,30.0,94525
5,0.27,3.35,0.8,2.58,2.33,-1.08,0.0,31.0,0.0,-3.26,1.88,-0.34,-0.55,6.18,Quantitative,Ok,Bad,0.0,0.0,0.0,Lee Brooks,Other,male,0.0,USA,29.0,94544
6,-1.7,2.21,0.7,1.81,1.74,-6.31,0.0,41.0,4.2,1.2,0.0,-3.44,-2.86,3.59,Engineering,Ok,Bad,0.0,0.0,0.0,Rickey Dehart,Other,male,0.0,USA,26.0,94542
7,0.57,3.3,2.1,6.4,3.48,1.83,1.5,17.0,2.7,-0.2,2.06,0.84,0.71,7.8,Engineering,Ok,Good,0.0,0.0,0.0,Jay Williams,Other,male,0.0,USA,31.0,94301
8,-1.95,1.99,1.5,-1.31,1.21,-7.99,0.0,1.0,1.9,-1.17,3.55,2.32,1.99,9.52,Quantitative,Ok,Bad,0.0,0.0,0.0,Timothy Smith,Other,male,1.0,USA,25.0,94040
9,-0.09,3.87,1.4,5.82,3.56,1.06,0.0,8.0,4.8,1.14,2.66,2.56,1.94,8.9,Quantitative,Ok,Good,0.0,0.0,0.0,Eduardo Powers,Other,male,1.0,USA,27.0,94085
10,-0.31,2.67,1.6,1.92,2.13,-2.81,0.0,52.0,1.6,-1.17,2.15,0.58,1.66,9.4,Engineering,None,Bad,0.0,0.0,0.0,Leonard Mccabe,Other,male,1.0,USA,26.0,94611
11,0.22,2.46,1.1,3.81,2.36,-1.08,1.9,39.0,2.3,-0.65,2.39,0.98,0.95,8.08,Engineering,Ok,Good,0.0,0.0,0.0,Alan Marks,Other,male,1.0,USA,29.0,94578
12,-0.12,3.53,3.2,4.6,4.41,3.66,0.8,13.0,0.9,-2.19,2.27,0.86,1.38,8.85,Engineering,Very Good,Good,0.0,0.0,0.0,Scott May,Other,male,1.0,USA,27.0,94022
13,0.3,2.64,2.3,3.89,2.81,-0.03,2.5,49.0,3.8,0.85,2.69,2.15,1.91,9.23,Engineering,None,Good,1.0,0.0,0.0,Clifford Williams,Other,male,0.0,USA,27.0,94502
14,0.44,3.16,1.9,6.09,4.45,5.4,0.0,61.0,0.0,-3.23,0.41,-2.81,-2.88,3.23,Engineering,Ok,Good,0.0,0.0,0.0,Robert Lehrke,Other,male,2.0,USA,30.0,94707
15,1.62,3.14,2.5,10.57,4.41,6.12,0.0,51.0,3.3,0.23,1.32,-1.96,-2.0,4.62,Quantitative,Ok,Good,1.0,0.0,0.0,Keith Gonzalez,Other,male,2.0,USA,34.0,94618
16,-0.68,3.51,3.6,2.03,3.71,0.88,0.0,56.0,2.4,-0.05,1.44,-0.85,0.18,7.38,Engineering,None,Bad,1.0,0.0,0.0,Ralph Hunt,Other,male,0.0,USA,25.0,94595
17,0.28,3.68,1.7,4.56,3.26,1.3,0.0,30.0,4.7,1.52,2.92,2.91,2.87,10.39,Quantitative,Ok,Good,0.0,0.0,0.0,Damian Prewett,Other,male,0.0,China,30.0,94587
