Names,Race,Gender,Sports,Birth Origin,Age,Zip,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Military Tenure,Avg Commute Time,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record
Devon Gray,Caucasian,male,2.0,USA,30.0,94301,5,3.77,0.72,9.0,4.68,0.0,17.0,0.39,1.74,-2.25,-2.6,Engineering,None,Good,0.0,0.0,0.0
Carolyn Mannino,African-American,female,1.0,USA,35.0,94089,5,3.15,0.52,9.5,2.88,0.0,11.0,0.6200000000000001,1.42,-1.08,-0.32,Quantitative,Ok,Good,1.0,0.0,0.0
Brian Green,Caucasian,male,2.0,USA,35.0,94025,5,2.73,0.72,7.0,3.42,2.0,20.0,0.51,0.29,-2.87,-3.33,Engineering,Ok,Good,1.0,0.0,0.0
Stacey Stewart,Caucasian,female,2.0,USA,32.0,94544,5,3.31,0.6,10.0,4.8,0.0,32.0,2.48,1.6,-2.14,-2.27,Engineering,Very Good,Good,1.0,0.0,0.0
Ronnie Thurman,Caucasian,male,1.0,USA,30.0,94510,5,3.35,0.2,8.0,3.39,0.0,69.0,-1.63,2.48,1.13,1.99,Engineering,Very Good,Good,1.0,0.0,0.0
Thomas Aycock,Asian,male,1.0,China,27.0,94611,5,3.37,0.66,2.0,3.58,0.0,52.0,0.63,2.47,2.48,2.98,Engineering,Very Good,Good,1.0,0.0,0.0
Anthony Settle,Caucasian,male,2.0,Canada,35.0,94578,5,2.77,0.64,9.5,3.76,0.0,39.0,-1.09,2.92,0.95,0.79,Engineering,None,Good,1.0,0.0,0.0
Theresa Hudson,Hispanic,female,2.0,USA,29.0,94010,5,3.72,0.52,7.5,2.84,0.0,33.0,-0.89,2.13,0.69,1.58,Engineering,Very Good,Good,1.0,0.0,0.0
Lorraine Thomas,African-American,female,2.0,USA,32.0,94105,5,3.07,0.28,10.5,2.66,0.0,45.0,-0.03999999999999998,3.85,2.78,1.99,Engineering,Ok,Good,1.0,0.0,0.0
Viola Williams,Caucasian,female,2.0,USA,31.0,94085,5,2.98,0.38,8.5,3.2,0.0,9.0,-0.46,1.4,-1.19,-1.28,Engineering,Very Good,Good,1.0,0.0,0.0
Kenny Nhek,Other,male,1.0,USA,33.0,94586,5,3.31,0.54,9.0,3.59,0.0,38.0,-1.32,2.12,1.33,1.7,Engineering,Ok,Good,1.0,1.0,0.0
Jeffrey Riggle,Asian,male,2.0,USA,29.0,94121,5,3.96,0.76,9.0,5.01,0.0,54.0,1.08,1.86,0.12,-0.11,Quantitative,Ok,Good,1.0,0.0,0.0
Christopher Krasley,Asian,male,1.0,USA,29.0,94304,5,2.81,0.4,7.0,3.84,0.0,19.0,-0.84,1.94,0.07,0.18,Engineering,Very Good,Good,1.0,1.0,0.0
