,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,-1.95,2.42,0.4,0.1,1.4,-7.27,0.0,2.0,3.2,-0.21,3.37,2.2,1.55,8.86,Quantitative,Ok,Bad,0.0,1.0,1.0,Amy Bowles,Caucasian,female,0.0,Canada,21.0,94040
1,-0.92,1.96,0.7,0.69,1.15,-6.34,3.2,68.0,5.0,1.86,1.95,-1.56,-1.58,5.26,Engineering,None,Good,0.0,1.0,1.0,Felisa Owens,Caucasian,female,0.0,USA,26.0,94569
2,0.63,2.98,2.4,2.79,3.27,2.45,0.0,11.0,2.8,-0.37,2.65,1.45,0.8,7.79,Quantitative,Very Good,Good,0.0,1.0,0.0,Angela Joseph,Caucasian,female,2.0,USA,25.0,94089
3,-0.18,3.56,2.7,2.12,3.48,1.48,3.8,13.0,5.7,2.2,1.83,-1.12,-1.3,5.3,Sciences,Ok,Good,0.0,0.0,0.0,Andrea Davis,Caucasian,female,2.0,USA,30.0,94022
4,0.26,3.72,1.7,7.21,3.62,1.5,0.0,25.0,5.4,1.77,0.0,-3.12,-2.33,4.32,Engineering,Ok,Good,0.0,1.0,0.0,Margaret Covington,Caucasian,female,0.0,USA,34.0,94539
5,-0.36,2.91,1.1,0.75,1.98,-2.94,0.0,3.0,4.5,1.21,1.71,-0.73,0.41,7.78,Quantitative,Ok,Bad,0.0,1.0,1.0,Leisha Tunney,Caucasian,female,0.0,Canada,22.0,94040
6,0.82,2.79,1.9,3.38,2.58,0.37,0.0,11.0,3.3,0.03,2.16,-0.96,-0.08,7.42,Engineering,Ok,Good,0.0,0.0,0.0,Theresa Adams,Caucasian,female,0.0,USA,27.0,94089
7,1.5,3.01,4.7,6.98,5.03,8.12,0.0,2.0,6.9,3.32,1.79,-0.7,-0.87,5.93,Quantitative,Very Good,Bad,1.0,0.0,0.0,Mary Furbush,Caucasian,female,2.0,USA,33.0,94040
8,-0.14,2.41,1.3,1.65,1.95,-2.76,0.0,52.0,0.0,-4.68,0.46,-2.88,-1.51,5.52,Engineering,Ok,Bad,0.0,1.0,0.0,Jennifer Cox,Caucasian,female,0.0,USA,23.0,94611
9,-1.74,2.97,1.3,-1.01,1.88,-5.67,3.9,50.0,6.0,2.57,1.59,-1.35,-1.47,5.27,Engineering,None,Bad,0.0,1.0,1.0,Susan Bynum,Caucasian,female,0.0,USA,25.0,94609
10,-0.23,3.39,2.0,1.56,2.99,0.27,0.0,70.0,0.0,-2.51,1.6,-1.31,-1.47,5.16,Quantitative,None,Good,0.0,0.0,0.0,Cynthia Butler,Caucasian,female,0.0,USA,22.0,94903
11,0.24,2.74,2.5,0.6,2.46,-0.29,0.0,21.0,3.4,0.36,2.36,1.31,0.94,7.98,Quantitative,Ok,Bad,0.0,1.0,0.0,Melody Bruns,Caucasian,female,0.0,USA,24.0,94538
12,0.15,2.69,3.8,1.28,2.31,-2.14,0.0,12.0,3.2,0.08,1.74,0.19,0.87,8.12,Engineering,Ok,Good,0.0,0.0,0.0,Patricia Schmitke,Caucasian,female,0.0,USA,24.0,94087
13,-1.34,2.21,2.1,-1.04,1.69,-5.59,0.0,53.0,2.1,-0.6,1.57,-1.32,-1.77,4.67,Humanities,None,Good,0.0,1.0,1.0,Benita Reynolds,Caucasian,female,0.0,USA,21.0,94549
14,-0.42,2.77,2.1,-1.12,2.18,-2.07,3.6,32.0,5.9,2.52,0.63,-2.12,-2.18,4.28,Quantitative,Ok,Good,0.0,0.0,0.0,Rose Hawkins,Caucasian,female,0.0,USA,25.0,94544
15,0.57,3.03,0.7,6.09,2.96,1.15,2.3,34.0,2.9,-0.48,3.2,2.09,0.99,7.92,Engineering,Ok,Good,0.0,0.0,0.0,Cory Gerber,Caucasian,female,0.0,USA,30.0,94030
16,1.27,3.04,3.5,2.41,3.75,5.16,0.0,48.0,4.2,1.47,0.44,-2.59,-2.01,4.63,Quantitative,Ok,Good,0.0,0.0,0.0,Terry Hirt,Caucasian,female,2.0,Canada,25.0,94109
17,0.84,3.55,1.6,4.73,4.03,5.21,0.0,45.0,2.7,0.14,2.88,2.03,2.24,9.86,Engineering,Very Good,Good,1.0,0.0,0.0,Joyce Reeves,Caucasian,female,2.0,USA,25.0,94105
18,-0.85,3.31,2.4,5.27,3.92,0.79,0.0,9.0,3.4,0.13,2.68,2.47,2.28,9.59,Sciences,Ok,Good,1.0,0.0,0.0,Audrey Meyer,Caucasian,female,0.0,USA,30.0,94085
19,0.09,2.75,1.4,2.89,1.99,-2.51,3.7,39.0,5.9,2.58,1.91,0.09,-0.07,6.8,Humanities,None,Bad,0.0,0.0,1.0,Joann Scharmer,Caucasian,female,0.0,USA,26.0,94578
20,-0.75,2.49,3.3,2.01,2.29,-4.01,2.2,13.0,3.9,0.58,1.73,-0.35,0.12,7.2,Quantitative,None,Good,0.0,1.0,1.0,Allison Barnes,Caucasian,female,0.0,USA,26.0,94022
21,0.16,3.52,2.2,5.94,3.77,2.06,0.0,16.0,4.8,1.45,1.02,-1.11,-1.39,5.08,Quantitative,Very Good,Good,0.0,0.0,0.0,Carol Trexler,Caucasian,female,2.0,Canada,29.0,95134
22,-0.92,3.33,2.7,3.75,3.61,-0.27,0.0,46.0,0.1,-2.44,3.35,2.97,3.22,10.94,Sciences,None,Good,0.0,0.0,0.0,Leonore Grier,Caucasian,female,0.0,USA,27.0,94019
23,1.43,3.58,2.3,5.65,3.64,4.2,0.0,18.0,3.1,-0.05,3.43,1.71,2.01,9.68,Engineering,Very Good,Good,1.0,0.0,0.0,Marion Moss,Caucasian,female,2.0,USA,28.0,95035
24,1.02,3.38,3.2,3.92,2.94,1.18,1.2,53.0,0.6,-2.31,0.06,-3.02,-2.61,3.77,Engineering,Very Good,Good,1.0,1.0,0.0,Jamie Casey,Caucasian,female,0.0,USA,28.0,94549
25,-0.42,3.64,1.8,7.49,3.92,1.14,0.0,21.0,8.8,5.02,2.05,1.37,1.52,8.82,Engineering,None,Good,0.0,0.0,0.0,Mary Chipman,Caucasian,female,0.0,USA,30.0,94538
26,0.3,2.38,0.6,4.98,2.47,-0.57,0.0,55.0,0.9,-1.91,4.0,3.52,3.57,11.49,Engineering,None,Bad,0.0,1.0,0.0,Sue Gramby,Caucasian,female,0.0,USA,31.0,94523
27,0.81,2.97,1.4,9.8,3.78,3.01,0.0,46.0,1.3,-1.64,0.37,-1.82,-2.19,3.86,Engineering,Very Good,Good,1.0,0.0,0.0,Latoya Situ,Caucasian,female,2.0,USA,34.0,94019
28,-1.27,2.46,2.9,1.27,2.0,-5.52,0.0,33.0,3.0,-0.11,2.83,3.22,2.14,9.16,Engineering,Very Good,Good,0.0,1.0,1.0,Andrea Walton,Caucasian,female,0.0,USA,26.0,94010
29,-0.94,1.93,1.8,1.26,1.69,-5.21,0.0,15.0,5.7,2.47,1.03,-1.05,-0.88,5.82,Sciences,Ok,Bad,0.0,1.0,1.0,Dixie Ennis,Caucasian,female,0.0,Australia,26.0,95002
30,-1.04,3.64,1.9,2.96,4.17,2.33,0.0,59.0,1.6,-1.29,0.6,-3.77,-3.25,3.29,Engineering,Ok,Good,0.0,0.0,0.0,Rosie Randolph,Caucasian,female,2.0,USA,26.0,94709
31,0.48,3.55,1.2,4.71,2.81,-0.03,0.0,14.0,0.2,-2.58,1.16,-2.2,-2.65,3.7,Engineering,None,Good,0.0,0.0,0.0,Lawrence White,Caucasian,female,0.0,USA,25.0,95002
32,0.32,4.25,2.8,4.28,4.19,3.94,0.0,4.0,3.0,-0.26,1.02,-1.28,-1.61,4.78,Quantitative,None,Good,1.0,0.0,0.0,Deloris Cooper,Caucasian,female,2.0,USA,31.0,94040
33,-1.29,3.17,-0.3,2.3,2.26,-3.64,0.0,28.0,3.4,0.24,2.7,1.29,1.44,8.85,Engineering,Very Good,Bad,0.0,1.0,0.0,Cynthia Lobue,Caucasian,female,0.0,USA,23.0,94402
34,-0.59,2.54,1.2,5.1,2.42,-3.25,0.0,6.0,3.3,-0.01,4.1,5.56,6.19,14.66,Engineering,Ok,Good,0.0,1.0,0.0,Tina Ramirez,Caucasian,female,0.0,Canada,27.0,94043
35,-0.53,3.27,2.4,1.6,3.33,0.65,0.0,8.0,3.1,-0.02,2.4,1.78,1.57,8.78,Engineering,Very Good,Good,0.0,0.0,0.0,Marjorie Langhans,Caucasian,female,0.0,USA,28.0,94085
36,0.35,3.49,1.2,3.96,2.78,0.04,0.0,2.0,3.9,0.66,2.75,0.51,0.74,8.11,Quantitative,Very Good,Good,0.0,0.0,0.0,Charlene Riggs,Caucasian,female,0.0,USA,29.0,94040
37,-0.09,2.22,2.8,1.35,2.06,-2.66,0.0,57.0,2.0,-0.71,2.24,-1.69,-1.95,4.91,Engineering,None,Bad,0.0,1.0,0.0,Arline Mcmullen,Caucasian,female,0.0,USA,22.0,94038
38,-0.37,2.21,1.3,3.17,2.08,-3.08,0.0,73.0,0.0,-2.96,2.71,1.83,1.3,8.29,Sciences,Ok,Good,0.0,1.0,0.0,Kelly Webster,Caucasian,female,0.0,Canada,24.0,94591
39,-0.19,3.2,1.9,2.08,2.77,-0.66,1.7,45.0,2.2,-0.73,1.31,-0.7,-0.21,6.95,Engineering,Ok,Bad,0.0,0.0,0.0,Virginia Jenkins,Caucasian,female,0.0,USA,25.0,94105
40,1.96,4.05,2.8,10.97,5.11,8.53,3.3,10.0,5.7,2.04,1.12,-1.17,-0.61,6.35,Engineering,Ok,Bad,1.0,0.0,0.0,Marty Dennis,Caucasian,female,2.0,USA,35.0,94085
41,0.43,3.32,1.6,2.35,2.55,-0.18,0.0,75.0,0.5,-1.81,0.68,-2.33,-2.74,3.55,Humanities,None,Good,0.0,0.0,0.0,Debra Moore,Caucasian,female,0.0,USA,24.0,94941
42,-0.49,1.75,0.7,4.14,1.61,-4.82,0.0,3.0,7.4,3.6,1.44,-1.07,-0.98,5.79,Sciences,Ok,Good,0.0,1.0,1.0,Krystin Mike,Caucasian,female,0.0,USA,28.0,94040
43,-0.62,2.52,1.0,1.53,1.81,-3.99,0.0,25.0,5.6,2.36,2.85,1.06,1.22,8.55,Engineering,Ok,Good,0.0,1.0,1.0,Brigid Mayle,Caucasian,female,0.0,USA,23.0,94539
44,-0.34,3.45,1.0,3.74,2.74,-1.4,0.0,39.0,0.4,-2.2,2.46,0.91,0.91,8.16,Humanities,None,Bad,0.0,0.0,0.0,Noemi Hofer,Caucasian,female,0.0,USA,26.0,94578
45,-0.08,2.76,1.6,1.28,2.85,0.72,0.0,37.0,2.5,-0.52,3.02,1.99,2.33,9.93,Engineering,Very Good,Good,0.0,0.0,0.0,Nicole Howard,Caucasian,female,0.0,Canada,24.0,94545
46,0.14,2.32,2.2,3.86,2.7,-0.54,0.0,24.0,4.7,1.47,2.39,1.04,-0.42,5.92,Sciences,None,Bad,0.0,0.0,0.0,Marilyn Saenz,Caucasian,female,0.0,USA,28.0,94027
