,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,0.08,3.77,1.0,7.42,3.0300000000000002,4.5,3.5,5.0,6.0,2.06,2.24,0.05,0.17,7.34,Engineering,Very Good,Bad,1.0,0.0,0.0,Lisa Gooch,Hispanic,female,2.0,USA,32.0,94043
1,1.16,2.91,2.4,7.66,2.11,2.87,0.0,3.0,5.7,1.87,1.68,-0.93,-0.21,7.01,Quantitative,Very Good,Good,0.0,0.0,0.0,Emily Haynes,Hispanic,female,2.0,Mexico,30.0,94040
2,1.02,3.66,0.8,7.64,2.04,3.01,0.0,26.0,1.4,-1.64,3.49,4.41,3.78,11.21,Engineering,Ok,Good,1.0,0.0,0.0,Sylvia Schoonover,Hispanic,female,2.0,USA,30.0,94403
3,0.04,2.02,1.3,4.55,0.47,-3.3,0.0,123.0,0.0,-2.94,1.2,-2.51,-2.36,4.34,Engineering,None,Good,0.0,1.0,0.0,Luisa Vasquez,Hispanic,female,1.0,USA,27.0,94970
4,-1.34,3.15,-0.09999999999999998,-1.15,-0.19999999999999996,-6.68,1.3,70.0,1.3,-1.22,1.58,-0.81,-0.21,6.9,Humanities,Very Good,Good,0.0,1.0,1.0,Juanita Boeding,Hispanic,female,0.0,USA,26.0,94903
5,0.44,3.49,0.19999999999999996,4.44,1.5099999999999998,1.39,0.0,40.0,2.5,-0.27,1.72,-1.52,-1.4,5.48,Engineering,None,Good,1.0,0.0,0.0,Stacy Hewitt,Hispanic,female,0.0,USA,29.0,94603
6,1.09,2.71,1.9,7.24,1.35,0.41,0.0,35.0,2.2,-0.73,2.16,1.42,1.27,8.37,Engineering,Ok,Good,0.0,0.0,0.0,Ruth Graham,Hispanic,female,0.0,USA,33.0,94566
7,-1.12,2.75,2.0,1.82,1.23,-2.63,0.0,23.0,0.0,-3.63,2.2,-2.14,-2.03,4.82,Quantitative,Ok,Good,0.0,0.0,0.0,Leatrice Anderson,Hispanic,female,0.0,Australia,23.0,94028
8,-1.01,3.75,0.8,0.55,2.12,1.37,0.2,40.0,0.2,-2.24,2.28,-0.06,0.67,8.23,Engineering,Very Good,Bad,0.0,1.0,0.0,Carol Watkins,Hispanic,female,0.0,Australia,30.0,94603
9,-0.64,2.98,1.3,2.51,0.94,-2.83,2.7,12.0,4.2,0.39,1.88,-0.23,-0.59,6.12,Quantitative,None,Bad,0.0,1.0,0.0,Patricia Riggings,Hispanic,female,0.0,USA,29.0,94087
10,0.5,2.48,0.19999999999999996,3.13,-0.1499999999999999,-3.63,2.5,5.0,4.5,0.78,2.07,0.09,0.31,7.48,Quantitative,Ok,Good,0.0,1.0,0.0,Judy Sanchez,Hispanic,female,0.0,USA,30.0,94043
11,0.8,3.48,3.2,5.77,3.6500000000000004,7.8,0.0,61.0,3.3,-0.4,1.56,-0.97,-1.11,5.59,Engineering,Ok,Good,1.0,0.0,0.0,Grace Hiser,Hispanic,female,2.0,USA,27.0,94707
12,0.13,3.85,2.9,5.29,2.8499999999999996,3.43,0.0,26.0,3.2,-0.42,1.03,-2.54,-2.31,4.22,Engineering,Very Good,Good,0.0,0.0,0.0,April Mosley,Hispanic,female,2.0,USA,26.0,94403
13,-0.32,3.33,2.2,-0.57,0.6499999999999999,-2.71,0.0,11.0,7.5,3.29,3.01,0.64,-0.13,6.76,Quantitative,Ok,Good,0.0,0.0,0.0,Johnna Culver,Hispanic,female,0.0,Canada,23.0,94089
14,-0.65,2.17,0.8,0.7,0.7200000000000002,-2.06,0.0,20.0,6.9,2.67,3.48,3.3,3.68,11.68,Quantitative,None,Bad,0.0,0.0,0.0,Nancy Barnett,Hispanic,female,0.0,USA,28.0,94025
15,-0.81,3.56,-0.2,3.06,0.7200000000000002,-3.38,0.0,56.0,0.0,-3.21,0.0,-3.35,-2.83,3.47,Engineering,Ok,Good,0.0,1.0,0.0,Mary Killin,Hispanic,female,0.0,USA,27.0,94595
16,0.14,2.52,1.0,3.44,0.69,-1.9,0.0,12.0,1.9,-1.16,0.83,-1.82,-2.45,3.65,Engineering,Ok,Bad,0.0,0.0,0.0,Serena Collins,Hispanic,female,0.0,USA,26.0,94087
17,0.73,2.76,2.2,4.91,1.7200000000000002,1.73,0.0,25.0,6.7,2.8,2.03,-1.26,-1.56,5.09,Engineering,Ok,Good,0.0,1.0,0.0,Jolie Boyd,Hispanic,female,2.0,USA,26.0,94539
18,0.74,3.17,1.6,7.06,1.87,1.62,0.0,52.0,3.2,-0.19,1.46,-0.78,-0.39,6.64,Humanities,Ok,Good,1.0,0.0,0.0,Rhonda Schaffer,Hispanic,female,2.0,USA,29.0,94611
19,1.48,2.58,3.0,0.2,0.9199999999999999,1.79,0.0,46.0,5.5,2.16,3.87,3.06,2.43,10.0,Engineering,None,Bad,0.0,0.0,0.0,Maria Crabtree,Hispanic,female,2.0,USA,23.0,94019
20,-0.35,2.27,1.4,2.26,0.5499999999999998,-3.21,0.0,21.0,5.0,1.03,1.11,-1.91,-1.86,4.84,Engineering,None,Good,0.0,1.0,0.0,Beverly Brookins,Hispanic,female,1.0,USA,25.0,94538
21,0.34,2.55,0.5,4.34,0.98,-0.31,0.0,82.0,4.9,1.6099999999999999,2.48,0.44,0.88,8.36,Quantitative,Ok,Bad,0.0,0.0,0.0,Debra Deroche,Hispanic,female,0.0,USA,26.0,94503
22,-0.51,2.12,1.0,3.87,1.0299999999999998,-1.96,0.0,20.0,4.9,1.11,2.09,-1.06,-1.28,5.62,Quantitative,Ok,Bad,0.0,0.0,1.0,Benita Mcdaniel,Hispanic,female,0.0,USA,27.0,94025
23,0.03,3.22,1.9,4.19,2.18,2.26,0.0,3.0,2.6,-0.66,1.7,0.38,0.48,7.43,Engineering,Very Good,Good,1.0,0.0,0.0,Barbara Courtney,Hispanic,female,2.0,USA,29.0,94040
24,0.63,2.31,2.3,4.31,1.02,-0.63,0.0,39.0,7.0,2.66,3.31,2.2,1.35,8.45,Engineering,None,Good,0.0,0.0,0.0,Annie Gregston,Hispanic,female,0.0,USA,28.0,94578
25,-1.22,2.26,0.7,5.23,0.7799999999999998,-4.93,0.0,41.0,3.8,0.45999999999999996,2.47,1.71,1.85,9.32,Engineering,None,Bad,0.0,1.0,1.0,Lashonda Nally,Hispanic,female,0.0,Mexico,26.0,94542
26,0.22,2.97,1.5,3.76,0.42999999999999994,-3.54,0.0,9.0,4.7,0.73,1.87,-1.16,-0.93,6.14,Quantitative,Ok,Good,0.0,1.0,0.0,Anna Galarza,Hispanic,female,0.0,Australia,28.0,94085
27,0.18,3.46,1.5,6.25,2.37,2.55,0.0,35.0,2.9,-0.39,0.0,-2.48,-2.11,4.02,Engineering,Very Good,Good,1.0,0.0,0.0,Susan Walker,Hispanic,female,2.0,Mexico,30.0,94566
28,-0.33,3.54,0.8,2.19,1.12,-1.54,0.0,20.0,5.2,1.34,2.22,1.14,0.85,7.85,Engineering,None,Good,0.0,0.0,0.0,Antonia Payne,Hispanic,female,0.0,Australia,26.0,94025
29,-0.92,2.68,0.8999999999999999,-0.13,0.9700000000000002,-1.84,0.0,8.0,5.3,1.44,1.81,0.34,0.49,7.5,Engineering,Ok,Bad,0.0,0.0,0.0,Lois Williams,Hispanic,female,0.0,USA,21.0,94085
30,0.05,3.67,0.8,3.77,2.27,2.85,0.0,14.0,2.9,-0.45,1.92,-0.76,-1.31,5.34,Engineering,Ok,Good,1.0,0.0,0.0,Jane Smith,Hispanic,female,2.0,Canada,25.0,95002
31,-0.7,1.51,0.4,0.8,-0.33000000000000007,-5.77,0.7,35.0,0.6,-2.09,0.79,-0.55,-1.26,4.88,Engineering,Ok,Bad,0.0,1.0,1.0,Tiffany Faulds,Hispanic,female,0.0,USA,24.0,94566
32,-0.32,2.87,2.4,4.94,1.1,-2.87,0.0,67.0,1.7,-1.0,1.44,-0.87,-0.56,6.27,Engineering,Ok,Good,0.0,0.0,0.0,Sue Treisch,Hispanic,female,0.0,USA,27.0,94598
33,0.25,3.19,1.0,3.17,1.6,1.36,4.2,1.0,6.8,2.37,2.39,-0.47,-0.82,6.19,Engineering,Very Good,Good,0.0,0.0,0.0,Jacqui Medlin,Hispanic,female,0.0,Mexico,33.0,94040
34,-0.16,2.82,2.4,3.67,1.5,-0.59,0.0,29.0,6.5,2.13,1.28,-0.49,-1.28,5.04,Engineering,Ok,Bad,0.0,0.0,0.0,Lauren Kopicko,Hispanic,female,1.0,USA,27.0,94560
35,-1.0,2.9,1.1,3.05,1.5,-1.45,0.0,26.0,4.0,0.19999999999999996,2.56,1.88,2.02,9.37,Sciences,None,Bad,0.0,0.0,0.0,Lynne Berrios,Hispanic,female,1.0,USA,24.0,94403
