,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,-0.16,3.06,0.3,6.43,2.73,-1.35,0.7,64.0,0.0,-2.56,1.82,0.12,0.45,7.57,Engineering,Ok,Bad,1.0,0.0,0.0,James Saenz,African-American,male,0.0,USA,33.0,94525
1,-0.38,2.46,2.3,0.96,2.45,-1.54,0.0,4.0,3.9,0.58,1.67,-0.07,0.84,8.33,Engineering,Ok,Good,0.0,0.0,0.0,Alex Rice,African-American,male,0.0,USA,24.0,94040
2,0.38,4.2,3.5,10.18,5.4,5.95,0.6,30.0,1.0,-2.43,1.99,0.2,0.81,8.21,Quantitative,Ok,Good,1.0,0.0,0.0,Gerald Toms,African-American,male,2.0,USA,33.0,94587
3,0.06,3.05,2.6,2.38,2.59,-0.96,0.0,32.0,0.0,-4.9,3.56,4.69,5.26,13.38,Engineering,Ok,Good,0.0,0.0,0.0,David Jackson,African-American,male,0.0,USA,26.0,94544
4,0.58,3.33,3.2,3.5,3.26,1.45,0.0,22.0,5.4,2.23,2.48,-0.25,-0.55,6.48,Engineering,Ok,Bad,0.0,0.0,0.0,Jerome Mcclain,African-American,male,2.0,USA,27.0,94061
5,0.83,3.14,2.6,8.66,3.94,3.15,0.0,6.0,3.5,0.51,3.74,2.74,1.79,8.98,Quantitative,None,Good,0.0,0.0,0.0,Franklin Bruno,African-American,male,2.0,USA,31.0,94043
6,-0.3,2.76,1.5,2.93,2.64,-1.08,0.2,47.0,0.0,-2.91,2.39,0.81,1.04,8.39,Engineering,None,Good,0.0,0.0,0.0,Richard Arnold,African-American,male,0.0,USA,25.0,94114
7,-0.77,2.9,1.8,1.42,2.85,-1.13,0.0,56.0,0.0,-2.98,0.3,-3.98,-3.17,3.37,Quantitative,None,Good,0.0,0.0,0.0,Robert Johnson,African-American,male,0.0,USA,23.0,94595
8,-0.33,3.39,1.8,7.09,3.67,0.46,0.0,18.0,4.9,1.47,1.49,-0.95,-1.28,5.29,Engineering,Ok,Good,0.0,0.0,0.0,Shayne James,African-American,male,0.0,USA,30.0,95035
9,1.15,3.76,1.8,7.0,3.56,3.05,0.0,95.0,0.0,-3.2,0.39,-1.92,-1.19,5.6,Engineering,Very Good,Good,1.0,0.0,0.0,Paul Butler,African-American,male,2.0,USA,33.0,94933
10,1.31,3.13,2.7,4.3,3.59,4.46,0.0,57.0,1.3,-1.3,3.08,1.76,1.55,8.94,Humanities,None,Good,1.0,0.0,0.0,William Pickering,African-American,male,2.0,USA,27.0,94038
11,-0.63,2.47,1.8,0.86,2.03,-3.46,0.0,93.0,0.0,-3.21,3.0,1.68,1.85,9.36,Quantitative,Very Good,Good,0.0,1.0,0.0,Brad Rogers,African-American,male,0.0,USA,25.0,94954
12,0.26,4.0,0.8,7.18,3.87,2.6,1.2,38.0,1.3,-1.61,3.51,3.34,3.08,10.72,Engineering,Ok,Good,1.0,0.0,0.0,John Perez,African-American,male,2.0,USA,32.0,94586
13,0.5,2.43,2.3,4.94,3.32,2.1,1.8,9.0,2.9,-0.13,1.88,-0.67,0.21,7.51,Quantitative,Very Good,Good,0.0,0.0,0.0,Steven Atlas,African-American,male,2.0,USA,31.0,94085
14,-0.95,3.27,2.1,1.26,2.45,-3.29,0.0,5.0,2.1,-0.83,3.33,3.11,2.01,9.15,Sciences,Ok,Bad,0.0,1.0,0.0,Christopher Ratliff,African-American,male,0.0,USA,24.0,94043
15,-0.34,2.91,3.0,1.58,2.84,-1.09,2.7,1.0,4.7,1.41,4.09,2.88,2.85,10.75,Engineering,Ok,Bad,0.0,0.0,0.0,Marshall Anderson,African-American,male,0.0,USA,27.0,94040
16,1.09,3.11,3.2,5.96,3.63,3.2,3.4,46.0,5.3,2.1,3.69,3.06,2.25,9.54,Quantitative,Very Good,Good,0.0,0.0,0.0,John Barnes,African-American,male,2.0,USA,33.0,94019
17,0.14,3.86,2.9,8.37,4.57,3.58,0.0,48.0,1.0,-1.55,1.28,-1.18,-1.02,5.69,Humanities,Very Good,Good,0.0,0.0,0.0,Robert Rogerson,African-American,male,2.0,USA,34.0,94109
18,0.44,2.74,2.5,4.8,3.62,3.0,0.0,37.0,2.6,-0.28,1.6,-0.18,0.29,7.29,Engineering,Very Good,Good,1.0,0.0,0.0,John Baker,African-American,male,0.0,USA,27.0,94545
19,-0.61,2.93,2.2,3.88,3.02,-1.35,0.0,24.0,5.5,1.85,2.66,1.25,-0.01,6.55,Engineering,None,Bad,0.0,0.0,0.0,Mark Marlow,African-American,male,0.0,USA,26.0,94027
20,-0.83,3.79,1.6,3.12,3.4,-0.11,0.0,42.0,3.9,0.86,0.76,-1.13,-0.97,5.63,Engineering,Very Good,Good,0.0,0.0,0.0,Raymond Thornton,African-American,male,0.0,USA,28.0,94605
21,0.78,3.17,2.4,5.13,2.61,-0.7,0.0,31.0,2.2,-0.65,0.35,-4.09,-3.26,3.23,Quantitative,None,Bad,0.0,0.0,0.0,Oscar Stiles,African-American,male,0.0,USA,27.0,94544
22,-0.86,2.27,1.1,0.02,1.25,-6.01,0.0,77.0,0.6,-1.6,2.48,1.32,1.16,8.34,Engineering,Ok,Good,0.0,1.0,1.0,Richard Dorr,African-American,male,0.0,USA,23.0,94945
23,-0.98,3.05,1.0,-1.33,1.66,-4.63,0.0,37.0,3.1,0.04,3.14,2.68,2.17,9.49,Quantitative,None,Bad,0.0,1.0,1.0,Jose Nealy,African-American,male,0.0,USA,22.0,94545
24,-1.23,2.76,1.9,1.63,1.86,-5.92,2.6,28.0,4.2,1.03,1.45,-1.39,-1.49,5.21,Engineering,None,Good,0.0,1.0,1.0,David Britt,African-American,male,0.0,USA,25.0,94402
25,0.6,3.1,0.8,1.77,2.34,0.08,0.0,50.0,3.6,0.94,1.4,-0.22,0.43,7.63,Engineering,None,Good,0.0,0.0,0.0,Alfred Wells,African-American,male,0.0,USA,26.0,94609
26,-0.62,2.64,1.5,1.51,2.2,-2.9,1.1,81.0,1.3,-0.92,1.45,-2.52,-3.19,3.11,Humanities,Ok,Bad,1.0,1.0,0.0,Luis Velazquez,African-American,male,0.0,USA,23.0,94561
27,0.68,4.21,2.3,5.47,3.65,2.44,0.0,52.0,1.9,-0.99,0.25,-3.64,-4.0,1.92,Engineering,None,Good,0.0,0.0,0.0,Jessie Smith,African-American,male,2.0,USA,27.0,94611
28,-0.4,3.0,2.7,2.52,2.91,-0.97,0.0,53.0,2.2,-0.42,0.56,-2.95,-1.71,5.27,Quantitative,None,Good,0.0,0.0,0.0,George Dambrose,African-American,male,0.0,USA,25.0,94549
29,0.5,3.43,2.2,7.36,4.2,3.9,2.9,13.0,4.9,1.71,1.95,0.21,-0.29,6.43,Quantitative,Very Good,Good,1.0,0.0,0.0,Jason Gentry,African-American,male,2.0,USA,34.0,94022
30,0.19,2.8,-0.2,7.11,2.65,-0.5,0.0,31.0,2.6,-0.37,2.44,1.38,1.18,8.4,Engineering,Ok,Good,0.0,0.0,0.0,Chris Watts,African-American,male,0.0,USA,30.0,94544
31,0.68,2.25,1.7,5.68,2.79,0.8,0.0,13.0,5.6,2.07,2.61,2.68,2.0,9.08,Engineering,None,Good,0.0,0.0,0.0,Charles Schoonover,African-American,male,0.0,USA,28.0,94022
32,-0.33,3.23,0.6,4.45,2.42,-2.3,0.0,33.0,2.8,0.02,3.19,2.14,0.98,7.91,Engineering,Ok,Bad,0.0,0.0,0.0,John Evans,African-American,male,0.0,USA,26.0,94010
33,-1.88,2.1,1.5,0.71,1.96,-5.72,0.6,69.0,0.3,-2.12,2.12,-0.23,0.08,7.19,Quantitative,None,Bad,0.0,1.0,1.0,Derrick Rowe,African-American,male,0.0,USA,22.0,94510
34,-0.37,4.0,2.4,4.93,3.58,0.16,0.0,2.0,5.1,1.8,2.19,-0.61,-0.54,6.53,Engineering,Ok,Good,0.0,0.0,0.0,Russell Mathis,African-American,male,0.0,Canada,29.0,94040
35,0.65,3.29,2.8,6.81,3.93,3.14,0.0,24.0,7.4,3.64,1.48,-1.08,-1.23,5.41,Quantitative,Very Good,Good,1.0,0.0,0.0,Ernest Hamblin,African-American,male,2.0,USA,27.0,94027
36,-1.38,2.47,1.1,1.79,2.38,-3.5,0.0,47.0,5.4,1.87,2.56,0.4,0.72,8.16,Humanities,Ok,Bad,0.0,1.0,0.0,Matthew Cintron,African-American,male,0.0,USA,27.0,94114
37,0.79,2.86,1.4,4.57,3.43,3.59,0.0,19.0,0.6,-2.26,2.87,2.82,1.98,9.0,Engineering,Very Good,Good,1.0,0.0,0.0,Keven Newsome,African-American,male,2.0,USA,27.0,94304
38,-0.43,2.47,2.3,3.61,2.82,-1.04,0.7,65.0,0.3,-2.21,1.16,-1.15,-1.31,5.21,Engineering,None,Good,0.0,0.0,0.0,Jay Hains,African-American,male,0.0,USA,28.0,94556
39,-0.34,2.54,1.7,0.42,2.13,-2.28,0.0,88.0,0.0,-4.3,2.49,1.11,1.15,8.47,Engineering,Ok,Good,0.0,0.0,0.0,Royal Rivera,African-American,male,0.0,USA,25.0,94973
40,0.5,3.04,3.3,3.74,3.7,3.13,2.7,34.0,4.4,1.38,3.42,2.82,2.73,10.4,Engineering,Very Good,Good,1.0,0.0,0.0,Silas Nieves,African-American,male,2.0,USA,30.0,94030
41,-0.0,2.95,1.6,3.45,2.25,-2.32,0.0,20.0,2.2,-0.99,2.65,2.15,2.41,9.91,None,Ok,Bad,0.0,0.0,0.0,Todd Reinschmidt,African-American,male,0.0,USA,26.0,94025
42,0.44,4.2,0.9,7.52,3.82,2.84,0.0,2.0,2.8,-0.3,2.29,0.46,0.28,7.35,Engineering,Ok,Good,1.0,0.0,0.0,Travis Walker,African-American,male,0.0,USA,31.0,94040
43,0.76,2.49,0.8,6.2,2.18,-1.11,0.0,63.0,0.0,-2.76,1.38,-0.66,0.03,7.08,Quantitative,Ok,Good,0.0,0.0,0.0,Jasper Coons,African-American,male,0.0,USA,29.0,94801
44,-0.41,2.75,2.5,0.68,2.11,-3.2,1.9,18.0,3.2,0.45,2.41,0.19,-0.39,6.37,Sciences,Ok,Good,0.0,1.0,0.0,Frank Mason,African-American,male,2.0,USA,24.0,95035
45,0.85,4.16,0.9,7.6,3.93,3.98,0.0,37.0,0.0,-3.8,1.94,1.73,2.06,9.32,Quantitative,Very Good,Good,1.0,0.0,0.0,Brad Gainer,African-American,male,2.0,USA,31.0,94545
46,1.38,3.72,2.3,7.67,4.32,6.03,1.0,45.0,1.2,-1.45,3.58,3.14,2.32,9.62,Engineering,Very Good,Good,1.0,0.0,0.0,Charles Mcneil,African-American,male,2.0,USA,35.0,94105
47,0.79,2.72,1.6,4.45,3.13,2.5,0.0,31.0,2.8,-0.05,1.62,-0.55,-0.33,6.51,Humanities,Very Good,Good,1.0,0.0,0.0,Reynaldo Edwards,African-American,male,2.0,Canada,28.0,94544
48,-1.14,2.78,2.0,3.62,3.11,-1.58,0.0,6.0,2.2,-0.91,0.32,-2.11,-0.83,6.16,Engineering,Ok,Good,0.0,0.0,0.0,Charles Musser,African-American,male,0.0,USA,26.0,94043
49,-0.96,3.47,2.4,5.99,4.07,0.88,0.0,37.0,3.4,0.42,3.66,2.3,1.79,9.3,Quantitative,Ok,Bad,0.0,0.0,0.0,Calvin Johnston,African-American,male,2.0,Canada,28.0,94545
50,-0.62,3.42,1.7,1.62,2.56,-2.09,0.7,67.0,0.4,-2.2,1.33,-1.83,-1.09,6.0,Engineering,Ok,Good,0.0,0.0,0.0,Abel Smith,African-American,male,0.0,USA,24.0,94598
51,-0.28,3.24,1.2,4.29,2.35,-2.85,0.0,56.0,0.0,-4.43,1.6,-1.21,-0.88,6.14,Quantitative,Very Good,Good,0.0,0.0,0.0,James Daniels,African-American,male,0.0,USA,26.0,94595
52,-0.52,2.67,2.8,-0.47,2.55,-1.29,0.0,54.0,0.0,-3.45,2.76,2.43,2.21,9.61,Quantitative,Ok,Bad,0.0,0.0,0.0,William Wright,African-American,male,0.0,USA,24.0,94121
53,0.39,3.2,1.4,5.71,3.27,1.43,0.0,1.0,6.3,2.61,1.88,-1.65,-0.99,6.28,Quantitative,Ok,Good,0.0,0.0,0.0,David Sellers,African-American,male,2.0,USA,28.0,94040
54,-0.57,2.96,0.8,6.23,3.52,0.6,0.0,7.0,5.1,1.62,3.36,2.34,2.16,9.66,Humanities,Very Good,Good,0.0,0.0,0.0,William Williams,African-American,male,0.0,USA,33.0,94043
55,-0.94,1.78,3.0,0.5,1.73,-5.37,0.0,36.0,2.4,-0.41,2.55,1.03,0.44,7.32,Engineering,Ok,Good,0.0,1.0,1.0,Stephen Vasquez,African-American,male,0.0,USA,23.0,94588
