,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,-0.53,2.32,2.2,3.08,2.11,-3.85,0.0,18.0,0.9,-1.76,1.91,-0.57,-0.59,6.28,Sciences,Ok,Good,0.0,1.0,0.0,Thomas Trotman,Caucasian,male,0.0,USA,27.0,95035
1,-0.08,2.23,1.6,4.16,3.25,1.42,2.4,4.0,3.7,0.29,1.13,-0.69,-0.71,5.91,Engineering,Ok,Good,0.0,0.0,0.0,Emilio Tufts,Caucasian,male,2.0,USA,29.0,94040
2,0.1,2.24,2.9,0.21,2.56,-0.19,3.4,4.0,5.5,2.03,1.95,-0.57,-0.39,6.71,Quantitative,Ok,Bad,0.0,0.0,0.0,John Sanders,Caucasian,male,0.0,USA,26.0,94040
3,-0.52,2.91,1.5,2.66,1.91,-4.32,0.0,11.0,4.8,1.37,1.63,-0.53,-0.1,7.08,Engineering,Very Good,Bad,0.0,1.0,1.0,Loren Morton,Caucasian,male,0.0,USA,26.0,94089
4,0.2,3.31,1.4,9.72,4.29,3.23,1.4,21.0,2.0,-0.99,2.56,0.77,0.52,7.62,Sciences,Very Good,Good,0.0,0.0,1.0,John Toler,Caucasian,male,0.0,Canada,35.0,94538
5,-0.1,3.52,1.8,2.32,3.24,1.32,0.0,12.0,2.1,-1.02,3.67,2.21,1.57,8.88,Engineering,Ok,Good,0.0,0.0,0.0,Norman Hart,Caucasian,male,0.0,USA,24.0,94087
6,-0.69,3.28,3.4,8.16,4.05,-0.17,3.4,26.0,5.6,2.32,0.17,-3.02,-2.98,3.25,Engineering,None,Bad,0.0,1.0,0.0,Carlton William,Caucasian,male,0.0,Australia,33.0,94403
7,1.09,2.38,1.8,5.63,3.12,2.71,2.3,1.0,4.2,1.32,1.86,-0.04,-1.64,4.52,Engineering,Ok,Good,1.0,0.0,0.0,Earl Lapointe,Caucasian,male,2.0,USA,29.0,94040
8,0.22,2.81,0.7,5.19,2.02,-2.7,0.0,64.0,0.0,-2.94,2.86,2.3,1.54,8.49,Sciences,Ok,Bad,0.0,0.0,0.0,Carlos Burch,Caucasian,male,0.0,USA,30.0,94525
9,0.38,2.89,2.2,3.39,2.84,0.28,0.0,33.0,4.6,1.47,2.4,1.2,1.71,9.13,Quantitative,Ok,Bad,0.0,0.0,0.0,Miguel Barnette,Caucasian,male,2.0,USA,24.0,94010
