,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,0.88,3.35,3.6,5.75,4.15,4.25,0.0,44.0,2.0,-0.73,0.87,-3.08,-2.27,4.59,Sciences,Ok,Good,0.0,0.0,0.0,Joe Camilo,Hispanic,male,2.0,USA,26.0,94131
1,-1.15,3.23,1.7,2.11,3.31,-0.49,2.5,17.0,4.7,1.6,1.9,-0.32,-0.27,6.71,Humanities,Ok,Good,0.0,0.0,0.0,Robert Norrington,Hispanic,male,0.0,Mexico,29.0,94301
2,-2.53,2.43,2.6,-3.51,1.29,-9.08,0.0,18.0,3.8,0.47,1.31,-2.13,-1.17,6.09,Engineering,Ok,Bad,0.0,1.0,1.0,Andre Pezzuti,Hispanic,male,0.0,USA,18.0,95035
3,0.01,2.85,2.3,3.9,3.42,1.52,0.0,63.0,0.7,-1.64,1.09,-1.3,-1.43,5.04,Humanities,Very Good,Good,0.0,0.0,0.0,Robert Fountain,Hispanic,male,2.0,USA,27.0,94801
4,-0.26,2.89,2.0,6.17,4.03,2.5,0.0,7.0,4.3,1.12,2.43,1.53,1.5,8.69,Sciences,Ok,Good,0.0,0.0,0.0,Bobby Parker,Hispanic,male,2.0,USA,27.0,94043
5,-0.41,2.14,1.3,-0.62,1.3,-4.69,0.0,23.0,6.4,2.99,2.38,1.14,1.03,8.17,Quantitative,None,Good,0.0,1.0,1.0,Joseph Neal,Hispanic,male,0.0,USA,23.0,94028
6,-0.49,2.7,2.5,4.28,3.07,-1.18,3.1,36.0,5.0,1.78,0.0,-4.27,-4.78,0.76,Engineering,Ok,Bad,0.0,0.0,0.0,Phillip Randolph,Hispanic,male,0.0,USA,30.0,94588
7,-0.18,2.79,1.4,7.35,2.8,-1.76,4.4,31.0,7.5,4.13,3.77,3.26,2.91,10.63,Engineering,None,Bad,0.0,0.0,0.0,Nathaniel Bryant,Hispanic,male,0.0,USA,33.0,94544
8,1.13,3.94,1.7,9.28,5.44,9.18,0.0,14.0,3.4,0.29,2.71,0.58,1.04,8.6,Quantitative,None,Good,1.0,1.0,0.0,Michael Knutson,Hispanic,male,2.0,USA,32.0,95002
9,0.05,2.77,0.9,6.22,3.01,0.06,0.0,42.0,0.0,-2.68,2.65,1.88,2.06,9.58,Engineering,Ok,Good,0.0,0.0,0.0,Clinton Lapointe,Hispanic,male,0.0,USA,31.0,94605
10,-0.28,2.98,0.8,9.67,2.75,-2.75,1.4,32.0,1.9,-0.72,4.55,4.55,3.08,10.44,Sciences,None,Good,0.0,1.0,0.0,Clinton Forsberg,Hispanic,male,0.0,USA,32.0,94544
11,-0.07,2.4,1.5,6.29,2.97,-0.47,0.7,56.0,0.3,-2.37,2.33,-0.6,-0.34,6.88,Sciences,Ok,Bad,0.0,1.0,0.0,Emery Smith,Hispanic,male,0.0,USA,28.0,94595
12,0.4,2.8,2.8,2.37,2.52,-0.59,0.0,21.0,6.3,2.55,3.09,2.27,1.77,9.0,Sciences,None,Bad,1.0,0.0,0.0,Robert Tovar,Hispanic,male,0.0,USA,24.0,94538
13,1.14,3.27,2.4,4.56,3.17,2.39,0.4,32.0,0.4,-2.12,1.42,-1.68,-1.95,4.61,Humanities,Ok,Bad,1.0,0.0,0.0,Gregory Prescott,Hispanic,male,2.0,USA,29.0,94544
14,-0.11,2.42,3.4,-1.83,2.19,-1.68,0.0,33.0,1.7,-1.09,2.7,1.25,0.83,7.93,Quantitative,None,Bad,0.0,0.0,1.0,Anthony Fraga,Hispanic,male,0.0,USA,25.0,94010
15,1.29,3.63,1.8,6.89,3.7,4.07,0.0,85.0,0.0,-2.83,1.59,-0.77,0.61,8.2,Humanities,Ok,Good,1.0,0.0,0.0,Tom Masser,Hispanic,male,2.0,USA,27.0,94947
16,-0.84,2.38,1.6,-1.16,1.39,-5.31,0.0,44.0,3.9,0.89,2.65,0.27,-0.05,6.97,Engineering,None,Bad,0.0,1.0,1.0,Glen Parham,Hispanic,male,0.0,USA,21.0,94131
17,-0.33,3.68,1.8,3.33,3.53,1.27,0.0,53.0,4.8,1.84,1.56,1.17,1.56,8.74,Sciences,Ok,Bad,0.0,0.0,0.0,Francis Medina,Hispanic,male,1.0,USA,25.0,94549
18,-0.0,4.01,2.6,4.16,3.39,0.36,0.0,11.0,2.7,-0.26,2.38,1.07,1.31,8.62,None,Ok,Bad,0.0,0.0,0.0,Ollie Rushing,Hispanic,male,0.0,Mexico,26.0,94089
