,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,-1.49,2.32,0.7,3.14,2.06,-5.0,2.3,35.0,3.6,0.47,3.2,3.24,3.17,10.78,Engineering,Ok,Good,0.0,1.0,1.0,Stacey Smith,African-American,male,0.0,USA,27.0,94566
1,-0.94,2.83,1.8,-2.08,2.59,-1.01,0.0,36.0,7.1,3.17,3.08,2.31,2.09,9.38,Engineering,Ok,Good,0.0,1.0,1.0,Carl Murphy,African-American,male,0.0,USA,29.0,94588
2,0.3,3.16,2.0,5.9,3.17,0.58,0.0,31.0,4.0,1.05,0.9,-0.01,-0.13,6.47,Humanities,Ok,Good,0.0,0.0,0.0,Stanley Holmes,African-American,male,0.0,USA,28.0,94544
3,0.5,3.21,2.5,3.88,3.59,2.92,0.0,14.0,6.4,2.74,2.96,-0.06,0.08,7.48,Quantitative,Very Good,Good,1.0,0.0,0.0,Jack Lansdale,African-American,male,1.0,USA,38.0,95002
4,-1.01,3.04,1.2,3.07,2.59,-3.01,0.0,21.0,4.9,1.31,3.03,2.33,2.67,10.39,Engineering,None,Bad,0.0,0.0,0.0,Lloyd Bennett,African-American,male,0.0,USA,31.0,94538
5,1.0,2.84,2.0,4.63,3.37,3.4,0.0,28.0,1.1,-1.57,2.25,0.92,1.58,9.16,Humanities,Very Good,Good,1.0,0.0,0.0,Dennis Groth,African-American,male,2.0,USA,25.0,94402
6,0.4,3.71,2.8,6.58,3.77,1.77,0.0,44.0,5.0,2.01,3.43,1.41,1.6,9.35,Sciences,Ok,Good,0.0,0.0,0.0,Albert Tull,African-American,male,2.0,USA,40.0,94131
7,0.98,2.5,2.5,6.78,3.39,2.61,2.4,6.0,4.8,1.85,1.72,-0.5,-0.53,6.34,Engineering,Very Good,Good,1.0,1.0,0.0,Lawrence Adkins,African-American,male,2.0,USA,34.0,94043
8,-0.42,2.86,1.9,3.99,2.15,-3.77,2.2,33.0,3.3,0.46,2.17,0.54,0.67,7.82,Engineering,Ok,Good,0.0,1.0,0.0,Louis Zook,African-American,male,0.0,USA,32.0,94010
9,-1.93,2.27,1.5,-3.07,0.27,-11.12,0.0,7.0,5.2,1.73,2.49,1.39,2.32,10.11,Engineering,Ok,Good,0.0,1.0,1.0,Chad Mahaney,African-American,male,0.0,USA,30.0,94043
10,-1.62,3.46,0.3,3.74,2.46,-4.78,0.0,16.0,3.9,0.6,0.21,-3.11,-2.08,4.55,Sciences,Ok,Good,0.0,1.0,1.0,Rod Lyons,African-American,male,0.0,USA,33.0,95134
11,-1.43,1.93,0.3,-5.33,0.3,-8.2,1.6,59.0,2.0,-0.75,1.41,-0.06,0.04,6.89,Humanities,None,Bad,1.0,1.0,1.0,William Graham,African-American,male,0.0,USA,21.0,94709
12,1.05,3.45,3.5,6.68,3.73,2.86,0.0,61.0,2.9,-0.19,0.8,-2.22,-1.16,5.87,Engineering,Ok,Good,1.0,0.0,0.0,Bradley Galvan,African-American,male,2.0,USA,31.0,94707
13,0.49,3.09,1.5,4.11,2.93,0.7,0.3,53.0,0.0,-2.56,2.71,0.04,-0.4,6.6,Engineering,Ok,Good,1.0,0.0,0.0,Victor Johnson,African-American,male,0.0,USA,26.0,94549
14,-0.73,3.3,0.7,2.41,2.05,-4.07,0.0,33.0,3.6,0.95,1.09,-1.71,-2.4,3.79,Quantitative,None,Bad,1.0,1.0,0.0,Eddy Zimmerman,African-American,male,0.0,USA,28.0,94010
15,-0.12,2.8,2.3,4.46,3.18,0.22,0.0,15.0,1.1,-1.67,2.52,0.95,1.09,8.39,Engineering,Ok,Good,0.0,0.0,0.0,Scott Spivey,African-American,male,0.0,USA,28.0,95002
16,-0.49,4.31,1.9,3.22,4.01,2.15,0.1,65.0,0.0,-2.63,2.01,-0.8,-0.42,6.71,Engineering,Very Good,Good,0.0,0.0,0.0,Micheal Mastoris,African-American,male,2.0,USA,28.0,94556
17,-1.87,3.1,1.1,1.07,2.62,-3.85,0.0,27.0,5.6,2.15,1.2,-3.08,-2.88,3.66,Engineering,Ok,Bad,0.0,1.0,0.0,James Fischer,African-American,male,0.0,USA,25.0,94070
