,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,-0.75,2.42,3.3,0.81,2.9,-1.37,0.0,99.0,0.0,-4.89,1.3,-2.93,-2.26,4.8,Engineering,Ok,Good,0.0,0.0,0.0,William Temple,Other,male,0.0,USA,19.0,94585
1,1.33,3.17,2.9,7.95,4.21,5.36,0.0,2.0,0.8,-2.23,1.41,-0.07,-0.39,6.27,Engineering,Ok,Good,1.0,0.0,0.0,Andrew Brokaw,Other,male,2.0,USA,33.0,94040
2,-0.07,3.01,1.5,8.96,3.43,-0.14,0.0,44.0,2.0,-0.72,2.1,1.85,1.64,8.72,Sciences,None,Bad,0.0,0.0,0.0,Martin Lockwood,Other,male,0.0,USA,31.0,94131
3,0.6,3.32,3.1,8.14,4.01,2.67,0.0,24.0,1.1,-1.81,1.92,0.08,-0.94,5.46,Quantitative,Very Good,Good,1.0,1.0,0.0,James Smith,Other,male,2.0,China,30.0,94027
4,-0.08,2.38,1.6,3.65,2.78,-0.17,0.0,15.0,10.1,6.33,0.0,-4.14,-3.16,3.15,Humanities,None,Good,0.0,0.0,0.0,Raymond Ebner,Other,male,0.0,China,41.0,95002
5,0.88,2.94,1.9,8.6,3.27,1.35,0.0,16.0,1.9,-1.21,3.8,2.62,2.13,9.7,Engineering,Ok,Good,0.0,0.0,0.0,Theodore Mcdade,Other,male,2.0,USA,30.0,95134
6,0.5,2.67,1.6,2.65,1.28,-4.35,0.0,15.0,0.5,-2.31,1.01,-2.02,-3.24,2.7,Quantitative,None,Good,0.0,1.0,1.0,John Egan,Other,male,0.0,USA,29.0,95002
7,-0.25,3.23,1.7,3.05,3.18,0.53,2.3,4.0,3.4,-0.13,3.88,1.95,1.49,8.93,Engineering,Very Good,Good,0.0,0.0,0.0,Leonard Fraser,Other,male,0.0,USA,34.0,94040
8,-0.45,3.28,2.3,4.8,3.85,1.62,2.9,4.0,4.9,1.58,1.83,-0.05,-0.67,5.98,Engineering,Ok,Good,0.0,0.0,0.0,Blake Murakami,Other,male,1.0,USA,30.0,94040
9,-0.52,3.28,3.6,4.47,3.54,-0.43,0.0,66.0,4.1,1.6,3.03,1.68,1.36,8.57,Sciences,Ok,Bad,0.0,0.0,0.0,Leonard Beam,Other,male,0.0,USA,31.0,94925
10,0.53,3.09,1.1,5.87,2.57,-0.73,0.0,18.0,6.3,2.84,2.44,0.62,0.66,7.9,Quantitative,Ok,Good,0.0,0.0,0.0,Bobby Bennett,Other,male,0.0,USA,35.0,95035
11,-1.3,2.59,1.0,3.78,1.69,-6.87,0.0,21.0,3.9,0.43,1.63,0.74,1.24,8.46,Quantitative,None,Good,0.0,1.0,1.0,Jaime Lower,Other,male,0.0,USA,33.0,94538
12,-1.21,2.25,1.5,-1.57,1.64,-5.05,0.0,9.0,3.8,0.49,1.89,-0.17,0.07,7.07,Sciences,None,Bad,0.0,1.0,1.0,Terry Fassett,Other,male,0.0,China,25.0,94085
13,0.66,3.65,3.7,4.93,4.56,5.61,0.0,13.0,0.0,-3.15,3.4,1.62,1.28,8.49,Engineering,Very Good,Good,0.0,0.0,0.0,Juan Haifley,Other,male,2.0,Canada,23.0,94022
14,1.18,3.21,1.8,8.94,4.32,5.7,0.0,6.0,4.0,0.62,3.4,3.54,3.06,10.39,Quantitative,Ok,Good,0.0,0.0,0.0,John Jehle,Other,male,2.0,USA,37.0,94043
