,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,-2.18,3.01,2.3,-1.0,2.24,-6.12,0.0,9.0,7.6,3.6100000000000003,2.46,2.3,1.8,8.81,Quantitative,Ok,Good,1.0,1.0,1.0,Patti Marin,African-American,female,0.0,USA,24.0,94085
1,0.78,3.67,2.1,8.9,4.92,6.41,0.0,26.0,4.0,0.48,1.44,-1.32,-0.74,6.22,Engineering,Very Good,Good,1.0,1.0,1.0,Mitzi Grubbs,African-American,female,2.0,USA,29.0,94403
2,0.84,2.93,2.0,7.09,3.29,1.59,0.0,39.0,1.5,-1.17,0.01,-2.87,-2.49,3.8,Humanities,Very Good,Good,0.0,1.0,0.0,Colleen Pope,African-American,female,2.0,USA,33.0,94578
3,1.62,3.38,2.3,4.82,3.06,2.59,0.0,9.0,2.6,-0.53,3.14,0.57,-0.34,6.5,Quantitative,Very Good,Good,0.0,0.0,0.0,Nora Simon,African-American,female,2.0,USA,26.0,94085
4,-1.35,2.59,0.8,1.69,2.7,-2.64,0.0,48.0,2.1,-0.58,3.45,1.78,1.9,9.56,Quantitative,None,Good,0.0,1.0,0.0,Kera Lopez,African-American,female,0.0,USA,25.0,94109
5,1.75,4.07,1.7999999999999998,7.99,4.12,5.6,0.0,29.0,4.7,0.73,2.99,-0.13,0.3,7.8,Quantitative,Ok,Good,1.0,0.0,0.0,Germaine Stephens,African-American,female,2.0,USA,36.0,94560
6,-0.52,3.72,1.7999999999999998,2.6,3.33,0.24,0.0,58.0,0.0,-5.86,3.0,1.87,1.33,8.45,Engineering,Very Good,Good,0.0,0.0,0.0,Beverly Numbers,African-American,female,0.0,USA,29.0,94720
7,-1.44,2.46,2.1,-0.69,2.01,-4.96,0.0,38.0,2.6,-0.26,2.55,1.86,2.59,10.35,Engineering,Ok,Good,0.0,1.0,1.0,Debra Bowlds,African-American,female,0.0,USA,25.0,94586
8,0.92,3.12,1.5,6.15,3.02,1.2,0.0,14.0,5.5,1.7200000000000002,3.18,1.87,1.08,8.24,Engineering,Ok,Good,0.0,0.0,0.0,Lisa Glaze,African-American,female,0.0,USA,29.0,95002
9,0.18,2.99,-0.3,7.8,2.98,0.03,0.0,36.0,1.0,-1.79,1.35,-1.98,-1.76,5.13,Engineering,Ok,Bad,0.0,0.0,0.0,Margaret Asher,African-American,female,0.0,USA,28.0,94588
10,-0.8,3.52,2.9,3.17,4.07,1.39,0.0,14.0,4.1,0.39,1.72,-1.61,-1.08,5.97,Engineering,None,Good,0.0,0.0,0.0,Zula Patterson,African-American,female,0.0,USA,28.0,95002
11,1.1,3.09,1.2,5.98,3.6,3.99,0.0,29.0,4.5,0.73,1.69,0.36,0.39,7.28,Quantitative,Ok,Good,0.0,0.0,0.0,Tamika Mcneill,African-American,female,2.0,USA,27.0,94560
12,-0.02,3.59,1.9,5.93,3.84,1.84,0.0,36.0,3.0,-0.5,1.14,-2.23,-1.7,5.08,Quantitative,Very Good,Good,0.0,1.0,0.0,Hui Mendoza,African-American,female,2.0,USA,27.0,94588
13,-0.33,2.61,2.1,1.92,2.66,-1.21,0.0,9.0,5.6,1.56,1.98,-0.53,0.39,7.9,Quantitative,Very Good,Good,0.0,1.0,0.0,Ruthie Pollard,African-American,female,1.0,Canada,22.0,94085
14,-0.63,3.37,2.2,5.05,3.72,0.24,0.0,11.0,1.6,-1.49,0.0,-4.2,-3.57,2.88,Engineering,Very Good,Good,0.0,0.0,0.0,Joan Cunningham,African-American,female,0.0,USA,27.0,94089
15,0.12,3.04,1.3,4.48,3.27,1.17,0.0,31.0,2.9,-0.34,0.41,-3.72,-3.08,3.47,Engineering,Very Good,Bad,0.0,1.0,0.0,Stella Houghton,African-American,female,0.0,USA,30.0,94544
