,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,-1.64,2.77,0.4,3.5,1.73,-7.05,0.0,53.0,2.5,-0.36,1.66,1.34,1.49,8.63,Quantitative,Very Good,Bad,0.0,1.0,1.0,Marcia Rogers,Asian,female,0.0,USA,24.0,94549
1,0.84,3.19,3.7,5.3,3.82,3.28,0.0,38.0,2.8,-0.32,1.99,0.63,0.42,7.33,Engineering,Very Good,Good,1.0,0.0,0.0,Virginia Province,Asian,female,2.0,USA,27.0,94586
2,1.45,2.62,2.6,8.9,3.97,4.62,0.0,70.0,4.1,1.21,3.22,1.95,1.63,8.96,Engineering,Very Good,Good,1.0,0.0,0.0,Irene Castellano,Asian,female,2.0,USA,32.0,94903
3,-0.49,3.79,2.8,1.5,3.04,-1.0,0.0,11.0,4.7,1.3,0.69,-0.91,-1.2,5.16,Engineering,None,Good,0.0,0.0,0.0,Louise Hoopes,Asian,female,0.0,USA,25.0,94089
4,0.27,2.52,2.4,1.8,2.38,-0.81,1.9,19.0,2.9,-0.34,4.71,5.76,4.56,12.24,Quantitative,None,Good,0.0,0.0,0.0,Cora Joachim,Asian,female,0.0,USA,28.0,94304
5,-1.06,2.97,1.0,1.8,2.63,-2.19,0.0,15.0,3.1,-0.1,2.61,1.21,1.96,9.67,Engineering,None,Bad,1.0,0.0,0.0,Patricia Riley,Asian,female,1.0,USA,24.0,95002
6,-0.75,2.64,1.9,2.2,2.1,-4.29,0.0,6.0,6.4,2.91,2.13,-0.24,-1.29,5.14,Engineering,Ok,Bad,0.0,1.0,0.0,Eva Belanger,Asian,female,0.0,USA,28.0,94043
7,-1.15,2.45,2.1,-0.3,1.78,-5.11,0.0,44.0,2.0,-0.99,1.74,-0.81,-0.21,7.03,Quantitative,Ok,Good,0.0,1.0,1.0,Sarah Willis,Asian,female,0.0,Australia,25.0,94131
8,-0.36,3.15,1.9,4.2,3.24,-0.01,0.0,48.0,7.0,3.63,0.22,-2.74,-3.18,2.88,Engineering,None,Good,1.0,0.0,1.0,Tillie Grenier,Asian,female,0.0,China,30.0,94109
9,-0.6,2.68,2.3,-1.2,1.82,-3.58,0.0,29.0,3.6,0.73,1.26,-1.61,-2.26,4.11,Engineering,None,Good,0.0,1.0,0.0,Frances Epps,Asian,female,0.0,USA,22.0,94560
10,-0.13,3.18,2.2,2.2,2.85,-0.2,0.0,44.0,2.5,-0.32,2.05,0.4,0.87,8.14,Engineering,Ok,Bad,0.0,0.0,0.0,Taylor Wallace,Asian,female,0.0,USA,25.0,94131
11,-0.16,3.51,3.1,3.1,3.96,2.77,0.0,11.0,3.1,-0.08,2.24,0.94,0.66,7.56,Engineering,Very Good,Good,1.0,0.0,0.0,Susan Whisnant,Asian,female,2.0,USA,25.0,94089
12,-0.03,2.65,3.3,4.3,3.11,-0.31,0.0,34.0,3.4,0.48,1.3,-1.01,-0.44,6.52,Engineering,Ok,Bad,0.0,1.0,0.0,Tiffani Braun,Asian,female,0.0,China,29.0,94030
