,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,-1.83,3.16,1.9,1.48,3.17,-2.47,0.7,52.0,0.3,-2.36,1.71,-1.77,-1.63,5.16,Humanities,Very Good,Bad,0.0,0.0,0.0,Carla Jurgens,Caucasian,female,0.0,Australia,22.0,94611
1,0.9,3.05,4.8,1.43,4.53,6.7,0.0,54.0,0.0,-3.38,1.19,-1.61,-0.57,6.6,Engineering,Very Good,Good,1.0,0.0,0.0,Margie Burleson,Caucasian,female,2.0,USA,29.0,94121
2,-0.35,3.01,2.8,5.56,2.56,-3.52,2.3,2.0,4.2,0.97,1.58,-0.35,-0.5,6.23,Engineering,Ok,Good,0.0,1.0,0.0,Leona Kilby,Caucasian,female,0.0,USA,37.0,94040
3,-1.57,2.62,2.0,-0.98,1.88,-5.51,0.0,76.0,0.0,-4.93,1.55,-0.85,-1.15,5.44,Quantitative,None,Good,0.0,1.0,1.0,Terry Roberts,Caucasian,female,0.0,USA,23.0,94960
4,0.26,3.32,2.0,2.96,2.91,0.43,0.0,46.0,0.6,-2.05,3.69,3.36,3.45,11.27,Quantitative,None,Bad,0.0,0.0,0.0,Amy Mcevoy,Caucasian,female,0.0,USA,23.0,94019
5,0.45,3.08,2.2,3.28,3.32,2.23,0.0,11.0,1.4,-1.81,0.94,-1.16,-1.09,5.43,Quantitative,Ok,Good,0.0,0.0,0.0,Meredith Price,Caucasian,female,2.0,USA,28.0,94089
6,0.68,3.68,4.4,4.61,4.24,4.06,0.0,15.0,2.8,-0.55,0.03,-1.8,-2.26,3.78,Quantitative,Very Good,Good,1.0,0.0,0.0,Lela Trost,Caucasian,female,2.0,USA,29.0,95002
7,1.06,2.15,1.9,7.96,2.93,1.08,1.4,71.0,1.7,-0.74,1.73,-0.62,-0.58,6.33,Quantitative,Very Good,Good,0.0,0.0,0.0,Julia Lee,Caucasian,female,0.0,USA,36.0,94509
8,-0.16,3.06,2.4,2.22,2.42,-2.23,0.0,30.0,3.0,-0.02,2.33,-0.04,-0.24,6.8,Engineering,Ok,Good,1.0,0.0,0.0,Shannan Shelton,Caucasian,female,0.0,USA,27.0,94587
9,0.25,2.89,1.8,0.85,1.84,-2.44,0.0,20.0,7.9,4.03,1.7,-0.26,-0.0,6.99,Engineering,Very Good,Bad,0.0,0.0,0.0,Morgan Zamora,Caucasian,female,0.0,USA,27.0,94025
10,-1.13,2.49,1.0,-2.87,0.6,-8.24,0.0,3.0,3.3,0.22,2.29,0.99,0.5,7.54,Quantitative,Ok,Bad,0.0,1.0,1.0,Clarissa Rumsey,Caucasian,female,0.0,USA,24.0,94040
11,0.21,2.79,2.4,3.35,3.38,1.86,0.0,14.0,5.2,1.94,2.79,0.27,-0.01,7.06,Humanities,Ok,Bad,0.0,0.0,0.0,Janel Crawford,Caucasian,female,2.0,USA,30.0,95002
12,-0.97,3.09,1.9,-0.78,2.15,-3.53,3.0,7.0,5.4,2.04,1.99,-0.14,-0.36,6.43,Engineering,Ok,Good,0.0,1.0,0.0,Suzanne Armendariz,Caucasian,female,0.0,USA,28.0,94043
13,-0.81,3.64,2.2,4.08,3.61,-0.12,0.0,29.0,2.6,-0.48,0.38,-1.34,-0.57,6.28,Quantitative,Ok,Good,0.0,0.0,0.0,Rebecca Witherbee,Caucasian,female,0.0,USA,29.0,94560
14,-0.08,1.8,2.3,4.1,2.1,-3.14,0.0,1.0,2.2,-0.91,2.14,0.57,1.3,8.76,Sciences,Ok,Good,0.0,1.0,0.0,Paula Rolfe,Caucasian,female,0.0,Canada,29.0,94040
15,0.16,3.81,2.7,4.02,3.9,2.62,0.0,31.0,3.4,0.35,1.0,-2.07,-1.11,5.95,Engineering,Very Good,Good,1.0,0.0,0.0,Debra Norman,Caucasian,female,2.0,USA,26.0,94544
16,1.14,3.28,3.3,7.58,4.26,4.77,0.0,33.0,6.6,3.05,2.05,0.64,0.25,7.21,Humanities,Very Good,Good,1.0,0.0,0.0,Jenell Hauck,Caucasian,female,2.0,USA,35.0,94010
17,0.62,3.2,1.2,8.35,3.57,2.15,0.0,6.0,3.4,0.16,0.66,-2.72,-2.76,3.63,Quantitative,Very Good,Good,0.0,0.0,0.0,Dorothy Reddout,Caucasian,female,2.0,USA,37.0,94043
18,0.15,3.33,2.7,0.46,2.72,-0.04,0.0,22.0,5.3,2.03,1.87,0.2,1.24,8.9,Engineering,None,Good,0.0,0.0,0.0,Jill Murray,Caucasian,female,0.0,USA,27.0,94061
19,-0.26,3.43,1.3,2.49,3.8,3.13,0.0,89.0,2.7,0.2,2.83,0.04,-0.03,7.22,Sciences,None,Good,0.0,0.0,0.0,Lindsey Moran,Caucasian,female,0.0,USA,28.0,94559
20,1.05,3.58,2.0,5.7,4.08,5.18,0.0,32.0,6.9,2.92,2.67,0.65,1.19,8.65,Engineering,Very Good,Good,1.0,0.0,0.0,Kellye Rodriquez,Caucasian,female,2.0,USA,30.0,94544
21,-0.15,2.6,1.1,2.23,2.2,-1.99,0.0,55.0,1.7,-1.2,0.99,-1.96,-1.4,5.44,Engineering,Ok,Bad,0.0,0.0,0.0,Carol Braswell,Caucasian,female,0.0,USA,28.0,94523
