,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,-0.06,2.13,3.1,1.87,2.46,-1.39,3.3,33.0,5.2,2.1,2.15,1.72,2.16,9.54,Engineering,Ok,Good,0.0,0.0,0.0,Theresa Dick,Hispanic,female,0.0,USA,31.0,94010
1,-0.06,3.26,2.1,0.66,2.96,0.66,0.0,11.0,2.3,-0.6,2.35,0.64,-0.04,6.83,Engineering,Ok,Good,1.0,1.0,0.0,Latricia Nelson,Hispanic,female,0.0,Canada,23.0,94089
2,-1.05,2.72,0.5,5.36,2.8,-2.36,0.0,13.0,2.6,-0.38,2.57,1.31,1.21,8.46,Engineering,None,Good,0.0,0.0,0.0,Donna Gold,Hispanic,female,0.0,Mexico,31.0,94022
3,0.38,3.21,1.2,3.67,3.39,2.59,0.0,32.0,2.0,-1.01,2.53,1.56,0.98,8.02,Quantitative,Ok,Good,1.0,0.0,0.0,Mary Schneider,Hispanic,female,2.0,USA,31.0,94544
4,0.65,3.21,2.0,8.26,3.77,2.66,0.0,83.0,1.8,-0.45,1.22,-1.71,-0.79,6.25,Humanities,Very Good,Good,1.0,0.0,0.0,Carla Harris,Hispanic,female,2.0,USA,30.0,94503
5,0.81,3.09,2.2,6.81,2.93,0.02,0.0,50.0,4.7,1.62,2.6,1.72,1.94,9.38,Engineering,None,Good,0.0,0.0,0.0,Carolyn Caldwell,Hispanic,female,0.0,USA,33.0,94609
6,-0.39,3.64,1.4,3.32,2.88,-1.0,0.0,9.0,4.3,1.13,1.76,-0.83,-0.89,5.91,Engineering,Very Good,Bad,0.0,0.0,0.0,Jill Campbell,Hispanic,female,0.0,USA,27.0,94085
7,0.27,2.85,1.9,5.59,3.44,1.79,0.0,62.0,1.6,-1.23,1.62,1.12,1.26,8.37,Engineering,None,Good,0.0,0.0,0.0,Peggy Page,Hispanic,female,2.0,USA,34.0,94564
8,-0.34,2.65,2.0,1.81,2.41,-2.07,1.3,55.0,1.0,-1.95,0.64,-1.22,-0.61,6.24,Quantitative,None,Good,1.0,0.0,0.0,Tiffany Wright,Hispanic,female,0.0,Mexico,26.0,94523
9,-0.58,3.16,0.8,4.05,2.57,-2.31,0.0,47.0,1.7,-1.03,3.18,2.72,2.59,10.06,Sciences,Ok,Bad,0.0,0.0,0.0,Mary Temme,Hispanic,female,0.0,USA,27.0,94114
10,-0.0,2.43,2.4,1.56,1.63,-4.09,0.0,56.0,0.0,-4.09,1.74,-1.57,-2.56,3.67,None,Very Good,Good,0.0,1.0,1.0,Kaitlin Robison,Hispanic,female,0.0,USA,21.0,94595
11,0.59,1.95,2.7,4.02,2.09,-1.76,1.3,40.0,1.3,-1.51,4.25,2.6,1.84,9.43,Engineering,Ok,Bad,0.0,1.0,0.0,Kathy Poncio,Hispanic,female,0.0,USA,32.0,94603
12,-0.86,2.77,1.4,4.99,3.43,-0.3,0.0,58.0,2.5,-0.18,2.66,0.46,0.3,7.52,Humanities,Very Good,Bad,0.0,0.0,0.0,Sheila Willis,Hispanic,female,0.0,USA,26.0,94720
13,-0.59,3.53,1.5,4.92,3.44,-0.01,0.0,33.0,2.9,-0.59,3.46,0.71,0.73,8.41,Engineering,None,Good,1.0,0.0,0.0,Patty Palone,Hispanic,female,0.0,Mexico,38.0,94010
14,-0.02,3.61,2.1,6.27,3.38,0.33,0.0,33.0,3.3,0.19,0.75,-1.53,-1.36,5.32,Humanities,None,Good,1.0,0.0,0.0,Maria Smith,Hispanic,female,0.0,USA,30.0,94010
15,-0.71,2.84,3.0,2.58,2.95,-1.63,2.8,48.0,4.4,1.58,2.25,0.74,0.34,7.22,Engineering,None,Good,0.0,0.0,0.0,Margarita Harris,Hispanic,female,0.0,USA,37.0,94109
16,-0.03,3.13,2.1,1.55,2.49,-1.26,0.0,24.0,4.8,1.58,2.25,-0.15,0.35,7.75,Engineering,None,Bad,0.0,0.0,0.0,Ethel Pushard,Hispanic,female,0.0,USA,26.0,94027
17,1.67,3.12,1.9,8.25,3.79,5.08,0.0,11.0,2.6,-0.53,1.63,-1.71,-1.53,5.34,Quantitative,Very Good,Good,0.0,1.0,0.0,Ann Arias,Hispanic,female,2.0,USA,33.0,94089
18,0.38,3.14,0.8,8.72,3.24,0.84,0.0,42.0,2.7,-0.18,3.18,1.87,2.04,9.7,Sciences,Very Good,Good,0.0,0.0,0.0,Annette Tice,Hispanic,female,0.0,USA,31.0,94605
19,0.23,3.09,3.3,0.04,2.2,-1.79,0.0,8.0,4.1,0.77,1.42,-0.29,0.26,7.4,Engineering,None,Good,0.0,0.0,0.0,Kimberly Kuhns,Hispanic,female,0.0,USA,31.0,94085
20,-0.33,3.06,2.1,1.12,2.55,-1.56,0.0,10.0,1.7,-1.37,2.64,0.99,1.61,9.1,Quantitative,Ok,Bad,1.0,0.0,0.0,Jane Hayes,Hispanic,female,0.0,Australia,26.0,94085
21,0.37,2.52,0.9,4.45,2.9,0.92,0.0,74.0,0.0,-4.04,0.93,-2.41,-0.34,7.38,Engineering,None,Good,0.0,0.0,0.0,Susan Cruz,Hispanic,female,0.0,USA,26.0,94591
22,-2.25,1.66,-1.3,2.22,0.25,-11.79,0.0,11.0,6.0,2.53,1.12,-1.9,-1.81,4.81,Engineering,None,Good,0.0,1.0,1.0,Sandra Axtell,Hispanic,female,0.0,Australia,33.0,94089
23,-0.97,1.87,0.0,1.74,0.44,-8.95,0.0,34.0,2.6,-0.26,1.07,-3.24,-2.8,3.89,Engineering,Ok,Bad,0.0,1.0,1.0,Patricia Brown,Hispanic,female,0.0,Mexico,22.0,94030
24,0.52,3.23,3.1,4.38,3.67,2.6,0.0,45.0,5.1,1.93,1.27,-1.13,-1.59,4.77,Quantitative,Ok,Good,1.0,0.0,0.0,Marlene Bacon,Hispanic,female,2.0,USA,34.0,94105
25,0.3,3.56,1.6,2.64,3.59,3.21,0.0,76.0,3.9,1.12,2.58,-0.57,-0.52,6.57,Engineering,Very Good,Bad,1.0,1.0,0.0,Ruth Long,Hispanic,female,2.0,USA,27.0,94960
26,-0.55,3.37,3.2,2.81,3.01,-1.68,0.0,20.0,4.8,1.64,4.74,5.16,4.01,11.62,Engineering,None,Good,0.0,0.0,0.0,Rosemarie Darlington,Hispanic,female,0.0,USA,29.0,94025
27,-0.57,2.92,2.5,1.95,2.92,-1.04,0.0,63.0,0.7,-2.03,3.25,3.05,2.74,10.18,Engineering,Very Good,Bad,1.0,0.0,0.0,Josefina Ronin,Hispanic,female,0.0,Mexico,24.0,94801
