,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,-0.63,2.68,1.3,4.65,2.97,-0.96,0.0,42.0,5.6,2.39,1.94,-0.59,-1.09,5.61,Humanities,None,Good,0.0,0.0,0.0,Sharon Mcadams,Other,female,0.0,USA,33.0,94605
1,-0.18,2.18,1.9,5.37,3.76,2.43,1.0,39.0,1.4,-1.09,1.59,-1.63,-1.07,5.84,Humanities,Very Good,Good,0.0,0.0,0.0,Taylor Sonnenberg,Other,female,2.0,China,31.0,94578
2,-1.17,2.44,2.4,4.71,2.14,-5.78,0.0,16.0,7.2,3.58,1.65,-1.21,-0.13,7.25,Engineering,None,Good,0.0,1.0,1.0,Emily Waligora,Other,female,0.0,USA,36.0,95134
3,0.03,2.97,2.4,0.42,2.54,-0.7,0.0,58.0,5.8,2.58,2.15,-0.33,0.25,7.61,Engineering,Ok,Good,0.0,0.0,0.0,Joy Mickey,Other,female,0.0,USA,31.0,94720
4,0.43,3.21,3.2,2.43,3.43,2.25,0.0,15.0,0.0,-3.75,2.3,0.91,1.4,8.78,Engineering,Ok,Good,0.0,0.0,0.0,Maureen Rosario,Other,female,2.0,Canada,30.0,95002
5,0.2,3.44,2.3,5.32,3.73,2.26,0.0,72.0,2.1,-0.45,1.6,-0.74,-1.68,4.52,Sciences,Ok,Good,0.0,0.0,0.0,Kathleen Schluter,Other,female,1.0,China,27.0,94572
6,-0.1,2.57,0.5,5.26,3.03,0.66,0.0,40.0,6.8,3.58,1.81,0.2,-0.51,6.0,Engineering,Ok,Good,0.0,0.0,0.0,Josephine Reichert,Other,female,0.0,USA,34.0,94603
7,-0.17,2.46,-0.4,-2.67,0.68,-4.93,0.0,7.0,5.3,2.02,3.46,3.52,2.59,9.8,Humanities,None,Good,0.0,1.0,1.0,Cheryl Jernberg,Other,female,0.0,USA,25.0,94043
8,-0.14,3.81,5.7,0.68,4.73,4.48,0.0,54.0,0.0,-2.93,1.76,0.15,-0.3,6.42,Quantitative,Ok,Good,1.0,0.0,0.0,Shirley Buck,Other,female,2.0,USA,26.0,94121
9,0.28,3.26,2.1,5.94,3.34,0.87,0.0,27.0,4.7,1.69,1.67,-2.05,-1.49,5.53,Engineering,Very Good,Good,0.0,0.0,0.0,Eleanor Hauptman,Other,female,0.0,USA,31.0,94070
10,1.62,2.84,1.7,6.91,3.23,3.75,0.0,44.0,1.9,-0.35,3.84,4.77,3.48,10.69,Sciences,Very Good,Good,1.0,0.0,0.0,Edna Jimenez,Other,female,2.0,USA,28.0,94131
11,-0.96,2.76,1.6,4.52,2.84,-2.34,0.0,24.0,7.3,3.46,1.67,-0.95,-1.94,4.24,Engineering,None,Bad,0.0,0.0,0.0,Sandra Lusk,Other,female,0.0,USA,35.0,94027
12,-0.67,3.37,2.2,4.37,3.19,-1.21,0.0,12.0,4.6,1.38,1.04,-2.37,-1.7,5.18,Engineering,None,Good,0.0,0.0,0.0,Michelle Hayhoe,Other,female,0.0,USA,34.0,94087
13,-0.88,2.63,3.0,4.41,3.25,-1.7,0.0,9.0,3.6,0.16,1.36,-1.43,-0.41,6.82,Engineering,None,Good,0.0,0.0,0.0,Aretha Miron,Other,female,0.0,China,34.0,94085
14,0.62,2.99,1.4,1.84,1.82,-1.92,3.4,12.0,6.2,2.72,0.85,-0.68,-0.95,5.39,Engineering,Very Good,Bad,0.0,0.0,0.0,Vicky Howard,Other,female,0.0,USA,34.0,94087
15,0.48,3.58,2.7,3.38,3.68,3.0,0.0,6.0,6.9,3.43,0.72,-2.37,-2.31,4.11,Engineering,Very Good,Good,0.0,0.0,0.0,Deborah Synder,Other,female,1.0,USA,33.0,94043
16,0.46,1.98,0.9,5.04,2.07,-1.59,1.4,11.0,2.2,-0.53,3.83,3.51,3.83,11.95,Humanities,None,Bad,0.0,0.0,0.0,Dorothy Mazurek,Other,female,0.0,Australia,33.0,94089
17,-0.14,3.24,1.5,1.25,2.26,-1.92,0.0,54.0,2.8,-0.16,2.83,2.73,2.67,10.13,Humanities,Ok,Good,1.0,0.0,0.0,Marian Holbrook,Other,female,0.0,USA,23.0,94121
18,-0.07,3.05,2.3,4.04,3.58,1.87,0.0,5.0,1.2,-1.79,3.21,2.71,1.85,8.95,Engineering,None,Good,0.0,0.0,0.0,Jessica Martin,Other,female,0.0,USA,24.0,94043
19,-0.48,3.24,1.4,3.02,3.4,1.08,0.0,1.0,4.9,1.54,1.72,-0.53,-0.82,5.85,Engineering,Ok,Good,0.0,0.0,0.0,Eileen Sigler,Other,female,0.0,USA,30.0,94040
20,0.05,3.48,2.3,1.07,3.25,1.58,1.6,14.0,2.9,0.1,2.13,-0.57,-1.11,5.61,Sciences,None,Good,1.0,0.0,0.0,Colleen Recuparo,Other,female,0.0,USA,30.0,95002
21,-0.53,2.5,1.0,5.37,2.25,-3.54,0.0,24.0,5.9,2.61,3.88,3.81,2.52,9.71,Humanities,Ok,Bad,0.0,1.0,0.0,Johnnie Hall,Other,female,1.0,USA,37.0,94027
22,1.42,3.65,3.0,7.22,4.07,4.83,0.0,42.0,3.1,0.41,2.68,0.82,1.04,8.36,Quantitative,Ok,Good,1.0,0.0,0.0,Shirley Mincy,Other,female,2.0,USA,39.0,94605
23,0.06,2.7,1.0,3.59,2.51,-0.64,0.0,15.0,3.2,0.04,4.53,3.63,3.31,11.07,Quantitative,Ok,Good,0.0,0.0,0.0,Mary Wellard,Other,female,0.0,USA,31.0,95002
24,1.05,2.37,2.5,6.19,3.11,1.99,0.0,64.0,1.7,-1.09,3.18,1.79,1.02,8.06,Engineering,Very Good,Good,0.0,0.0,0.0,Lois Cave,Other,female,0.0,USA,30.0,94525
25,0.14,2.6,0.7,3.18,2.08,-1.83,0.0,13.0,5.0,1.75,3.85,3.52,2.63,9.96,Quantitative,None,Good,0.0,0.0,0.0,Jewel Perez,Other,female,0.0,USA,32.0,94022
26,0.65,3.32,2.3,3.83,3.59,3.43,2.1,63.0,2.8,-0.01,2.52,0.16,0.17,7.4,Quantitative,Ok,Good,0.0,0.0,0.0,Janet Stahly,Other,female,2.0,USA,33.0,94801
27,0.4,2.87,3.2,5.78,3.76,2.43,0.0,46.0,1.7,-0.87,1.71,-0.02,-0.47,6.13,Sciences,Very Good,Good,0.0,0.0,0.0,Anne Lantrip,Other,female,2.0,USA,29.0,94019
28,-0.52,2.78,1.7,1.0,1.96,-3.55,0.0,0.0,5.8,2.57,1.27,-1.73,-1.28,5.57,Quantitative,None,Good,0.0,1.0,0.0,Ruth Garver,Other,female,1.0,China,30.0,94040
29,0.38,3.68,2.1,5.78,4.48,5.32,0.0,21.0,4.7,1.43,2.91,2.61,3.51,11.51,Engineering,Very Good,Good,1.0,1.0,0.0,Carmela Mcdowell,Other,female,2.0,USA,32.0,94538
30,0.47,2.41,2.4,1.42,2.22,-0.68,0.0,52.0,3.5,0.61,2.94,1.11,1.24,8.73,Sciences,Very Good,Good,0.0,0.0,0.0,Serena Shurley,Other,female,0.0,USA,26.0,94611
31,1.11,2.74,3.2,7.78,4.18,5.13,0.0,62.0,1.7,-0.97,2.08,0.54,-0.25,6.48,Quantitative,Very Good,Good,1.0,0.0,0.0,Mikaela Stillwagon,Other,female,2.0,USA,37.0,94564
32,2.4,3.09,2.8,7.28,3.96,6.96,2.0,21.0,2.9,-0.35,2.99,3.02,3.82,11.8,Engineering,Ok,Good,1.0,0.0,0.0,Claudine Gantner,Other,female,2.0,USA,30.0,94538
33,0.54,3.07,2.6,8.79,4.91,6.23,0.0,31.0,3.8,0.77,2.78,1.45,0.22,6.94,Sciences,Ok,Good,1.0,0.0,0.0,Ann Adams,Other,female,2.0,USA,34.0,94544
34,0.32,3.0,0.6,6.3,2.36,-1.49,0.0,48.0,0.0,-4.03,2.21,0.23,-0.52,6.19,Engineering,None,Bad,0.0,0.0,0.0,Julie Level,Other,female,0.0,USA,35.0,94109
35,0.53,3.5,0.0,5.67,2.5,-0.42,3.0,75.0,4.6,1.97,0.07,-1.91,-1.32,5.15,Sciences,None,Bad,0.0,0.0,0.0,Theresa Reese,Other,female,0.0,USA,39.0,94941
36,1.21,2.95,3.2,0.83,2.72,1.95,0.0,27.0,4.8,1.54,2.11,0.45,0.92,8.31,Quantitative,Ok,Good,0.0,0.0,0.0,Doris Suter,Other,female,0.0,USA,25.0,94070
37,-1.97,2.84,1.4,-0.96,1.07,-9.28,0.0,32.0,3.0,-0.15,2.82,1.11,1.03,8.34,Engineering,Very Good,Good,0.0,1.0,1.0,Christine Bates,Other,female,0.0,USA,23.0,94544
38,0.94,3.58,1.4,6.55,3.84,4.22,0.0,28.0,2.3,-0.85,3.4,1.58,1.53,9.17,Engineering,Very Good,Good,1.0,0.0,0.0,Annamae Stilwell,Other,female,2.0,China,32.0,94402
39,1.86,3.06,3.7,10.43,5.02,8.28,0.0,13.0,6.6,3.14,1.42,-1.26,-0.46,6.71,Engineering,Very Good,Good,1.0,0.0,0.0,Deborah Noble,Other,female,2.0,USA,42.0,94022
40,0.43,3.22,2.2,3.75,3.1,1.24,0.0,20.0,6.5,3.2,1.27,-0.59,-1.39,4.95,Engineering,Very Good,Good,0.0,0.0,0.0,Nancy Rushing,Other,female,0.0,USA,37.0,94025
41,-1.06,2.75,1.0,0.87,1.61,-5.63,0.0,27.0,2.5,-0.36,2.89,0.16,0.37,7.83,Sciences,Ok,Bad,0.0,1.0,1.0,Candace Stafford,Other,female,0.0,USA,26.0,94070
42,-0.65,3.29,0.8,1.77,2.69,-1.17,0.0,36.0,3.5,0.42,4.02,3.32,2.74,10.37,Humanities,None,Bad,0.0,0.0,0.0,Jessie Hinojos,Other,female,0.0,USA,30.0,94588
43,-0.31,3.18,2.1,1.2,2.83,-0.44,0.0,87.0,0.3,-2.1,4.41,5.13,3.9,11.42,Engineering,Ok,Bad,0.0,0.0,0.0,Phyllis Standen,Other,female,0.0,USA,29.0,94973
