,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,0.54,2.55,3.1,5.71,3.46,1.87,0.0,25.0,5.4,1.94,1.86,-0.34,-0.07,6.98,Sciences,Ok,Good,0.0,0.0,1.0,Benjamin Ruiz,Asian,male,2.0,Australia,39.0,94539
1,-0.47,2.55,3.0,0.42,2.9,-0.39,0.0,51.0,5.8,2.63,2.5,1.77,1.49,8.64,Engineering,Ok,Good,0.0,0.0,0.0,Erik Lawrence,Asian,male,0.0,USA,28.0,94618
2,0.57,3.66,2.4,7.09,4.44,4.77,0.0,22.0,4.0,0.48,1.15,-1.27,-1.02,5.73,Quantitative,Very Good,Good,1.0,0.0,0.0,Robert Frazer,Asian,male,2.0,China,33.0,94061
3,0.02,3.75,2.6,4.37,3.38,0.55,0.0,41.0,3.5,0.34,1.36,-1.06,-0.64,6.29,Humanities,Ok,Good,0.0,0.0,0.0,John Tye,Asian,male,0.0,USA,30.0,94542
4,0.32,2.6,1.1,2.86,2.53,0.14,0.0,18.0,0.8,-1.78,1.95,-1.43,-1.45,5.3,Engineering,None,Good,0.0,0.0,0.0,Bradley Petersen,Asian,male,0.0,Canada,29.0,95035
5,0.23,2.75,1.0,5.41,1.9,-3.36,0.0,55.0,2.2,-0.53,3.67,2.82,3.72,11.9,Engineering,Ok,Good,0.0,1.0,0.0,James Schultz,Asian,male,0.0,USA,33.0,94523
6,0.8,2.9,3.3,5.4,3.78,3.44,0.0,62.0,2.2,-0.71,1.55,-1.84,-1.89,4.72,Humanities,Ok,Good,1.0,0.0,0.0,Earl Bilbro,Asian,male,2.0,USA,37.0,94564
7,0.07,3.18,2.0,5.75,3.47,1.2,0.0,5.0,3.1,0.1,0.97,-1.07,-0.09,7.0,Quantitative,Very Good,Good,0.0,0.0,0.0,Elmer Partlow,Asian,male,0.0,USA,32.0,94043
8,-1.62,2.93,3.5,-3.63,1.85,-6.01,0.0,24.0,3.3,0.13,0.0,-5.16,-3.87,2.43,Engineering,Very Good,Good,0.0,1.0,1.0,Charles Strickland,Asian,male,0.0,USA,23.0,94027
9,1.2,4.15,1.4,10.32,5.03,7.53,0.0,35.0,0.0,-3.05,1.15,-1.15,-0.44,6.64,Engineering,Very Good,Good,1.0,0.0,0.0,Delbert Merritt,Asian,male,2.0,USA,33.0,94566
10,0.85,2.73,1.5,6.28,3.21,2.25,1.3,93.0,1.3,-1.04,0.65,-3.61,-2.88,3.7,Engineering,Very Good,Good,1.0,1.0,0.0,Francisco Delarosa,Asian,male,1.0,USA,30.0,94954
11,0.42,3.46,2.6,6.46,3.51,1.15,0.0,40.0,0.3,-2.17,2.3,1.15,1.52,8.9,Quantitative,Very Good,Good,0.0,0.0,0.0,Brian Palmer,Asian,male,0.0,USA,31.0,94603
12,0.86,2.63,2.4,7.61,3.07,0.68,0.0,29.0,4.9,1.67,1.45,-0.89,-0.48,6.5,Engineering,Ok,Bad,0.0,0.0,0.0,Jonathan Hernandez,Asian,male,0.0,Canada,32.0,94560
13,0.43,2.96,2.6,8.61,4.09,3.07,0.0,4.0,1.2,-2.11,1.28,-2.3,-2.47,3.96,Engineering,Very Good,Good,1.0,0.0,0.0,Robert Swafford,Asian,male,2.0,Australia,30.0,94040
14,-0.84,3.06,1.2,1.46,2.25,-3.45,0.0,15.0,2.7,-0.43,2.52,0.07,0.48,7.86,Engineering,Ok,Good,1.0,1.0,0.0,Stephen Burt,Asian,male,2.0,USA,24.0,95002
15,0.5,3.65,2.6,7.6,4.47,4.6,0.0,22.0,7.4,4.08,0.21,-4.8,-3.48,3.2,Engineering,Ok,Good,1.0,0.0,0.0,William Rodriguez,Asian,male,1.0,USA,43.0,94061
16,-0.84,3.28,1.6,3.05,2.67,-2.57,0.0,33.0,0.5,-2.06,2.42,0.81,0.39,7.42,Quantitative,Ok,Good,0.0,1.0,0.0,Robert Adams,Asian,male,0.0,Australia,31.0,94010
17,0.76,3.04,0.9,8.6,2.93,0.34,0.0,23.0,2.1,-0.94,2.86,1.46,1.37,8.71,Humanities,Very Good,Good,0.0,0.0,0.0,Joseph Mims,Asian,male,0.0,USA,33.0,94028
18,0.03,3.18,2.7,3.28,3.42,1.34,0.0,55.0,2.8,-0.14,2.23,-1.0,-0.92,6.18,Engineering,Ok,Good,0.0,0.0,0.0,Shaun Keels,Asian,male,0.0,USA,26.0,94523
19,-0.09,4.17,2.3,3.32,3.8,2.01,0.0,30.0,0.8,-2.18,1.65,-0.24,-0.21,6.73,Engineering,Very Good,Good,0.0,0.0,0.0,Kevin Isenhour,Asian,male,2.0,USA,22.0,94587
20,-1.49,2.31,1.1,-1.72,0.8,-8.38,0.7,47.0,0.5,-1.98,0.27,-2.79,-2.92,3.12,Engineering,None,Good,0.0,1.0,1.0,Samuel Noon,Asian,male,0.0,USA,20.0,94114
21,-0.59,2.65,1.6,1.58,2.37,-2.33,0.0,50.0,0.3,-2.09,0.0,-3.96,-3.51,2.72,Engineering,None,Good,0.0,0.0,0.0,Edward Armstrong,Asian,male,0.0,USA,26.0,94609
22,-1.58,2.79,2.3,0.26,2.71,-3.23,0.0,1.0,4.2,1.03,0.94,-1.25,-1.32,5.11,Humanities,None,Bad,0.0,1.0,0.0,Melvin Wright,Asian,male,0.0,USA,29.0,94040
23,-0.05,3.3,2.1,4.98,3.73,2.07,0.0,9.0,5.7,2.39,1.99,1.06,0.47,7.32,Sciences,Very Good,Good,0.0,0.0,0.0,John Jones,Asian,male,2.0,China,38.0,94085
24,0.35,2.86,2.6,4.23,3.01,0.34,2.6,25.0,4.2,0.96,3.61,0.07,0.02,7.62,Quantitative,Ok,Good,0.0,0.0,0.0,Thomas Sesler,Asian,male,0.0,Canada,32.0,94539
25,-0.98,2.79,1.0,0.84,1.86,-4.58,0.0,49.0,2.7,-0.29,3.12,1.25,1.24,8.71,Engineering,None,Good,1.0,1.0,1.0,John Whitten,Asian,male,0.0,USA,24.0,94502
26,0.72,2.57,1.5,3.1,1.7,-2.44,0.0,41.0,4.3,1.22,1.85,-1.58,-0.45,7.0,Engineering,Ok,Good,0.0,1.0,0.0,Christopher Jefferies,Asian,male,0.0,USA,30.0,94542
27,0.68,2.51,1.9,7.19,3.2,1.51,0.0,19.0,3.6,0.68,0.96,-1.77,-1.77,4.89,Engineering,Ok,Good,0.0,0.0,0.0,James Harford,Asian,male,2.0,USA,35.0,94304
28,1.42,3.62,3.0,8.47,4.87,7.52,0.0,9.0,5.7,2.17,2.74,0.85,-0.29,6.37,Engineering,Ok,Good,0.0,0.0,0.0,James Renshaw,Asian,male,1.0,USA,38.0,94085
29,-0.2,2.36,1.5,2.3,1.47,-4.75,0.0,39.0,6.1,2.79,2.73,2.19,2.49,10.05,Engineering,None,Bad,0.0,1.0,1.0,Phillip Wilkinson,Asian,male,0.0,USA,33.0,94578
30,-1.57,2.93,2.2,-0.53,2.45,-3.73,0.0,74.0,0.0,-4.44,2.73,1.42,1.9,9.58,Engineering,None,Bad,0.0,1.0,0.0,Bernard Sienkiewicz,Asian,male,0.0,USA,25.0,94591
31,-0.9,2.83,1.7,2.02,2.17,-4.0,0.0,29.0,4.5,1.4,1.28,-1.85,-0.67,6.66,Engineering,Very Good,Good,0.0,1.0,1.0,Eddie Holman,Asian,male,0.0,USA,29.0,94560
32,-0.86,3.05,1.9,3.33,2.3,-4.24,0.0,36.0,5.8,2.64,2.96,1.72,1.38,8.61,Engineering,Ok,Bad,0.0,1.0,1.0,Richard Bradshaw,Asian,male,0.0,USA,32.0,94588
33,0.47,3.07,2.5,2.04,3.16,2.0,0.0,41.0,3.0,0.24,1.12,-1.25,-1.3,5.31,Engineering,None,Good,1.0,0.0,0.0,Bobby Bednar,Asian,male,2.0,USA,25.0,94542
34,0.41,3.5,2.0,5.99,3.67,2.37,0.0,44.0,0.8,-1.76,2.02,-0.97,-1.1,5.73,Humanities,Ok,Good,0.0,0.0,0.0,Douglas Wood,Asian,male,2.0,USA,27.0,94131
