,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,-0.93,3.0,1.7,2.64,1.61,-6.61,0.0,11.0,0.8,-1.97,1.44,-1.26,-1.41,5.19,Engineering,None,Bad,0.0,1.0,1.0,Dustin Cordova,Caucasian,male,0.0,USA,26.0,94089
1,-0.57,3.15,2.0,2.79,2.67,-2.04,0.9,69.0,0.0,-2.51,1.92,-0.22,-0.82,5.82,Quantitative,Ok,Bad,0.0,0.0,0.0,Edwin Dorfman,Caucasian,male,0.0,USA,26.0,94510
2,-0.05,3.2,0.9,6.05,3.3,1.04,0.0,5.0,5.2,1.57,0.84,-1.81,-1.85,4.54,Sciences,Ok,Good,0.0,0.0,0.0,Bobby Spencer,Caucasian,male,0.0,USA,32.0,94043
3,-0.54,4.17,3.3,4.7,4.35,2.14,0.0,73.0,0.5,-2.07,3.16,1.82,1.7,9.13,Humanities,Very Good,Good,0.0,0.0,0.0,Henry Collins,Caucasian,male,2.0,USA,27.0,94591
4,0.75,3.74,1.3,6.15,3.58,3.0,0.0,51.0,3.9,0.9,1.43,-1.22,-1.05,5.86,Sciences,Ok,Good,1.0,0.0,0.0,Herbert Boling,Caucasian,male,2.0,Australia,31.0,94618
5,0.48,3.42,1.9,5.24,3.06,0.6,0.0,45.0,2.7,-0.22,2.22,0.61,0.4,7.33,Engineering,Ok,Good,0.0,0.0,0.0,Ralph Hearn,Caucasian,male,0.0,USA,29.0,94105
6,-0.26,3.34,0.2,5.46,3.35,1.11,2.3,46.0,3.4,0.37,0.83,-2.89,-2.1,4.71,Quantitative,Ok,Good,0.0,0.0,0.0,Robert Reed,Caucasian,male,0.0,Canada,32.0,94019
7,-0.12,2.57,0.6,7.34,2.77,-1.4,1.4,14.0,2.1,-0.9,1.68,-0.26,-0.05,7.15,Engineering,None,Good,0.0,0.0,0.0,Dustin Mcdiarmid,Caucasian,male,0.0,USA,34.0,95002
8,0.56,3.58,2.8,7.98,4.3,3.89,3.0,59.0,4.8,2.07,2.31,-1.51,-0.61,6.92,Quantitative,Very Good,Good,1.0,1.0,0.0,Michael Olberding,Caucasian,male,2.0,USA,32.0,94709
9,-0.09,3.67,3.1,2.63,3.35,0.57,1.6,24.0,2.3,-0.64,0.41,-3.01,-2.71,3.69,Quantitative,Ok,Good,1.0,0.0,0.0,Henry Pinder,Caucasian,male,0.0,USA,32.0,94027
10,0.51,2.46,1.7,7.04,3.22,1.28,0.0,18.0,1.9,-0.86,1.96,-0.38,0.4,7.81,Humanities,Ok,Good,0.0,0.0,0.0,James Lemons,Caucasian,male,2.0,USA,30.0,95035
11,-0.3,2.56,2.1,1.38,2.78,-0.28,0.0,60.0,5.5,2.41,3.54,2.78,2.74,10.42,Engineering,None,Good,0.0,0.0,0.0,John Farrar,Caucasian,male,0.0,USA,25.0,94707
12,-0.66,2.87,1.6,-1.72,1.84,-3.26,0.0,44.0,4.0,1.12,1.58,1.23,0.46,6.87,Engineering,Very Good,Bad,1.0,1.0,0.0,Tony Beasley,Caucasian,male,0.0,USA,23.0,94131
13,-1.36,1.91,2.2,1.86,1.75,-6.35,0.0,29.0,2.6,-0.24,1.33,-1.62,-2.24,4.09,Engineering,Ok,Bad,0.0,1.0,1.0,George Riley,Caucasian,male,0.0,USA,23.0,94560
14,-0.51,2.74,2.8,1.07,2.0,-4.13,0.0,74.0,3.2,0.61,0.18,-1.99,-0.58,6.51,Quantitative,Ok,Bad,0.0,1.0,1.0,David Chang,Caucasian,male,1.0,USA,26.0,94591
15,-0.24,3.0,3.5,6.37,3.93,1.36,2.2,40.0,3.4,0.53,2.64,2.06,1.56,8.74,Quantitative,Ok,Good,0.0,0.0,0.0,Robert Thomas,Caucasian,male,0.0,USA,30.0,94603
16,0.67,2.49,2.5,8.0,2.99,-0.04,0.0,57.0,1.1,-1.65,2.2,0.36,0.06,7.05,Sciences,None,Bad,0.0,0.0,0.0,Robert Sapp,Caucasian,male,2.0,USA,32.0,94038
