,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,-0.17,2.28,0.2,4.64,2.38,-1.37,0.0,87.0,6.2,3.27,3.38,5.48,5.45,13.32,Engineering,Ok,Good,1.0,0.0,0.0,Julio Spinks,Hispanic,male,0.0,USA,32.0,94973
1,-0.09,2.18,2.5,1.19,1.81,-3.45,3.4,10.0,5.7,2.08,3.1,4.39,3.92,11.27,Engineering,Ok,Bad,0.0,1.0,0.0,Brad Searcy,Hispanic,male,0.0,USA,28.0,94085
2,0.8,3.36,2.0,4.96,3.88,4.34,2.8,28.0,5.3,2.4,1.84,0.94,0.98,8.04,Engineering,None,Good,0.0,0.0,0.0,Dale Graham,Hispanic,male,2.0,USA,34.0,94402
3,-0.52,2.24,1.5,3.83,2.52,-2.07,0.0,26.0,2.4,-0.35,2.39,0.87,1.54,9.13,Sciences,Ok,Bad,0.0,0.0,0.0,Michael Guest,Hispanic,male,0.0,Mexico,34.0,94403
4,1.25,2.95,2.3,8.73,3.79,3.78,0.0,10.0,2.3,-0.44,3.98,3.95,2.94,10.41,Sciences,Ok,Good,1.0,0.0,0.0,Mike Stoltz,Hispanic,male,2.0,Australia,29.0,94085
5,0.01,2.38,2.1,0.72,2.17,-1.79,0.0,2.0,1.4,-1.6,0.46,-4.34,-3.05,3.8,Engineering,Ok,Bad,0.0,0.0,0.0,George Hunt,Hispanic,male,0.0,USA,20.0,94040
6,-0.53,2.34,1.5,0.67,1.09,-6.48,0.0,9.0,4.9,1.53,1.47,-0.92,-0.77,6.08,Quantitative,Very Good,Good,0.0,1.0,1.0,John Britcher,Hispanic,male,0.0,Mexico,28.0,94085
7,-0.45,2.58,0.9,4.42,2.31,-2.81,0.0,40.0,3.9,0.94,2.37,0.05,-1.0,5.45,Engineering,None,Bad,0.0,1.0,0.0,Michael Woodward,Hispanic,male,0.0,USA,31.0,94603
8,1.25,2.96,1.6,5.84,2.78,1.5,0.0,6.0,2.0,-1.36,1.37,-0.34,0.37,7.48,Quantitative,Ok,Good,0.0,1.0,0.0,Tyrell Smith,Hispanic,male,2.0,Mexico,31.0,94043
9,-0.81,3.36,3.0,2.22,2.44,-3.9,0.0,42.0,5.4,2.05,4.67,5.67,5.98,14.57,Sciences,Very Good,Good,0.0,1.0,0.0,Salvador Douglas,Hispanic,male,0.0,Mexico,28.0,94605
10,0.62,2.47,2.7,6.5,3.16,1.09,2.9,7.0,4.6,1.2,1.89,-0.02,-0.21,6.67,Engineering,None,Good,0.0,0.0,0.0,Donald Koopman,Hispanic,male,0.0,USA,37.0,94043
11,0.62,3.53,1.0,5.39,3.06,1.35,1.9,58.0,2.2,-0.68,3.4,1.47,1.12,8.54,Engineering,Ok,Good,0.0,0.0,0.0,Jose Greenfield,Hispanic,male,0.0,USA,32.0,94720
12,-1.09,2.37,1.3,1.99,2.33,-3.52,0.0,14.0,6.8,3.02,0.69,-2.13,-0.85,6.28,Engineering,Ok,Good,0.0,1.0,0.0,Brian Davis,Hispanic,male,2.0,USA,28.0,95002
13,-1.64,3.75,1.5,-1.67,3.63,0.65,0.0,15.0,5.6,2.08,1.41,-3.2,-3.09,3.65,Engineering,None,Good,0.0,0.0,0.0,Sergio Brewster,Hispanic,male,0.0,USA,27.0,95002
14,0.26,2.83,1.7,3.66,2.64,-0.42,0.0,8.0,3.8,0.5,3.37,1.67,1.45,8.88,Quantitative,None,Good,0.0,1.0,0.0,Ryan Jenkins,Hispanic,male,0.0,USA,29.0,94085
15,0.72,2.98,2.1,8.01,3.57,2.25,0.0,57.0,4.7,0.88,0.4,-4.25,-4.35,1.84,Sciences,Very Good,Good,0.0,0.0,0.0,James Benedetto,Hispanic,male,2.0,USA,36.0,94038
16,-0.08,2.62,2.3,3.68,3.61,2.29,0.0,27.0,3.5,0.26,1.78,0.65,0.08,6.82,Engineering,Very Good,Good,0.0,1.0,0.0,Phillip Chevez,Hispanic,male,0.0,USA,29.0,94070
17,0.1,3.32,3.2,3.34,2.84,-1.15,0.0,4.0,4.2,1.09,2.94,1.85,1.75,9.1,Sciences,None,Good,1.0,1.0,0.0,George Wong,Hispanic,male,2.0,Australia,31.0,94040
18,0.21,3.27,2.1,5.79,3.51,1.48,0.0,55.0,1.8,-0.93,1.65,-1.58,-1.16,5.92,Engineering,Ok,Good,0.0,0.0,0.0,Jonah Perez,Hispanic,male,2.0,USA,31.0,94523
19,-0.12,3.2,1.1,2.28,2.22,-2.12,0.0,0.0,4.0,0.67,2.08,0.32,-0.38,6.4,Engineering,None,Good,0.0,0.0,0.0,Alan Kelly,Hispanic,male,0.0,USA,28.0,94040
20,-0.67,2.85,2.0,4.36,2.9,-1.69,0.0,34.0,3.3,0.33,0.87,-3.31,-2.1,4.83,Sciences,Very Good,Bad,0.0,0.0,0.0,Joe Shoemaker,Hispanic,male,0.0,USA,27.0,94030
21,-0.93,2.36,2.5,1.84,2.69,-2.38,0.0,7.0,3.2,0.26,1.76,-0.73,-1.43,5.04,Quantitative,Ok,Bad,0.0,0.0,0.0,Thomas Godines,Hispanic,male,0.0,USA,23.0,94043
22,-0.47,3.43,3.1,0.62,2.98,-0.8,0.8,54.0,1.0,-1.68,0.0,-4.78,-3.95,2.4,Humanities,None,Bad,0.0,1.0,0.0,Scott Eldridge,Hispanic,male,0.0,USA,22.0,94121
23,0.45,4.11,4.4,2.98,4.26,3.88,0.0,59.0,2.0,-0.95,0.64,-4.08,-4.15,1.98,Engineering,Ok,Good,1.0,0.0,0.0,Cody Dailey,Hispanic,male,2.0,USA,27.0,94709
24,-0.52,3.4,1.8,5.05,3.25,-0.6,2.5,11.0,4.6,1.52,0.9,-2.57,-2.0,4.88,Engineering,None,Bad,0.0,0.0,0.0,Robert Klitz,Hispanic,male,0.0,Canada,33.0,94089
25,-0.55,2.49,2.2,3.43,2.63,-2.25,2.3,16.0,3.8,0.52,2.87,0.87,-0.04,6.86,Engineering,None,Bad,1.0,0.0,0.0,Timothy Boswell,Hispanic,male,0.0,USA,32.0,95134
26,0.79,3.51,3.0,5.31,4.18,4.75,2.0,42.0,2.1,-1.18,3.01,1.75,2.18,10.01,Humanities,None,Good,1.0,0.0,0.0,David Weiler,Hispanic,male,2.0,USA,32.0,94605
27,-1.11,3.41,2.2,1.97,2.47,-3.99,1.4,50.0,1.7,-0.96,1.92,-0.21,-0.26,6.76,Engineering,None,Good,0.0,1.0,1.0,Thomas Phillips,Hispanic,male,0.0,USA,25.0,94609
28,-0.7,2.48,1.6,5.88,3.18,-1.07,0.0,63.0,4.6,1.52,1.79,0.74,0.49,7.3,Quantitative,None,Good,0.0,0.0,0.0,Travis Wright,Hispanic,male,0.0,USA,29.0,94801
29,-0.58,3.2,2.1,0.22,2.1,-3.42,1.6,50.0,1.8,-1.22,0.97,-1.37,-0.7,6.2,Engineering,Ok,Good,0.0,1.0,0.0,Robert Mccallum,Hispanic,male,0.0,USA,22.0,94609
30,-0.01,2.77,3.1,5.17,3.4,0.65,1.8,17.0,3.1,0.2,1.78,0.3,-1.22,4.83,Engineering,Very Good,Good,0.0,0.0,0.0,Bernard Johnson,Hispanic,male,0.0,Canada,32.0,94301
31,0.42,3.11,1.9,2.29,2.65,0.2,0.0,48.0,6.5,3.53,0.78,-1.67,-2.71,3.13,Sciences,None,Good,0.0,1.0,0.0,Brian Rice,Hispanic,male,0.0,USA,30.0,94109
32,0.58,2.58,2.2,3.52,2.71,0.56,0.0,29.0,4.9,1.13,4.05,3.43,2.93,10.59,Engineering,Ok,Good,0.0,0.0,0.0,Ramon Boyd,Hispanic,male,0.0,USA,28.0,94560
33,-0.88,2.97,1.0,2.74,2.63,-2.33,0.0,22.0,6.1,2.64,2.06,0.4,-0.8,5.59,Quantitative,None,Bad,0.0,0.0,0.0,Jonathan Bird,Hispanic,male,1.0,USA,36.0,94061
34,-0.16,2.97,1.0,8.51,3.78,1.57,0.0,47.0,3.4,0.41,1.27,-1.96,-1.95,4.52,Sciences,None,Good,0.0,0.0,0.0,Terrance Keeton,Hispanic,male,2.0,USA,33.0,94114
35,0.94,3.4,1.9,6.82,4.17,5.13,0.0,30.0,4.7,1.54,3.02,2.16,1.95,9.36,Quantitative,Ok,Bad,1.0,1.0,0.0,Stephen Steese,Hispanic,male,2.0,USA,37.0,94587
36,-0.42,2.15,3.5,4.22,3.12,-0.85,0.0,58.0,0.8,-2.05,1.11,-1.0,-0.72,5.95,Sciences,None,Good,0.0,1.0,1.0,Todd Moreno,Hispanic,male,0.0,USA,26.0,94720
37,-1.09,2.7,0.9,3.15,1.88,-5.36,0.0,72.0,2.1,-0.17,1.55,-1.48,-0.97,6.03,Engineering,None,Bad,0.0,1.0,1.0,Millard Woods,Hispanic,male,0.0,USA,28.0,94572
38,0.13,2.86,3.3,4.1,3.43,1.04,0.0,116.0,0.0,-5.85,1.48,0.64,0.74,7.67,Engineering,Ok,Good,0.0,0.0,0.0,David Foster,Hispanic,male,0.0,USA,28.0,94970
39,-0.34,2.41,2.7,3.19,2.24,-3.39,0.0,55.0,1.0,-1.48,3.02,3.23,2.26,9.29,Sciences,None,Good,0.0,1.0,0.0,John Kane,Hispanic,male,1.0,USA,24.0,94523
40,0.78,2.62,1.1,6.41,2.3,-1.08,2.8,11.0,4.8,1.6,1.91,-0.54,-0.47,6.58,Quantitative,None,Bad,0.0,0.0,0.0,Leroy Ayon,Hispanic,male,0.0,USA,36.0,94089
41,-0.46,2.51,1.7,2.51,1.8,-4.47,0.0,26.0,4.2,1.13,1.29,-1.99,-1.72,5.04,Engineering,Ok,Good,0.0,1.0,1.0,Victor Robinson,Hispanic,male,0.0,USA,30.0,94403
42,1.64,3.36,2.8,6.54,3.84,5.0,0.0,17.0,4.6,1.4,1.37,1.02,0.59,7.26,Quantitative,Very Good,Good,1.0,0.0,0.0,Quinton Rivera,Hispanic,male,2.0,USA,33.0,94301
43,1.02,2.21,2.3,5.64,2.67,0.63,0.0,8.0,2.4,-0.55,3.16,1.79,1.36,8.61,Engineering,Very Good,Good,0.0,1.0,0.0,Brian Lang,Hispanic,male,0.0,Australia,28.0,94085
44,-0.69,3.15,3.5,-0.52,3.03,-0.7,1.6,2.0,2.8,-0.29,2.34,0.13,-0.04,7.09,Engineering,Ok,Bad,0.0,0.0,0.0,Frederick Ahner,Hispanic,male,0.0,USA,27.0,94040
45,-0.71,2.43,2.5,1.47,2.59,-2.09,0.0,44.0,1.4,-1.2,2.93,2.58,2.09,9.23,Engineering,Ok,Good,0.0,0.0,0.0,Clint Daniel,Hispanic,male,0.0,USA,22.0,94131
46,-0.49,2.88,1.8,2.75,3.29,0.74,0.0,32.0,4.4,1.28,2.73,1.84,1.76,9.14,Humanities,None,Good,0.0,0.0,0.0,William Demar,Hispanic,male,0.0,USA,31.0,94544
47,-0.57,3.09,0.0,1.68,1.54,-4.67,1.5,47.0,2.9,0.54,4.52,4.48,3.86,11.7,Engineering,None,Bad,0.0,1.0,1.0,Charles Cruz,Hispanic,male,0.0,USA,25.0,94114
48,0.05,2.58,2.2,5.89,3.45,1.32,0.0,26.0,5.6,2.32,1.17,-2.07,-1.23,5.77,Engineering,Ok,Good,0.0,0.0,1.0,Stephen Duncan,Hispanic,male,0.0,USA,30.0,94403
49,0.37,3.09,1.8,5.97,2.89,-0.46,0.0,2.0,3.0,-0.08,3.11,1.25,1.38,9.13,Sciences,None,Good,0.0,0.0,0.0,Austin Dyer,Hispanic,male,0.0,Mexico,31.0,94040
50,0.94,2.67,1.6,7.93,2.89,0.68,0.0,18.0,3.0,-0.25,2.13,-0.83,-0.6,6.53,Engineering,Very Good,Good,0.0,0.0,0.0,Ben Boyer,Hispanic,male,0.0,USA,31.0,95035
51,0.54,2.33,2.3,3.74,2.42,-0.52,0.0,26.0,4.2,1.12,2.24,0.84,1.28,8.55,Quantitative,Ok,Bad,0.0,0.0,0.0,Patrick Mulligan,Hispanic,male,0.0,Australia,29.0,94403
52,0.03,3.51,2.7,2.97,3.5,1.63,2.2,82.0,3.1,0.57,1.74,-0.1,-0.44,6.29,Quantitative,None,Good,0.0,0.0,0.0,John Dunbar,Hispanic,male,2.0,Mexico,30.0,94503
53,-0.42,3.01,2.2,6.62,3.58,0.15,3.2,24.0,5.3,2.08,4.07,4.4,3.86,11.68,Quantitative,Very Good,Good,0.0,0.0,0.0,Tony Ellison,Hispanic,male,0.0,USA,40.0,94027
54,-0.68,2.5,1.9,4.53,3.17,-0.7,4.1,2.0,6.9,3.5,0.59,-2.57,-1.98,4.67,Humanities,Ok,Bad,0.0,0.0,0.0,Leroy Mclean,Hispanic,male,0.0,Canada,40.0,94040
55,0.38,2.76,2.0,5.52,3.77,3.33,0.0,37.0,2.4,-0.47,1.02,-0.03,0.09,6.8,Engineering,Ok,Good,1.0,0.0,0.0,Frederick Deluca,Hispanic,male,2.0,USA,31.0,94545
56,1.63,2.69,0.8,3.78,2.33,2.01,0.0,1.0,7.7,4.11,1.12,-1.53,-2.06,4.21,Engineering,Very Good,Good,0.0,0.0,0.0,Alfredo Shears,Hispanic,male,2.0,Canada,29.0,94040
57,0.25,3.11,1.4,5.1,3.11,0.88,0.0,47.0,1.7,-1.3,2.09,-1.26,-1.88,4.72,Quantitative,Ok,Good,0.0,1.0,0.0,Herbert Haraway,Hispanic,male,0.0,USA,27.0,94114
58,-0.4,2.54,2.3,3.44,3.17,0.2,1.5,23.0,1.9,-1.25,0.13,-3.3,-2.85,3.53,Engineering,Ok,Good,0.0,0.0,0.0,Eric Chapman,Hispanic,male,0.0,USA,32.0,94028
59,-0.17,3.04,2.2,7.1,4.05,2.26,0.4,40.0,0.0,-3.41,3.52,1.88,1.79,9.34,Quantitative,Very Good,Good,0.0,0.0,0.0,Milton Highshaw,Hispanic,male,2.0,USA,30.0,94603
60,-1.0,1.79,3.6,-1.32,2.14,-3.81,0.0,29.0,6.0,2.79,2.33,-0.49,-0.0,7.29,Engineering,Ok,Bad,0.0,1.0,0.0,Adrian Gerald,Hispanic,male,0.0,USA,28.0,94560
61,0.28,3.13,2.1,2.18,2.52,-0.83,0.0,60.0,0.0,-3.33,1.21,0.49,1.33,8.61,Engineering,Ok,Good,0.0,0.0,0.0,Gilberto Duncan,Hispanic,male,0.0,USA,22.0,94707
62,-2.04,2.21,0.7,-0.81,1.32,-7.47,0.0,15.0,4.0,0.99,2.85,0.53,0.0,7.03,Quantitative,None,Good,0.0,1.0,1.0,Charles Lyon,Hispanic,male,0.0,USA,28.0,95002
63,-0.36,3.02,2.8,3.55,2.23,-4.03,0.0,26.0,6.0,2.85,3.07,1.32,1.75,9.38,Quantitative,None,Good,0.0,1.0,1.0,Jeremy Jimenez,Hispanic,male,0.0,Mexico,35.0,94403
64,0.57,2.95,2.0,4.9,2.97,0.78,0.0,23.0,6.2,2.51,2.54,2.21,1.46,8.36,Engineering,Very Good,Good,1.0,0.0,0.0,Larry Roupe,Hispanic,male,0.0,USA,36.0,94028
65,0.08,3.67,2.9,3.77,3.42,0.89,0.0,18.0,4.5,1.37,2.95,2.22,1.86,9.16,Engineering,Very Good,Bad,0.0,0.0,0.0,Joshua Pash,Hispanic,male,0.0,USA,31.0,95035
66,2.22,3.89,2.6,6.38,4.35,8.02,3.1,3.0,5.2,1.78,1.65,-0.35,-0.2,6.67,Humanities,Very Good,Good,1.0,0.0,0.0,William Miller,Hispanic,male,1.0,USA,40.0,94040
67,0.27,2.71,4.3,2.44,3.37,1.24,1.9,41.0,2.8,-0.05,1.25,-0.47,-0.0,6.95,Engineering,Very Good,Good,0.0,0.0,0.0,Cecil Freeman,Hispanic,male,0.0,USA,29.0,94542
68,-0.92,2.65,1.8,2.17,2.71,-1.66,0.0,22.0,6.7,3.24,0.0,-6.39,-5.28,1.14,Engineering,None,Good,0.0,0.0,0.0,Tom Pate,Hispanic,male,0.0,USA,33.0,94061
69,0.69,3.25,2.6,8.82,4.38,4.17,2.0,56.0,2.9,0.08,0.46,-1.88,-1.46,5.13,Quantitative,None,Good,0.0,0.0,0.0,Martin Cromer,Hispanic,male,2.0,USA,33.0,94595
70,-0.93,2.96,1.6,3.52,2.74,-2.54,0.0,33.0,5.4,2.29,2.15,-0.02,-0.12,6.78,Quantitative,Very Good,Good,0.0,1.0,0.0,Jerry Fosberg,Hispanic,male,1.0,Australia,28.0,94010
71,0.19,2.77,1.7,7.52,3.61,1.59,0.0,8.0,7.9,4.26,2.68,1.55,0.85,7.87,Engineering,Very Good,Bad,1.0,0.0,0.0,Philip King,Hispanic,male,2.0,USA,34.0,94085
72,0.13,3.34,2.7,4.58,3.85,2.64,1.0,63.0,0.8,-1.78,3.55,4.23,4.92,13.15,Quantitative,Very Good,Good,0.0,0.0,0.0,Randy Connor,Hispanic,male,2.0,USA,30.0,94801
73,-0.58,2.81,2.0,4.19,3.44,0.31,2.3,62.0,3.5,0.78,2.55,1.26,1.26,8.53,Engineering,Ok,Good,0.0,0.0,0.0,James Redding,Hispanic,male,1.0,USA,29.0,94564
74,-0.48,1.45,3.4,1.49,1.75,-4.8,2.4,10.0,3.5,0.28,2.45,-0.45,-0.61,6.3,Quantitative,None,Good,0.0,1.0,1.0,Samuel Murray,Hispanic,male,0.0,Australia,29.0,94085
75,1.44,3.31,2.6,10.1,4.39,5.69,4.6,19.0,7.9,4.41,2.62,0.89,1.2,8.64,Engineering,Very Good,Good,1.0,0.0,0.0,Arnold Valentin,Hispanic,male,2.0,USA,43.0,94304
76,0.49,2.92,2.2,4.69,3.42,2.29,0.0,40.0,0.0,-4.27,1.7,-0.1,-0.39,6.3,Quantitative,Ok,Good,0.0,0.0,0.0,Dale Smith,Hispanic,male,2.0,USA,33.0,94603
