Names,Race,Gender,Sports,Birth Origin,Age,Zip,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record
Benjamin Kasper,Caucasian,male,1.0,USA,33.0,94304,5,4.15,0.45,12.0,5.02,20.490000000000002,0.0,19.0,5.0,1.84,4.42,4.44,3.0,10.41,Engineering,None,Good,1.0,0.0,0.0
Andrew Linares,Caucasian,male,1.0,Australia,33.0,94709,5,2.96,0.63,10.0,4.18,17.85,0.0,59.0,3.0,0.57,0.0,-3.66,-3.35,2.94,Engineering,Very Good,Good,0.0,1.0,0.0
Rebecca Dejong,Caucasian,female,1.0,Canada,29.0,94030,5,3.05,0.94,7.5,4.9,20.16,0.0,34.0,1.5,-1.51,1.41,0.1,0.76,7.96,Quantitative,None,Good,0.0,0.0,0.0
Johnny Silas,Asian,male,2.0,China,36.0,94569,5,3.93,0.65,12.0,5.54,21.240000000000002,0.0,68.0,4.0,0.97,1.89,1.37,1.0,7.95,Sciences,Ok,Good,0.0,0.0,0.0
Billy Page,Caucasian,male,2.0,USA,35.0,94030,5,3.46,0.69,10.0,5.89,23.33,0.0,34.0,2.0,-0.9,2.76,2.0,1.45,8.57,Engineering,Ok,Good,1.0,0.0,0.0
Brian Miller,Other,male,1.0,USA,32.0,94061,5,3.54,0.53,9.5,4.63,19.1,0.0,22.0,5.0,1.77,2.41,1.54,0.88,7.8,Quantitative,Ok,Good,1.0,0.0,0.0
Elizabeth Gregory,Caucasian,female,1.0,USA,30.0,94304,5,3.36,0.37,8.5,4.2,18.48,0.0,19.0,4.0,0.57,1.76,-0.08,-0.37,6.3,Quantitative,Very Good,Good,1.0,0.0,0.0
John Stern,Caucasian,male,2.0,Canada,30.0,94030,5,2.5,0.59,9.5,3.82,16.38,0.0,34.0,3.5,0.62,1.49,0.1,-0.11,6.55,Sciences,Ok,Good,0.0,0.0,0.0
Brandon Thomas,Caucasian,male,2.0,USA,34.0,94040,5,2.84,0.08,9.0,3.7,17.41,1.5,1.0,2.0,-1.19,0.97,-0.85,-0.52,6.31,Engineering,Ok,Good,1.0,0.0,0.0
John Williams,Asian,male,1.0,USA,33.0,94603,5,3.96,0.35,9.0,4.53,18.689999999999998,0.0,40.0,6.5,3.48,1.46,-0.56,0.03,7.19,Quantitative,Very Good,Good,1.0,0.0,0.0
Chester Crippen,Caucasian,male,2.0,USA,35.0,94040,5,4.03,0.78,11.0,5.77,21.17,0.0,2.0,1.0,-2.11,1.71,-1.16,-0.61,6.58,Engineering,Very Good,Good,0.0,0.0,0.0
