,Names,GPA,Avg Commute Time,Technical Aptitude,Soft Skills,Years of Experience,Leadership Capability,Sex,Age,Arrest Records,origin_Australia,origin_Canada,origin_China,origin_India,origin_Mexico,origin_United States,sport_Club/Intramural,sport_NCAA/Professional,sport_None,Job Performance,Job Tenure,Military Tenure,Name,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Other,Race,hirevue_0.0,hirevue_1.0,hirevue_2.0,referral_0.0,referral_1.0,culturalfit_0.0,culturalfit_1.0,culturalfit_2.0,education_0.0,education_1.0,education_2.0,prestige_0.0,prestige_1.0,prestige_2.0,prestige_3.0,degree_Engineering,degree_Humanities,degree_None,degree_Quantitative,degree_Sciences,linkedin_None,linkedin_Ok,linkedin_Very Good,socmedia_Bad,socmedia_Good,criminal_0.0,criminal_1.0,arrest_0.0,arrest_1.0
0,David Wilkinson,3.211326789360232,44.57676311227596,0.7605399012447751,2.415202384099352,5.033986751341222,-0.4469079967921937,0.0,27.0,0.0,0,0,0,0,0,1,0,0,1,-2,1.0858351819952057,1.1027676504057515,William Marshall,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
1,Curtis Kunert,3.4148820758337024,27.098280640007033,3.0427919974951143,3.942987208026033,5.53091802224508,0.803361101640986,0.0,22.0,0.0,0,0,0,0,0,1,1,0,0,2,3.2603135275036106,2.1829813134979648,Charles Mondragon,0,0,1,0,0,Caucasian,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
2,Kristen Pugh,3.596166306532377,87.89258550185636,2.492037414638219,3.957513649275048,3.5365012087852747,0.3689833122451585,0.0,29.0,0.0,0,0,0,0,0,1,0,0,1,2,0.0,0.0,Marion Espinoza,0,1,0,0,0,Asian,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
3,April Tate,2.6344186635076943,0.3635024189116543,2.5250439692583795,3.2923392261005113,4.5076966707311605,-0.6610657816423199,1.0,23.0,0.0,0,0,0,0,0,1,0,0,1,0,5.939992272601686,3.4622076964713955,Genna Bolding,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
4,George Rigdon,3.2249744333201273,58.29008035996939,2.2459538941210555,4.093633116421032,7.793361693862481,0.6299022689177469,0.0,28.0,0.0,0,0,0,0,0,1,0,0,1,2,0.8918752623652981,1.0540763081566082,Thomas Goodwin,0,1,0,0,0,Asian,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0
5,Keith Ashton,2.8226525658388084,20.074501001395554,1.9096911947254296,3.0430532229678304,2.8796284534779035,-0.4612309702142937,1.0,32.0,0.0,0,0,0,0,0,1,0,0,1,0,3.5619983579951264,2.317505564188564,Paula Smith,0,1,0,0,0,Asian,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1
6,Christine Quinones,2.6497595529373013,61.688720833125046,0.9960128050293882,2.6197935522099067,6.6158825735514615,0.8163960528779575,1.0,26.0,0.0,0,0,0,0,1,0,0,0,1,0,0.7543864949686085,1.0201966721177271,Dora Miller,0,1,0,0,0,Asian,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
7,Andrew Satterfield,3.623170270491667,26.710600089161414,2.5880312708820656,4.454619143374237,9.587317831023837,0.7747148686633368,0.0,25.0,0.0,0,0,0,0,0,1,1,0,0,2,2.9744746472299224,1.7022168967288085,Donald Inman,0,0,1,0,0,Caucasian,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
8,Leeanne Wallace,3.3495599100346234,24.59534759725044,3.4389536638981806,3.2531244385316764,5.927911540946617,0.8063287011326306,0.0,28.0,0.0,0,0,0,0,0,1,0,0,1,0,3.5725564234487064,2.354828878082932,James Brown,0,1,0,0,0,Asian,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
9,Ana Jones,2.505143957222101,53.4487529631305,0.9968732951086756,1.8430657591574116,1.2905436717474859,-0.2681857570484965,1.0,41.0,0.0,0,0,0,0,0,1,1,0,0,-2,0.7746747679306556,0.6010590812145664,Emma Frost,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
