,Names,GPA,Avg Commute Time,Technical Aptitude,Soft Skills,Years of Experience,Leadership Capability,Sex,Age,Arrest Records,origin_Australia,origin_Canada,origin_China,origin_India,origin_Mexico,origin_United States,sport_Club/Intramural,sport_NCAA/Professional,sport_None,Job Performance,Job Tenure,Military Tenure,Name,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Other,Race,hirevue_0.0,hirevue_1.0,hirevue_2.0,referral_0.0,referral_1.0,culturalfit_0.0,culturalfit_1.0,culturalfit_2.0,education_0.0,education_1.0,education_2.0,prestige_0.0,prestige_1.0,prestige_2.0,prestige_3.0,degree_Engineering,degree_Humanities,degree_None,degree_Quantitative,degree_Sciences,linkedin_None,linkedin_Ok,linkedin_Very Good,socmedia_Bad,socmedia_Good,criminal_0.0,criminal_1.0,arrest_0.0,arrest_1.0
0,Bobby Hickman,2.8540145650577875,18.637187423136258,2.726074324045796,2.913861739540177,0.396793542185669,-0.03056256456069966,0.0,24.0,0.0,0,0,0,0,0,1,1,0,0,0.6127426447461423,3.789840824705772,2.1992864779503516,Gerald Schweitzer,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
1,James Morales,2.7323153774535167,36.75327480059736,1.7332677455098953,2.8333078174584814,2.1611461412346795,-1.1954397380540918,1.0,26.0,0.0,0,0,0,0,0,1,1,0,0,-2.0970228712341363,2.8427107229251067,1.9935917101298928,Sadie Stock,0,0,1,0,0,Caucasian,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0
2,Abby Payne,3.327620934774909,19.361149865253996,3.0472880984718405,3.8929730312179167,6.522500108700144,-0.3452675293024911,0.0,35.0,0.0,0,0,0,0,0,1,1,0,0,1.0647002860347505,3.84003003281685,2.314516853401121,David Houghton,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
3,James Williams,3.4905605122128556,34.41283034803501,2.6874854803804005,2.6969459937860774,0.823544367430801,0.49034048967116595,0.0,28.0,0.0,0,0,0,0,0,1,1,0,0,0.42616363347158887,2.1743481516759666,1.4991312292484988,Mark White,0,0,1,0,0,Caucasian,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
4,Scott Braden,3.176291664455984,15.763425894370064,2.873926059248545,3.080344741445775,3.1231895952279203,0.8775520754196078,0.0,28.0,0.0,0,0,0,0,0,1,0,0,1,1.8949246715746262,4.007957560732304,2.455890202906723,Jacob Bitter,0,0,1,0,0,Caucasian,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
5,Juliann Rude,3.5720789568792854,26.440414617179876,3.4464792899068133,3.819178848401448,3.310972458920306,-0.06836177747631807,0.0,25.0,0.0,0,0,0,0,0,1,0,0,1,1.8759109858024352,3.7984690040295455,2.36508635494958,Stanley Loats,0,0,1,0,0,Caucasian,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
6,Nicholas Rice,2.0311476523708376,15.600272462777875,1.483894273068687,1.7135737248652758,1.7199281446003325,-0.5509660118296538,1.0,26.0,0.0,0,0,0,0,0,1,1,0,0,-4.279521844738921,3.927595362873358,2.472868174054141,Joyce Evans,0,0,1,0,0,Caucasian,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
7,Lawrence Mattison,3.935095739379057,2.7257638951793766,3.2277725498406733,4.064985046457484,5.6624432595373575,1.481211082377983,0.0,26.0,0.0,0,0,1,0,0,0,1,0,0,5.25256401878254,5.701191854938292,3.1753311218130196,Mark White,0,1,0,0,0,Asian,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
8,Diane Kohn,2.566034688522147,39.488341598542384,0.9436930394037735,1.9321675752767524,3.980104133825646,0.6885989784754759,1.0,27.0,0.0,0,0,0,0,0,1,1,0,0,-1.595339283491651,2.1166078357810845,1.476154214792677,Carmen Grover,0,1,0,0,0,Asian,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0
9,Patsy Millender,3.8982594303311293,6.480647011713362,2.425788240162663,4.255210940626482,7.303408084781868,0.5311579478456494,0.0,26.0,1.0,0,0,1,0,0,0,0,0,1,3.8151736747109917,4.777230939552354,2.9897186979633443,Joel Rodiguez,0,1,0,0,0,Asian,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
10,Dustin Russell,3.215769664047083,41.1008259459936,1.2195666241026046,2.603869884564941,4.153136647336917,0.29739096174309043,1.0,28.0,0.0,0,0,0,0,0,1,0,0,1,-0.5345279968533677,2.2652731041792773,1.631311161975527,Marsha Harvey,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
11,Michelle Muller,2.9044046068074656,67.81719265309061,1.6586917996605703,2.8680615285834152,4.133014359597294,-0.18698259415529855,0.0,30.0,0.0,0,0,0,0,0,1,1,0,0,-0.6418154920521686,0.0,0.3941630140397909,Jason Maldonado,0,1,0,0,0,Asian,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
12,Richard Tinsley,3.36800748272341,9.66032591318011,2.3390624739557433,3.399608780537384,3.0258548459193615,-0.10476213896432617,0.0,22.0,0.0,0,0,0,0,0,1,1,0,0,1.161043101207743,4.429715185728952,2.676917722129107,Michael Stooks,0,1,0,0,0,Asian,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
13,Ralph Roderick,3.332811623188882,38.69305233400586,2.6059913634144065,4.139259674426096,5.698880440112819,0.30981150014846104,0.0,24.0,0.0,0,0,0,0,0,1,1,0,0,3.592315230867969,2.5147898453881194,1.7381697408690866,Donald Jackson,0,1,0,0,0,Asian,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
14,Todd Warren,2.4796680966209284,28.466688045655584,2.0424942159337633,1.8365067808733642,0.5671067190493346,-0.8177032228712792,1.0,31.0,0.0,0,0,0,0,0,1,1,0,0,-4.794511783756353,3.3070729777475942,2.024748315138915,Donna Gouveia,0,1,0,0,0,Asian,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
15,William Brown,3.013846917715304,40.8448006857676,5.074481902006422,3.7186079216496326,3.0699153207386374,0.1016667143942553,0.0,21.0,0.0,0,0,0,0,0,1,0,0,1,1.3876501158103818,2.399083511107844,1.7892047668526692,Charles Hedrick,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0
