,Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Race,Sex,Age,Birth Origin,Education,Undergraduate Degree,Educational Prestige,Sports,Criminal Record,Arrest Records,LinkedIn Score,Responsible Social Media Use,HireVue Score
0,Craig Juel,3.7208227481794376,4.622828838421267,0,4,0.0,0.0,4.0,0.3490873663368884,0,0,22.0,United States,1,Humanities,2,None,0.0,0.0,1,1.0,2
1,Charles Woods,3.9424823389814883,42.392007758661826,2,1,1.0,1.0,4.0,0.21658979424297914,0,0,25.0,United States,1,Humanities,2,Club/Intramural,0.0,0.0,0,1.0,0
2,Dennis Baxley,4.276455681077797,48.345936625637364,1,2,1.0,0.0,2.0,0.254548759423671,0,0,26.0,United States,0,None,0,None,0.0,0.0,2,1.0,1
3,Marie Bagdon,2.725275114926153,81.91043647133895,2,3,1.0,1.0,1.0,0.5534071246958504,0,1,28.0,United States,1,Sciences,1,None,0.0,0.0,1,1.0,1
4,Maude Bustamente,3.8272974190092315,54.581826475563915,2,4,1.0,1.0,2.0,0.38095364090111805,0,1,30.0,United States,1,Quantitative,2,None,0.0,0.0,0,1.0,0
5,Van Bolla,2.8990839596024385,79.30942433180854,0,0,1.0,0.0,1.0,0.4096082098750462,0,0,22.0,Canada,1,Quantitative,2,Club/Intramural,1.0,1.0,1,1.0,1
6,Christina Kimball,2.45160816773803,22.553902739294138,0,1,1.0,0.0,2.0,0.20932706559592884,0,1,31.0,United States,1,Engineering,1,Club/Intramural,0.0,0.0,0,1.0,0
7,Steven Martinez,2.6502877470954305,68.23007664948855,1,4,1.0,0.0,4.0,0.6893126670212371,0,0,23.0,China,2,Quantitative,2,None,0.0,0.0,1,1.0,1
8,Angela Gayhart,3.701470896902269,48.10970318082971,2,1,1.0,0.0,2.0,0.44218683408332277,0,1,25.0,United States,2,Engineering,1,None,0.0,0.0,2,1.0,0
9,Orpha Bozwell,3.528852030733998,52.13809825075565,2,3,0.0,1.0,3.0,0.4054817549762906,0,1,26.0,United States,1,Quantitative,1,None,0.0,0.0,1,1.0,1
10,Charles Butler,3.249760465098942,3.3509129169040364,1,1,0.0,0.0,5.0,0.38814410063640836,0,0,24.0,United States,2,Engineering,1,Club/Intramural,0.0,0.0,1,1.0,2
11,Christian Morris,2.14757228947433,26.30188064709431,0,0,1.0,0.0,6.0,0.3036315433375105,1,0,22.0,United States,1,Sciences,2,None,1.0,0.0,1,1.0,2
12,George Bengel,3.3874032546490516,36.322894416630255,2,1,1.0,1.0,2.0,-0.019617246359779017,1,0,25.0,United States,1,Sciences,2,None,0.0,0.0,2,1.0,2
13,Robert Gallegas,2.871003779239706,15.538000825523818,1,3,1.0,0.0,1.0,0.37050681640517436,0,0,25.0,United States,1,Engineering,2,None,0.0,0.0,0,1.0,2
14,Tony Wills,2.676161421307639,44.52365535231366,1,2,1.0,1.0,4.0,0.05801319379252118,0,1,28.0,Canada,1,Engineering,2,Club/Intramural,0.0,0.0,2,1.0,2
15,Scott Mcnutt,3.6524600092262465,16.268244403168133,2,3,1.0,1.0,6.0,0.3998614714845551,0,0,28.0,United States,1,Quantitative,3,None,0.0,0.0,0,1.0,0
16,Brenton Barnes,3.8923987106931723,39.504309350015966,0,0,1.0,0.0,6.0,0.2142885069940506,0,0,31.0,United States,1,Engineering,3,NCAA/Professional,0.0,0.0,2,1.0,0
17,Michael Smart,2.9112357923771404,8.567586981027656,2,4,1.0,0.0,3.0,0.6210397998041939,4,0,25.0,United States,0,None,0,None,0.0,1.0,1,1.0,1
18,Steven Gomez,1.890556829439453,40.582608003634974,0,4,1.0,0.0,1.0,0.43982700518193224,0,0,23.0,United States,2,Quantitative,2,None,0.0,0.0,1,1.0,0
19,Sean Stewart,3.110001846013948,50.570231842400496,1,4,1.0,0.0,6.0,0.3307601992627268,3,0,25.0,United States,1,Quantitative,3,None,0.0,0.0,1,1.0,1
20,Joseph Carlone,2.5620536443336968,1.2677704667903278,0,2,1.0,0.0,0.0,0.10875368043262618,0,0,22.0,Canada,1,Quantitative,3,None,0.0,0.0,1,1.0,0
21,Stanley Ford,3.4748732071172186,9.684525391503563,2,2,1.0,0.0,2.0,0.6050239961704478,0,0,27.0,United States,1,Humanities,2,Club/Intramural,0.0,0.0,1,1.0,0
22,Irene Gunning,3.6175458678004437,35.05290619318931,0,4,1.0,0.0,1.0,0.08876339101297909,2,1,26.0,United States,1,Humanities,2,None,0.0,0.0,2,1.0,2
23,Marcus Iberg,2.8721407713891143,0.9625967098240231,1,3,0.0,1.0,3.0,-0.12015901769869697,3,0,43.0,United States,2,Humanities,1,None,0.0,0.0,2,1.0,2
24,Reba Vega,2.211631843035325,9.673641475822613,2,2,1.0,1.0,5.0,1.0369792214461413,0,1,32.0,United States,1,Engineering,2,None,0.0,0.0,1,1.0,0
25,Felicidad Chilcutt,2.8003037909447097,16.164260257492543,1,1,1.0,0.0,3.0,0.37030639672973065,0,1,22.0,United States,1,Humanities,2,Club/Intramural,0.0,0.0,0,1.0,0
26,Sherman Cardwell,3.4732365391608084,6.725050160138743,1,0,1.0,0.0,6.0,0.6822792501138322,1,0,34.0,United States,2,Sciences,1,NCAA/Professional,0.0,0.0,2,1.0,1
27,Gary Adams,2.7263517971871445,89.93514523281851,2,3,1.0,0.0,3.0,0.3449509770948169,1,0,29.0,Mexico,2,Quantitative,2,None,0.0,0.0,1,1.0,0
28,Henry Wigfall,3.836475879358386,26.016945711056945,2,0,0.0,1.0,2.0,0.6960001589376836,0,0,27.0,United States,1,Humanities,1,None,0.0,0.0,1,1.0,0
29,Jessica Shell,2.2120968361355082,68.823632368627,2,3,1.0,1.0,3.0,0.29564469059075177,0,1,22.0,United States,1,Sciences,1,Club/Intramural,0.0,0.0,0,1.0,2
30,Elbert Conner,3.6125629797977608,77.10821006715892,0,2,1.0,0.0,1.0,0.21174089077746033,0,0,33.0,United States,1,Quantitative,1,None,0.0,0.0,1,1.0,2
31,Matthew Strother,3.3160772773655594,26.058214222068642,1,1,1.0,0.0,3.0,0.467554641455815,0,0,27.0,United States,1,Sciences,1,Club/Intramural,0.0,0.0,1,1.0,1
32,Donald Thompson,2.6791108403637995,69.72846547261739,0,0,1.0,0.0,5.0,0.9123842842923909,0,0,22.0,United States,1,Humanities,2,None,0.0,0.0,0,1.0,2
33,Richard Towe,2.7002015338114447,57.35891167502669,2,4,1.0,0.0,3.0,0.2997608045862774,0,0,28.0,United States,1,Humanities,1,Club/Intramural,0.0,0.0,1,1.0,1
34,Jeffery Anderson,3.654545757294422,41.88117644797705,1,4,1.0,0.0,1.0,0.5621502014060749,0,0,32.0,United States,1,Humanities,1,None,1.0,1.0,2,1.0,1
35,Timothy Maisano,2.2721611200434633,30.57881758279688,2,4,1.0,0.0,3.0,0.3456416298850219,0,0,28.0,United States,1,Engineering,2,NCAA/Professional,0.0,0.0,1,1.0,1
36,Angie Mancias,3.3833240606824426,35.18255465672932,1,4,1.0,1.0,1.0,0.586616509072052,4,1,27.0,Australia,1,Engineering,3,None,0.0,0.0,2,1.0,0
37,Angela Chester,3.55393115824277,34.44208938714126,1,1,1.0,0.0,5.0,0.3933930719394981,2,1,32.0,United States,1,Quantitative,2,Club/Intramural,0.0,0.0,1,1.0,0
38,Mohammad Anson,3.633602034180398,11.376112016484583,2,1,1.0,0.0,3.0,0.6798696245829281,0,0,29.0,United States,2,Quantitative,2,Club/Intramural,0.0,1.0,1,1.0,2
39,Michelle Lachapelle,3.1611920674131735,46.77567797044517,0,0,1.0,1.0,1.0,0.3332887596898805,1,1,25.0,United States,1,Humanities,2,None,0.0,0.0,0,1.0,2
40,James Morris,3.6893924180258164,21.18043077662173,2,1,1.0,0.0,5.0,0.5644961193587221,0,0,25.0,United States,1,Sciences,2,None,0.0,0.0,0,1.0,1
41,Kelly Mcafee,2.941119790313562,67.29304012941049,2,0,0.0,0.0,1.0,0.12874597421484996,0,1,31.0,United States,2,Engineering,2,None,0.0,0.0,1,1.0,1
42,Kay Grillo,3.016734109263071,7.865678759709958,0,2,1.0,0.0,2.0,0.6363440658729578,0,1,25.0,United States,1,Sciences,2,None,0.0,0.0,1,1.0,0
43,Carlos Maciasz,3.677510282417691,68.00999970345858,2,0,1.0,0.0,0.0,0.2612687929160733,4,0,23.0,United States,2,Engineering,2,NCAA/Professional,0.0,0.0,1,1.0,0
44,Willie Reed,3.6072149210632203,1.0866885458825983,2,3,1.0,0.0,4.0,0.32517631827855703,3,0,30.0,United States,1,Engineering,2,None,0.0,0.0,0,1.0,2
