,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names,Race,Gender,Sports,Birth Origin,Age,Zip
0,0.1,2.78,1.2,4.97,2.38,-1.96,0.0,39.0,4.0,0.85,1.91,0.85,1.19,8.41,Engineering,None,Good,0.0,0.0,0.0,Earl Blaida,Caucasian,male,0.0,USA,29.0,94578
1,-0.66,2.61,1.6,1.77,1.89,-4.14,0.0,21.0,2.9,-0.26,2.68,2.26,2.28,9.69,Sciences,Ok,Good,1.0,1.0,0.0,James Kennedy,Caucasian,male,0.0,USA,25.0,94538
2,-1.48,3.18,2.8,0.24,2.35,-4.95,0.0,28.0,4.6,1.42,2.2,1.2,1.17,8.27,Quantitative,Ok,Good,0.0,1.0,1.0,Robert Rodriguez,Caucasian,male,0.0,USA,23.0,94402
3,-0.16,1.99,2.3,4.17,2.42,-1.99,0.0,3.0,4.0,1.05,1.25,-2.32,-2.25,4.35,Engineering,Ok,Bad,0.0,0.0,0.0,Joseph Mellish,Caucasian,male,0.0,Australia,28.0,94040
4,0.45,3.75,1.7,5.46,3.46,1.82,0.0,37.0,0.3,-2.24,1.86,0.23,-0.57,6.08,Quantitative,Very Good,Good,0.0,0.0,0.0,Travis Sheets,Caucasian,male,2.0,USA,28.0,94545
5,1.43,2.95,1.9,6.27,3.73,5.0,0.6,73.0,0.0,-2.42,0.85,-1.92,-1.68,4.9,Engineering,Very Good,Good,1.0,0.0,0.0,Julian Tenaglia,Caucasian,male,2.0,USA,30.0,94591
6,-1.03,2.07,1.5,1.66,1.17,-7.43,0.0,9.0,4.5,0.91,3.4,1.71,1.47,8.97,Engineering,Ok,Good,0.0,1.0,1.0,James Rogers,Caucasian,male,0.0,USA,23.0,94085
7,-0.64,3.57,1.7,5.77,3.94,1.23,0.0,16.0,6.3,2.78,1.15,-2.3,-2.22,4.36,Engineering,Ok,Good,0.0,0.0,0.0,Micheal Johnson,Caucasian,male,0.0,USA,29.0,95134
8,-0.55,2.75,1.2,2.9,2.25,-3.02,0.0,41.0,2.5,-0.3,1.63,-0.03,0.26,7.27,Engineering,Very Good,Good,0.0,1.0,0.0,Raymond Cornett,Caucasian,male,0.0,USA,27.0,94542
9,0.18,2.35,2.4,4.95,3.15,0.7,2.8,52.0,4.3,1.26,1.63,-0.08,-0.49,6.12,Sciences,Very Good,Good,0.0,0.0,0.0,Philip Swanson,Caucasian,male,0.0,USA,29.0,94611
10,-1.19,3.2,2.6,3.27,3.22,-1.97,0.0,11.0,5.4,1.85,1.28,-0.83,-1.56,4.73,Engineering,None,Bad,0.0,1.0,0.0,Daniel Ferreira,Caucasian,male,0.0,USA,24.0,94089
11,0.02,2.25,2.8,3.32,2.51,-1.42,2.2,19.0,2.9,-0.33,0.97,-3.29,-2.6,4.12,Sciences,Ok,Good,0.0,0.0,0.0,Andrew Comfort,Caucasian,male,0.0,USA,31.0,94304
12,0.34,2.93,2.8,3.52,3.19,1.26,0.0,96.0,0.0,-5.13,1.52,-0.57,-0.68,6.05,Quantitative,Very Good,Good,0.0,0.0,0.0,Jamie Becker,Caucasian,male,2.0,USA,28.0,94933
13,0.31,2.58,2.1,9.6,3.74,1.5,2.8,4.0,5.1,1.94,1.27,-1.18,-0.77,6.07,Quantitative,Ok,Good,0.0,0.0,0.0,Tony Werre,Caucasian,male,2.0,USA,37.0,94040
14,1.31,4.0,2.9,6.87,4.13,4.87,0.0,5.0,3.5,0.12,2.31,0.46,-0.4,6.29,Humanities,Very Good,Good,1.0,0.0,0.0,Alex Holifeild,Caucasian,male,2.0,USA,32.0,94043
15,1.09,3.36,2.2,7.68,3.2,1.33,0.0,23.0,1.6,-1.19,2.01,-1.18,-0.93,6.12,Quantitative,Ok,Good,0.0,1.0,0.0,Gordon Sova,Caucasian,male,0.0,USA,28.0,94028
16,0.18,3.12,2.5,3.77,2.79,-0.63,0.0,70.0,3.7,0.95,1.66,-0.19,-0.62,5.98,Engineering,Ok,Good,0.0,0.0,0.0,Michael Bennett,Caucasian,male,0.0,USA,26.0,94903
