,Unnamed: 0,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,Sports,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,HireVue Score,Arrest Record,Criminal Record,Names,Race,Gender,Birth Origin,Age
0,0,0.36230197918529206,3.1173166693571357,2.4556561106386625,6.447765026366246,4.280935816346339,4.3699826312502745,2.691669310334799,36.456662978575814,1.8050833299613545,-1.2123006926557764,2.691669310334799,36.456662978575814,-1.2123006926557764,4.805083329961353,Quantitative,Very Good,Good,0.0,2.0,0.0,0.0,Freddy Morris,Caucasian,male,Mexico,31.0
1,1,0.031001773869294383,3.022412467879278,1.3444664202812282,5.46572853138751,3.182027482166602,0.5677721666823083,3.1057398070617994,84.3172299864232,0.0,-4.383754031435742,3.1057398070617994,84.3172299864232,-4.383754031435742,3.0,Quantitative,Very Good,Good,0.0,0.0,0.0,0.0,Wallace Flint,Caucasian,male,China,23.0
2,2,-0.8600801654739526,3.175569538998067,1.194428752391536,3.606187360397933,3.1286837817522097,-0.8155818011765988,1.1049515956223095,50.925185337269156,1.187202604783522,-1.8135885820433169,1.1049515956223095,50.925185337269156,-1.8135885820433169,4.187202604783522,Engineering,Ok,Good,1.0,0.0,0.0,0.0,Ryan Bilbao,Caucasian,male,India,23.0
3,3,-0.8187091292238752,2.809705241398882,3.6157353068104414,1.008374916230252,3.184770441514478,-1.1451635701649117,2.9569716501111585,0.6022253196322039,4.980099435988858,1.6750451094457548,2.9569716501111585,0.6022253196322039,1.6750451094457548,7.9800994359888575,Quantitative,None,Bad,0.0,0.0,0.0,0.0,Neal Resendez,Caucasian,male,Mexico,32.0
4,4,0.7059229751544884,3.170516827005217,2.073808777214402,6.197638070058473,3.700735259876832,3.2016883231968816,2.093301395238002,3.4702932781421083,4.4941305859253875,1.5185695257997738,2.093301395238002,3.4702932781421083,1.5185695257997738,7.4941305859253875,Quantitative,Ok,Good,1.0,2.0,0.0,0.0,Larry Mckinley,Caucasian,male,India,29.0
5,5,-0.6117610122703081,3.1974593462853425,3.476052014338978,0.0028568854263393284,3.081679279434085,-0.5402051970492954,0.8494499104190119,13.336201461086574,3.851931625056064,0.6583872735951791,0.8494499104190119,13.336201461086574,0.6583872735951791,6.851931625056063,Quantitative,None,Bad,0.0,0.0,0.0,0.0,Bart Morgan,Caucasian,male,Australia,29.0
6,6,-0.374242004436408,2.8345021877984853,2.325414669227667,-0.0761186461008041,2.4438108886692858,-1.5449445087039753,0.9352633797029059,27.66281565114417,2.5748416694583893,-0.6544006515888586,0.9352633797029059,27.66281565114417,-0.6544006515888586,5.574841669458388,Quantitative,None,Good,0.0,0.0,0.0,0.0,Daniel Harper,Caucasian,male,India,29.0
7,7,0.008934961579892712,2.8129915066932734,2.6163412434290683,3.907642845545449,2.5357474278389627,-1.889814400980884,0.12555329170029886,14.164507974283707,3.28459917687752,0.5533730589981313,0.12555329170029886,14.164507974283707,0.5533730589981313,6.284599176877522,Engineering,None,Good,0.0,0.0,0.0,0.0,Clyde Nesslein,Caucasian,male,China,35.0
8,8,-0.5745213346732361,2.720040859245521,0.9081980457028199,5.2029486814520745,2.739604652027755,-1.9026286627153792,0.9813349811300184,-1.797256201322888,5.566082350386422,2.0464927013825966,0.9813349811300184,-1.797256201322888,2.0464927013825966,8.566082350386424,Engineering,None,Bad,0.0,0.0,0.0,0.0,Donald Britton,Caucasian,male,Mexico,24.0
9,9,-0.39276662387872935,3.2005797682653414,1.821930766683319,5.4851829422871115,3.1523814127996044,-0.9273281476332196,2.6033215876870566,14.426881793437865,3.568708403410144,0.5646747693638311,2.6033215876870566,14.426881793437865,0.5646747693638311,6.568708403410144,Engineering,None,Bad,1.0,0.0,0.0,0.0,Alan Thompson,Caucasian,male,China,24.0
10,10,-0.8732315574120318,2.6128901925523094,1.45961148382166,3.4917296650094487,3.2948043942565137,0.09371626236125256,2.112892198275972,23.25340573479706,2.5726382456616563,-0.11168068992198243,2.112892198275972,23.25340573479706,-0.11168068992198243,5.572638245661656,Engineering,Very Good,Good,0.0,2.0,1.0,0.0,John Malone,Caucasian,male,Mexico,24.0
11,11,-0.19238052120582835,3.0922663029367863,2.188100959338961,5.00100452578113,3.5753116817395925,1.1533007375667952,2.245239742270224,3.7526050439953664,4.968488615678528,1.497044152969644,2.245239742270224,3.7526050439953664,1.497044152969644,7.968488615678528,Engineering,Very Good,Good,0.0,0.0,0.0,0.0,Charles Hazzard,Caucasian,male,Australia,26.0
12,12,0.4376949576968291,3.04425661250594,2.339240047564485,5.083829960908945,2.851185184017492,-0.2771476680152289,3.245707821393188,15.908161456294687,3.5376282685065616,0.4921600782101312,3.245707821393188,15.908161456294687,0.4921600782101312,6.5376282685065625,Engineering,Ok,Good,0.0,0.0,0.0,0.0,Chad Libengood,Caucasian,male,Canada,25.0
13,13,-0.3226006271001167,2.593649029976468,3.4710109922091164,3.7176009680483566,2.6176271895996193,-2.6597523043519717,2.132395515351275,30.614474242884718,2.1647325370285,-0.4928459120226675,2.132395515351275,30.614474242884718,-0.4928459120226675,5.1647325370285,Quantitative,None,Good,0.0,2.0,0.0,0.0,Curtis Davis,Caucasian,male,India,23.0
14,14,-1.000941983684812,2.4931591280036858,2.490827885372496,2.7925272968614694,2.7568198446995886,-2.5623246370476402,0.5609655804219313,-30.861190718941653,7.681169054718227,4.0985369735292965,0.5609655804219313,-30.861190718941653,4.0985369735292965,10.681169054718227,Engineering,Ok,Good,0.0,0.0,0.0,0.0,Craig Barber,Caucasian,male,Australia,29.0
15,15,-0.08721164873425431,3.1937378263545786,1.833615030645012,4.9801886526725445,3.2745146285247637,0.4321399639006087,2.6133781386271577,64.6696228853431,0.0,-3.3553887296937166,2.6133781386271577,64.6696228853431,-3.3553887296937166,3.0,Quantitative,Ok,Good,0.0,0.0,0.0,0.0,Jonathan Rodriguez,Caucasian,male,Mexico,32.0
16,16,-0.7104517294640089,2.954748990084016,1.3292236299408693,0.2791369227598941,2.242384280973669,-2.636959846440217,2.5000975887186225,57.78344323165938,0.0,-2.383561902135475,2.5000975887186225,57.78344323165938,-2.383561902135475,3.0,Engineering,Very Good,Good,0.0,0.0,0.0,0.0,Ralph Draughn,Caucasian,male,China,25.0
17,17,1.6691778190954805,3.4338893402362114,2.616693505730918,7.123945455998678,4.346525754570846,6.994554310782193,1.1634492474854885,60.21473938007525,0.04622391031152962,-2.3671094638877688,1.1634492474854885,60.21473938007525,-2.3671094638877688,3.0462239103115296,Engineering,Very Good,Good,1.0,2.0,0.0,0.0,John Bowling,Caucasian,male,Mexico,35.0
18,18,0.2279898414559773,3.1086285426935616,1.8206961707983536,6.363867110589871,3.1544028160838344,0.03261300446226988,0.0,43.03756405664008,1.8649426070718516,-0.7496305445214074,0.0,43.03756405664008,-0.7496305445214074,4.864942607071852,Engineering,Very Good,Good,0.0,0.0,0.0,0.0,Peter Sawicki,Caucasian,male,Australia,21.0
19,19,-0.17540796288049962,3.6498382830445584,2.1178475357480013,1.7705642629684966,3.2074734562410487,0.8327127564998391,2.2599391101966626,7.056122575943557,3.944363669073919,1.0929107952525512,2.2599391101966626,7.056122575943557,1.0929107952525512,6.944363669073919,Engineering,Very Good,Good,0.0,0.0,0.0,0.0,Eliseo Christenson,Caucasian,male,Canada,23.0
20,20,0.4520439905298098,3.105518181042759,1.1984876257529105,5.414560133837012,2.949412824281472,0.5308390575422589,2.667046654468711,71.11443122145108,0.0,-3.608801411163848,2.667046654468711,71.11443122145108,-3.608801411163848,3.0,Engineering,None,Good,0.0,0.0,0.0,0.0,Javier Green,Caucasian,male,Mexico,21.0
21,21,0.3760219740035316,2.15668514163813,1.5289339952744398,6.8737901590944075,2.7319765156800733,-0.3959539558005732,3.83552752605008,28.533038588742986,1.8236611783947845,-0.7051014706315886,3.83552752605008,28.533038588742986,-0.7051014706315886,4.823661178394785,Engineering,Ok,Good,0.0,0.0,0.0,0.0,Jose Brush,Caucasian,male,United States,28.0
22,22,0.857307498162146,3.5103684873905925,2.5171008630402256,4.946344128611101,4.109721374339016,5.213954495044867,0.728162814253795,17.888989821577567,3.1606794836367285,0.2414941519526323,0.728162814253795,17.888989821577567,0.2414941519526323,6.160679483636729,Quantitative,Very Good,Good,1.0,2.0,0.0,0.0,Derrick Johnson,Caucasian,male,India,22.0
23,23,0.5136975223209259,3.0166800221274794,2.157637911943312,2.649363555253985,2.6331023797211506,0.17211365484474744,2.7818502247819463,49.12048976466709,0.9759058701458816,-1.8979681379588385,2.7818502247819463,49.12048976466709,-1.8979681379588385,3.9759058701458816,Engineering,Very Good,Good,0.0,0.0,0.0,0.0,Dale Cranford,Caucasian,male,United States,30.0
24,24,-0.13816481779020345,3.261396217851956,3.3293755856205274,4.399980979215421,4.0886611646184985,2.5821047983202106,2.437998298490002,21.19173695422013,3.333666819051634,-0.02854424860810005,2.437998298490002,21.19173695422013,-0.02854424860810005,6.3336668190516345,Engineering,Very Good,Good,0.0,2.0,0.0,0.0,Patrick Johnson,Caucasian,male,India,30.0
25,25,-0.4250940918481668,2.3822587387186087,1.5910149340757582,4.9753723598608515,2.1911357337956416,-3.682700410487845,1.2108887719012826,24.910425220235194,2.77561729747913,-0.06698058188190291,1.2108887719012826,24.910425220235194,-0.06698058188190291,5.77561729747913,Sciences,None,Good,0.0,0.0,1.0,0.0,Robert Michael,Caucasian,male,China,30.0
26,26,0.25284729317652804,2.1980030477892814,1.9692337742858048,5.218226479029782,2.300157888685729,-1.9039485205447144,2.0498754409841493,-35.937704764210686,7.763881761852784,4.2664278500759565,2.0498754409841493,-35.937704764210686,4.2664278500759565,10.763881761852785,Engineering,None,Good,0.0,0.0,0.0,1.0,Willie Gallant,Caucasian,male,China,23.0
27,27,0.6755214090368005,3.069578095011271,2.3993565534735612,2.715693939683554,2.9834960047338432,1.5714162866502854,2.1449779933027258,2.4199904530139413,5.131435259360735,2.0344954720038464,2.1449779933027258,2.4199904530139413,2.0344954720038464,8.131435259360735,Quantitative,Ok,Good,0.0,0.0,0.0,0.0,Stephen Pruitt,Caucasian,male,Mexico,32.0
28,28,-1.249756709111026,2.8652957824220886,1.6523686647487694,1.5008687061920285,2.6226022593685907,-2.9324379234320523,1.045047207591003,33.26866868478591,2.4435001629070916,-0.6197063443963451,1.045047207591003,33.26866868478591,-0.6197063443963451,5.4435001629070925,Humanities,Ok,Bad,0.0,0.0,1.0,0.0,Shane Williams,Caucasian,male,United States,22.0
29,29,-0.8576971423150875,2.2138708289144797,1.4957079030363771,4.97930752024849,2.1961179774106685,-4.492720846532485,2.447167334973079,60.23101498381874,0.0,-2.936033560526968,2.447167334973079,60.23101498381874,-2.936033560526968,3.0,Quantitative,None,Bad,0.0,0.0,1.0,1.0,Richard Celadon,Caucasian,male,United States,28.0
30,30,0.12792447272938628,3.5200550223210336,0.8522515955194379,4.787720442430489,3.236269546130112,1.1707607653552627,1.9333877750348396,14.184627012937936,4.273134314773474,0.6411207731379029,1.9333877750348396,14.184627012937936,0.6411207731379029,7.273134314773474,Engineering,Very Good,Good,0.0,0.0,0.0,0.0,Robert Hegmann,Caucasian,male,India,30.0
31,31,0.09254874061389888,2.414998971598494,1.0449172002620526,3.22495019112119,2.64565015336591,0.11834252987089468,1.874463632763076,2.0678297548829434,4.806789464441462,1.7028803326004065,1.874463632763076,2.0678297548829434,1.7028803326004065,7.806789464441462,Quantitative,Very Good,Good,0.0,0.0,0.0,0.0,Richard Houck,Caucasian,male,China,37.0
32,32,0.4604781711601,3.698107627440538,2.6869501255401467,5.280823459052563,3.2139922992210885,0.6190529027155623,1.4903834670981198,32.193939251262286,2.1717802180203964,-0.7202223623200971,1.4903834670981198,32.193939251262286,-0.7202223623200971,5.1717802180203964,Engineering,Ok,Bad,1.0,2.0,1.0,0.0,Terry Noland,Caucasian,male,Canada,33.0
33,33,1.7464353336757614,2.7847827646002834,2.7807885277921347,6.018851080601378,3.8987910089838986,6.05305198882255,2.742527408563696,51.791844927690704,0.07841599113588993,-2.333601195354642,2.742527408563696,51.791844927690704,-2.333601195354642,3.07841599113589,Engineering,Ok,Good,1.0,2.0,0.0,0.0,Brett Gross,Caucasian,male,Mexico,27.0
34,34,0.4452102402293041,2.3844985940693366,0.9133551896175778,5.086506465160868,2.005890294384996,-2.0962028877150924,3.320380705729224,26.01848753092455,2.520646059326019,-0.2914379322500153,3.320380705729224,26.01848753092455,-0.2914379322500153,5.520646059326018,Engineering,None,Good,0.0,0.0,0.0,0.0,Allen Haskins,Caucasian,male,Australia,25.0
35,35,0.5006173012978112,2.03403557099555,2.602400009232952,5.784938254827456,3.0120820081529556,0.7391413189528822,2.418127668482599,31.860205126636828,2.633247651442572,-0.2626558946511622,2.418127668482599,31.860205126636828,-0.2626558946511622,5.633247651442572,Engineering,Very Good,Good,0.0,0.0,0.0,0.0,Steve Patterson,Caucasian,male,Australia,24.0
36,36,-0.33188249382247675,2.776371312395709,2.749832425549757,0.8988332739217175,2.7894781660095185,-0.7539395354776431,1.3602082949545389,56.319865382475854,0.2056142627059705,-2.3766637329387104,1.3602082949545389,56.319865382475854,-2.3766637329387104,3.2056142627059705,Humanities,Very Good,Bad,0.0,0.0,0.0,0.0,Ted Hoffarth,Caucasian,male,United States,33.0
37,37,1.012965271403339,4.594889138719194,2.8565799237665663,5.6624867319642105,5.136398755627118,8.099084103661253,3.521829081353641,-13.85870769151858,6.275238924043781,2.5617685006491704,3.521829081353641,-13.85870769151858,2.5617685006491704,9.27523892404378,Engineering,None,Good,1.0,2.0,0.0,0.0,Christopher Chaffee,Caucasian,male,Mexico,29.0
38,38,-0.3517528571316068,3.770570995257743,3.1496951793356214,2.606626146680769,4.124576036213997,2.8277207037971555,2.426409929348941,1.3027141277634942,4.337156751459346,1.120304194854476,2.426409929348941,1.3027141277634942,1.120304194854476,7.337156751459345,Quantitative,None,Good,1.0,2.0,0.0,0.0,Bill Price,Caucasian,male,China,32.0
39,39,0.1699497252521661,2.7305284824905045,2.5716910845461665,1.029138466631494,2.829415861036235,0.6020569512513817,0.6801224937783554,66.42133621705204,0.0,-2.9061842300505965,0.6801224937783554,66.42133621705204,-2.9061842300505965,3.0,Sciences,Ok,Good,1.0,0.0,0.0,0.0,Austin Cahal,Caucasian,male,Canada,28.0
40,40,-0.6302827750603329,3.2184939455575323,1.3649240376681857,5.017816219767985,3.272468915779084,-0.3882406849877698,1.8915403631215817,23.177722219976683,2.552212879783508,0.10852217207919264,1.8915403631215817,23.177722219976683,0.10852217207919264,5.552212879783507,Engineering,Ok,Bad,0.0,0.0,0.0,0.0,Christopher Price,Caucasian,male,India,29.0
41,41,0.2613059394038028,2.854476790084038,1.3800141449626269,1.9375256977263169,1.9186471329772985,-2.431912160534297,2.766133733540868,11.37697855473524,4.145192075123329,0.6237419664295323,2.766133733540868,11.37697855473524,0.6237419664295323,7.1451920751233295,Engineering,Ok,Good,0.0,0.0,0.0,0.0,Nelson Burrowes,Caucasian,male,India,24.0
42,42,0.5296904108663809,3.374325078396759,3.4272766936540413,4.077253519745864,3.8619506788629954,3.2881279244355923,0.27677644382165423,44.73233087645589,1.3002495043061963,-1.8428315719064765,0.27677644382165423,44.73233087645589,-1.8428315719064765,4.300249504306197,Quantitative,Ok,Good,0.0,2.0,0.0,0.0,Cory Rost,Caucasian,male,Mexico,21.0
43,43,0.8848344083527734,2.759631769334593,2.1861576603614035,6.329771777088323,2.394942204443933,-1.250962865994961,2.9200095552585443,49.32783238563899,0.0,-2.547404462008524,2.9200095552585443,49.32783238563899,-2.547404462008524,3.0,Engineering,None,Bad,0.0,0.0,0.0,0.0,Coy Small,Caucasian,male,Australia,23.0
44,44,0.3160954978275647,2.7576315540697145,2.220678238222904,5.1692593741037935,3.155459995116439,0.9164402144061364,2.930007366872794,31.305823405224622,2.1281311792840447,-0.4631961386728164,2.930007366872794,31.305823405224622,-0.4631961386728164,5.128131179284045,Sciences,Very Good,Good,0.0,0.0,0.0,0.0,Jerry Wentzel,Caucasian,male,Mexico,23.0
45,45,0.4140441040721688,2.852053541288288,2.2498301427522844,3.9452517957428186,2.1371383597829228,-2.6000197679072596,2.413735299356113,-1.7118934663767753,5.483483339472973,2.0849116935844187,2.413735299356113,-1.7118934663767753,2.0849116935844187,8.483483339472974,Engineering,Very Good,Bad,0.0,0.0,0.0,0.0,Bo Whitney,Caucasian,male,Australia,27.0
46,46,1.413373594864974,3.6892376050606592,2.174096140378255,6.7898977929882225,3.8033450835054268,4.299734850121032,1.9321260251922283,-28.135114719830533,7.447598020703985,3.9709331763932223,1.9321260251922283,-28.135114719830533,3.9709331763932223,10.447598020703985,Engineering,Ok,Good,1.0,2.0,0.0,0.0,Norman Rusher,Caucasian,male,China,26.0
47,47,0.5017622820583736,3.394707438908497,2.7911580158885894,5.237222253527258,3.0234600901486246,-0.015549649791517012,2.4242187289969515,43.098256065204744,1.3998434303650813,-1.0687601640510749,2.4242187289969515,43.098256065204744,-1.0687601640510749,4.399843430365081,Quantitative,Ok,Bad,0.0,0.0,0.0,0.0,Thomas Garcia,Caucasian,male,India,34.0
48,48,0.8077866889039963,4.075161822848184,2.8183534136070847,6.112843245248665,4.054382633182678,3.854503060459596,2.018267394057903,32.503144880098475,2.4532958645475285,-0.6076655302865597,2.018267394057903,32.503144880098475,-0.6076655302865597,5.4532958645475285,Quantitative,Very Good,Bad,1.0,2.0,0.0,0.0,Ollie Fischer,Caucasian,male,India,37.0
49,49,-1.3169597034884866,2.4805752671542893,0.17157384954876176,-1.437015364821768,1.6154860696874538,-4.669458519722036,1.9110752237160595,15.6754115071145,3.6221098705208328,0.34968526451443177,1.9110752237160595,15.6754115071145,0.34968526451443177,6.622109870520832,Quantitative,None,Bad,1.0,0.0,1.0,1.0,David Thurman,Caucasian,male,China,22.0
50,50,-0.4075698313892531,3.0695422762091376,1.1661428136580438,4.332609576402357,2.8864334967370198,-1.021577222564087,0.8437764145972777,32.458848564666354,1.7867820976482027,-0.8882611957011152,0.8437764145972777,32.458848564666354,-0.8882611957011152,4.786782097648203,Quantitative,None,Bad,0.0,0.0,0.0,0.0,David Smith,Caucasian,male,United States,32.0
51,51,-0.12536248406442366,2.546166350069966,2.293846011906313,0.8979764967638868,2.1864928594551487,-2.1860354088427068,2.500921948539283,3.646518448315156,4.768283579795182,1.5457288441917911,2.500921948539283,3.646518448315156,1.5457288441917911,7.768283579795183,Humanities,Ok,Good,0.0,0.0,0.0,0.0,Robert Myers,Caucasian,male,Canada,33.0
52,52,-1.0605637144991484,2.9883340705792296,1.3889773394688256,5.191048949336744,2.7194834228241227,-3.5335477053092506,1.9793183309596163,-11.761563152932654,5.961369297892459,2.41356396690538,1.9793183309596163,-11.761563152932654,2.41356396690538,8.961369297892459,Engineering,None,Bad,0.0,0.0,1.0,0.0,Samuel Sanches,Caucasian,male,India,28.0
53,53,0.5189231874836612,2.7642693713833064,3.312453160237068,2.8702697379908817,3.348378824894767,2.259344937907964,0.900519366769456,66.61910881927858,0.0,-3.1383251161100447,0.900519366769456,66.61910881927858,-3.1383251161100447,3.0,Sciences,Very Good,Good,0.0,2.0,0.0,0.0,Rodolfo Harvey,Caucasian,male,United States,29.0
54,54,-1.0289624256899732,2.2392834567931903,0.2346689208793178,1.938880156634458,1.9197370549895327,-4.072144875879295,0.0,35.23105285261797,2.3269907140417327,-1.0869549936886058,0.0,35.23105285261797,-1.0869549936886058,5.326990714041733,Engineering,None,Good,0.0,0.0,1.0,1.0,Brian Schneider,Caucasian,male,India,23.0
55,55,-0.6815832405308626,2.333716574063,1.854265444810858,1.6734982388117938,1.9852216972177532,-3.771042202018159,1.0531142783178142,20.177540034343274,3.389404156967898,0.5517758606290167,1.0531142783178142,20.177540034343274,0.5517758606290167,6.389404156967897,Quantitative,None,Bad,0.0,0.0,1.0,0.0,Joseph Bouchard,Caucasian,male,Canada,26.0
56,56,0.6388114538482983,3.0836603050751754,1.4499373949389314,7.020732056164602,3.2196512952299754,1.5135059958013668,0.4026651328608617,-24.4098730401622,6.7950788309645205,3.377275315221959,0.4026651328608617,-24.4098730401622,3.377275315221959,9.79507883096452,Quantitative,Ok,Good,0.0,0.0,0.0,0.0,Antonio Johnson,Caucasian,male,United States,33.0
57,57,-0.9891593122107134,1.9345190493132929,3.3660242150638395,-1.5982251284351046,2.1954662616967218,-3.190732825819583,2.830643619354942,-2.7980376817859387,4.494981302839905,1.172597736206798,2.830643619354942,-2.7980376817859387,1.172597736206798,7.494981302839905,Engineering,None,Good,0.0,0.0,1.0,0.0,Anibal Mcknight,Caucasian,male,Mexico,25.0
58,58,-0.8331152055042188,3.2670587070749404,3.2338445110888285,-0.50669815443392,3.031384615805662,-0.9658031115039688,1.5431816450564382,22.47203119413161,2.658671179942274,-0.17898184441464127,1.5431816450564382,22.47203119413161,-0.17898184441464127,5.658671179942273,Quantitative,None,Bad,0.0,2.0,0.0,0.0,Leslie Smith,Caucasian,male,Canada,32.0
59,59,0.4778396633022004,2.377970812123593,3.2735580719301915,3.2045766790945684,2.204268884819637,-1.9757158099008687,0.3182782725432065,42.16116407485917,1.8910429965609916,-1.2470569265608655,0.3182782725432065,42.16116407485917,-1.2470569265608655,4.891042996560992,Engineering,Very Good,Good,0.0,0.0,0.0,0.0,Jason Ripple,Caucasian,male,United States,27.0
60,60,0.06266496697116931,3.40024808747058,2.327069891859133,5.281999588696051,4.2966148322042645,4.143377669854544,1.4811384146367217,-6.393989263380394,5.2328209521436975,2.134704870591419,1.4811384146367217,-6.393989263380394,2.134704870591419,8.232820952143697,Engineering,Ok,Good,1.0,2.0,1.0,0.0,Robert Moeller,Caucasian,male,Australia,24.0
61,61,1.9604616133331896,2.9738923999848743,1.8817075831393737,9.184997217301676,3.3533076799579167,3.7950370383694887,1.8111050737831285,12.718878953430062,4.306616181314883,1.3260712151330107,1.8111050737831285,12.718878953430062,1.3260712151330107,7.306616181314883,Quantitative,Very Good,Good,1.0,2.0,1.0,0.0,Shawn Lecy,Caucasian,male,India,30.0
62,62,-0.564545703153942,2.7789789111261567,2.105304187374785,2.700558036514804,2.6555221900233783,-1.88026280836078,2.402062217061953,33.3372742986376,2.402111990194774,-0.3489602506319218,2.402062217061953,33.3372742986376,-0.3489602506319218,5.402111990194774,Engineering,Ok,Good,0.0,0.0,0.0,0.0,Lesley Laurent,Caucasian,male,United States,28.0
63,63,-0.822008757577334,3.3025176110471937,0.8447748027905089,8.2324347793656,3.673847602838324,-0.476433530465317,3.062345781114532,40.79712279249645,2.034020930320794,-1.4246271026695654,3.062345781114532,40.79712279249645,-1.4246271026695654,5.0340209303207955,Engineering,Ok,Good,0.0,0.0,0.0,0.0,Phillip Ellis,Caucasian,male,China,25.0
64,64,-0.2707618208237365,2.674509343166584,2.07327901137786,0.31762464080360303,2.05277586862622,-2.6785242512041294,3.25297759523912,31.29284776079634,2.755609896690299,-0.3813847139727659,3.25297759523912,31.29284776079634,-0.3813847139727659,5.755609896690299,Quantitative,Very Good,Bad,1.0,0.0,0.0,0.0,Mark Porter,Caucasian,male,Canada,31.0
65,65,1.9722695606882443,2.870932689002131,1.5254710282214097,7.7476356931974575,3.2184397674662844,3.9237841494396233,2.348543690203309,-3.565161042802512,5.5009747810553025,1.9345834023086483,2.348543690203309,-3.565161042802512,1.9345834023086483,8.500974781055303,Engineering,Ok,Good,1.0,2.0,0.0,0.0,Hector Payne,Caucasian,male,China,34.0
66,66,0.4052995768780643,3.142420018552995,2.9921819786140817,4.533988957046169,4.168666281063839,4.230645783870407,3.5120088433109338,0.9767916962990596,4.993493509949388,1.6342974337349705,3.5120088433109338,0.9767916962990596,1.6342974337349705,7.993493509949388,Engineering,Very Good,Good,1.0,0.0,0.0,0.0,Richard Rollins,Caucasian,male,Australia,24.0
67,67,-0.4132265776561518,3.371964404085669,1.6384346830497574,4.436066985887563,2.570588252362918,-2.6677809853411545,1.4099470606882902,-23.716289075237626,7.091629654040331,3.3095699512427084,1.4099470606882902,-23.716289075237626,3.3095699512427084,10.091629654040332,Engineering,Ok,Good,0.0,0.0,0.0,0.0,David Woods,Caucasian,male,Mexico,38.0
68,68,0.6037630157244763,2.2088436645769027,0.8792540192125651,6.490826428778022,2.9202378845771944,1.4582294740328978,2.2848222598068406,-7.282905271342352,5.452147456610375,2.2112175299431853,2.2848222598068406,-7.282905271342352,2.2112175299431853,8.452147456610374,Humanities,Very Good,Good,0.0,2.0,0.0,0.0,Kenneth Hamilton,Caucasian,male,Mexico,26.0
69,69,0.9642813100026059,3.4859423786837103,1.1450880346588337,6.481649276375822,3.0537550404932987,1.711002493646805,1.5831288048076269,19.329359772028624,2.64752624016924,-0.19706666073702805,1.5831288048076269,19.329359772028624,-0.19706666073702805,5.64752624016924,Engineering,Ok,Good,0.0,2.0,0.0,0.0,Allan Rahn,Caucasian,male,Australia,25.0
70,70,-1.2329792756678704,2.772776679597381,0.7803473230048057,1.780708405865866,1.365913479180015,-6.985153610232357,1.5474637943187082,20.995820880032078,3.0276250449396622,0.05617786834840114,1.5474637943187082,20.995820880032078,0.05617786834840114,6.027625044939662,Quantitative,Ok,Bad,0.0,0.0,1.0,1.0,Edgar Marlowe,Caucasian,male,Canada,29.0
71,71,0.8024764309129871,2.932636646826244,1.5662836379775202,3.5938587746413786,2.65213554995619,0.9268942971662162,2.458542253396476,13.311233866439853,4.277922061897927,0.910293444314572,2.458542253396476,13.311233866439853,0.910293444314572,7.277922061897928,Sciences,Very Good,Good,0.0,0.0,0.0,0.0,Felipe Shaw,Caucasian,male,Canada,30.0
72,72,-0.7273218429284586,3.4259275818931765,1.2715964995332472,5.84940557146557,3.3302402287283037,-0.7198633696274588,2.2215987025061144,3.203483038648578,4.955742484986602,1.5066133503319536,2.2215987025061144,3.203483038648578,1.5066133503319536,7.955742484986602,Quantitative,None,Bad,1.0,0.0,0.0,0.0,Wallace Nelson,Caucasian,male,Australia,37.0
