,Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Race,Sex,Age,Birth Origin,Education,Undergraduate Degree,Educational Prestige,Sports,Criminal Record,Arrest Record,LinkedIn Score,Responsible Social Media Use,HireVue Score
0,Bernard Duffie,3.153179382,19.29262617,1,0,0,0,2,0.815034414,0,0,25,United States,1,Quantitative,2,None,0,0,1,1,1
1,Jessica Rankin,3.240213309,2.077018939,0,3,0,0,1,0.299309058,0,1,31,United States,1,Humanities,1,Club/Intramural,0,0,2,1,0
2,David Walker,3.553042159,42.96699797,0,1,0,0,1,0.45639513,4,0,26,United States,0,None,0,None,0,0,0,1,1
3,Dennis Johnson,3.720262174,22.63250661,0,0,0,0,1,0.608479866,2,0,35,United States,1,Engineering,3,None,0,0,0,1,2
4,Paul Lee,2.601548306,58.67140696,2,4,0,0,5,0.096045817,0,0,26,Australia,2,Quantitative,2,Club/Intramural,0,0,0,1,2
5,Patrick Birmingham,2.168581792,24.25522457,1,2,0,0,4,0.728613418,0,0,24,India,2,Quantitative,1,Club/Intramural,0,0,1,1,2
6,Ronald Wallace,1.896355691,19.14863791,0,3,0,0,2,0.36661923,0,0,23,United States,1,Engineering,2,None,0,0,0,1,0
7,David Coots,3.828273317,35.57489795,1,1,0,0,1,0.310707196,4,0,35,United States,2,Sciences,2,NCAA/Professional,0,0,2,1,2
8,Karin Wilson,3.148797694,21.43597825,1,2,0,0,4,0.384215252,1,1,28,United States,1,Engineering,1,None,0,0,0,1,0
9,John Owens,3.272445096,37.56268341,0,3,0,0,3,0.609900491,0,0,22,United States,1,Quantitative,3,None,0,0,2,1,0
10,Gary Sills,3.182915565,30.94128168,1,4,0,0,4,0.23452026,0,0,25,United States,1,Humanities,2,None,0,0,1,1,1
11,Tom Irizarry,3.694690583,32.10293248,0,4,0,0,2,0.528565528,3,0,24,United States,1,Quantitative,2,None,0,0,2,1,0
12,Ethan Himes,2.476226049,32.09584649,2,0,0,0,3,0.637837991,1,0,25,United States,1,Humanities,2,None,0,0,0,1,0
13,John Galvan,2.575688706,3.739243344,1,4,0,0,5,0.782199642,0,0,27,United States,1,Engineering,2,None,0,0,0,1,2
14,Norman Hankins,2.326800042,22.30852096,1,0,0,0,3,0.241335279,0,0,29,United States,1,Engineering,1,None,0,0,0,1,1
15,Paul Wilkinson,3.895672951,73.25747999,0,0,0,0,3,0.158695756,0,0,23,United States,1,Engineering,2,None,0,0,1,1,1
16,Donald Rumsey,2.954595351,12.94884146,0,2,0,0,1,0.589529457,0,0,25,Canada,1,Humanities,2,None,0,0,2,1,2
17,Robert Curry,3.131840402,18.17746608,0,1,0,0,5,0.521316179,0,0,25,United States,1,Quantitative,2,Club/Intramural,0,0,2,1,0
18,Gilbert Barabas,3.09058277,67.3449378,1,4,0,0,4,0.692872127,3,0,22,United States,1,Engineering,2,Club/Intramural,0,0,2,1,2
19,Larry Maxwell,3.489090955,24.7775095,1,4,0,0,2,0.770390972,2,0,25,United States,1,Sciences,1,Club/Intramural,0,0,2,1,1
20,Alexander Mcglothlin,3.169138286,75.68674591,1,0,0,0,5,0.537722649,0,0,29,Mexico,1,Engineering,1,None,0,0,1,1,2
21,Louis Wade,3.338199995,34.32671479,2,1,0,0,4,0.23739656,0,0,34,United States,2,Quantitative,2,Club/Intramural,1,1,2,1,2
22,Jeremy Goodwin,2.37541821,26.25876695,0,2,0,0,5,0.567483776,0,0,25,United States,1,Sciences,2,None,0,0,1,1,2
23,Joe Dafonte,3.413306777,41.38356482,0,0,0,0,1,0.691950266,2,0,26,Australia,1,Engineering,1,None,0,0,1,1,0
24,Diane Fagan,2.453682188,58.96306292,1,3,0,0,3,0.766346205,0,1,31,Mexico,1,Quantitative,2,None,0,0,0,1,0
25,Caroline Hall,3.109400819,42.02158681,1,3,0,0,2,0.138158902,0,1,35,United States,0,None,0,None,0,0,1,1,1
26,Joy Berggren,3.571760795,65.87163846,1,0,0,0,6,0.159620421,0,1,25,China,2,Quantitative,2,None,0,0,1,1,1
27,Robert Chapman,3.546196214,20.54776399,2,2,0,0,4,0.610878415,0,0,28,United States,2,Humanities,2,None,0,0,0,1,1
28,Danny Jeffery,2.788570185,26.4865682,1,3,0,0,1,0.71688204,0,0,28,United States,1,Humanities,2,None,0,0,1,1,2
29,Keith Arnold,3.169749993,3.329365991,2,3,0,0,2,-0.277631155,0,0,26,United States,1,Engineering,1,None,0,0,0,1,1
30,Sarah Henderson,3.155701414,60.40634901,1,0,0,0,2,0.407883857,0,1,25,United States,1,Engineering,2,Club/Intramural,0,0,0,1,1
31,Adelaide Ruth,3.165741902,11.81063136,2,3,0,0,2,0.269857341,0,1,25,India,1,Quantitative,2,None,0,0,1,1,0
