,Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Race,Sex,Age,Birth Origin,Education,Undergraduate Degree,Educational Prestige,Sports,Criminal Record,Arrest Records,LinkedIn Score,Responsible Social Media Use,HireVue Score
0,Phillip Goers,4.279468612,5,2,3,1,1,2,0.704426172,2,0,24,United States,2,Engineering,3,Club/Intramural,0,0,2,1,2
1,Lisette Mccage,4.270793072,5,2,3,1,1,2,0.9234250759999999,0,1,24,United States,2,Sciences,3,NCAA/Professional,0,0,2,1,2
2,Courtney Wilson,4.260731331000001,59,2,4,1,1,3,0.985431642,0,1,28,United States,2,Engineering,3,None,0,0,2,1,2
3,Andrea Robles,4.238973784,10,2,4,1,1,3,0.8520081340000001,3,1,29,United States,2,Quantitative,2,None,0,0,2,1,1
4,Amy Gunnels,4.224951992,47,1,4,1,1,1,0.812474593,0,1,25,United States,2,Humanities,3,Club/Intramural,0,0,2,1,2
5,Michael Utecht,4.129336017,5,1,4,1,1,2,0.827376252,0,0,28,United States,2,Sciences,3,None,0,0,1,1,2
6,Emmanuel Harper,4.128482774,17,2,4,0,1,3,0.524771408,0,0,27,United States,1,Sciences,1,Club/Intramural,0,0,2,1,2
7,George Wright,4.126898096000001,48,2,3,1,0,5,0.619716845,0,0,26,India,1,Sciences,3,Club/Intramural,0,0,2,1,2
8,Jack Martini,4.118743395,40,2,4,1,0,3,0.8987950140000001,1,0,30,United States,1,Engineering,3,NCAA/Professional,0,0,1,1,2
9,Thomas Branham,4.114741026,20,1,4,1,1,4,0.77418076,0,0,22,United States,1,Quantitative,1,None,0,0,2,1,2
10,Frank Kutz,4.098691441000001,5,2,3,1,1,1,0.837501257,0,0,32,United States,1,Humanities,2,None,0,0,1,1,2
11,Jeffrey Challender,4.095519127,5,2,3,1,1,3,0.976576097,0,0,32,Mexico,1,Sciences,3,Club/Intramural,0,0,2,1,2
12,David Smith,4.087106366,67,2,4,1,1,5,0.8903565729999999,1,0,23,United States,2,Humanities,1,Club/Intramural,0,0,1,1,1
13,Janet Wisman,4.0705440280000005,33,2,4,1,1,0,0.983629236,0,1,25,United States,1,Engineering,2,Club/Intramural,0,0,2,1,2
14,Gloria Weber,4.065148699,53,0,4,1,1,4,1.102829087,0,1,33,United States,2,Humanities,2,Club/Intramural,0,0,2,1,2
15,Kathlene Carner,4.063397659,123,1,4,0,1,4,0.7920553779999999,3,1,28,United States,1,Humanities,2,Club/Intramural,0,0,2,1,2
16,Joyce Phillips,4.0597950339999995,19,2,3,1,1,2,0.64452378,0,1,30,United States,1,Humanities,2,Club/Intramural,0,0,0,1,2
17,Glen Burton,4.051628272,31,2,4,1,1,4,0.833905969,0,0,25,Mexico,2,Sciences,2,None,0,0,2,1,2
18,Shannon Yeater,4.048154057,5,2,3,1,1,1,0.565285808,2,1,26,United States,1,Quantitative,3,Club/Intramural,0,0,2,1,2
19,Jose Sipe,4.045516333,16,2,4,1,1,3,0.8264515459999999,0,0,24,United States,2,Engineering,1,None,0,1,2,1,2
20,Brian Vitale,4.042662166,38,2,2,1,1,3,0.47165783299999997,0,0,24,United States,1,Engineering,3,None,1,1,1,1,2
21,Dennis Bazan,4.041063233,5,1,1,1,1,1,0.343379944,4,0,31,United States,2,Sciences,1,None,0,0,1,1,2
22,Ulysses Copas,4.011710654,49,1,2,1,1,4,0.8974921090000001,0,0,28,China,1,Engineering,1,None,0,0,0,1,1
23,Deanna Graves,4.010679543,5,2,3,0,1,3,0.9578420059999999,0,1,24,United States,1,Sciences,2,None,1,1,2,1,2
24,Oscar Abraham,4.01,15,2,4,1,1,3,0.9003200000000001,1,0,24,United States,2,Sciences,3,Club/Intramural,0,0,1,1,2
25,Douglas Tibolla,4.006970873999999,125,2,4,1,1,3,0.557728485,1,0,24,United States,1,Humanities,2,None,1,1,0,1,0
26,Bennie Larson,3.9831975269999997,5,2,4,1,1,4,0.128367628,0,0,28,United States,2,Quantitative,1,None,1,1,0,1,2
27,Ruth Bass,3.982631237,5,1,4,1,1,2,0.471760099,0,1,33,United States,0,None,0,None,0,0,1,1,1
28,Melinda Hodges,3.98066456,40,2,4,1,1,3,0.922883377,0,1,29,United States,2,Humanities,2,None,0,0,2,1,1
29,Oscar Jenkins,3.9725860969999998,79,2,2,1,1,2,0.26028941899999997,0,0,22,United States,2,Engineering,2,Club/Intramural,0,0,1,1,1
30,Stephen Cooksey,3.969429662,78,2,3,0,0,2,0.6321480039999999,1,0,22,United States,1,Quantitative,2,NCAA/Professional,0,1,1,1,1
31,Lana Hernandez,3.9612223280000003,19,2,4,1,1,4,0.735149287,0,1,22,United States,2,Humanities,2,Club/Intramural,0,0,2,1,2
32,Norman Froneberger,3.9379105219999997,56,2,4,0,1,4,0.063730438,2,0,27,India,1,Quantitative,2,Club/Intramural,0,0,1,1,2
33,Janice Baker,3.894808965,114,1,4,0,0,4,0.505056353,1,1,32,United States,2,Humanities,1,None,0,1,1,1,1
34,Dawn Csaszar,3.894736525,35,0,4,0,0,3,0.5493703679999999,0,1,27,United States,1,Sciences,2,Club/Intramural,0,0,0,1,0
35,Angela Duskey,3.8942433939999996,33,2,4,1,0,4,0.453761091,0,1,25,United States,2,Quantitative,1,None,0,0,0,1,0
36,Tomas Mcloughlin,3.891292105,21,2,4,0,0,3,0.255992712,4,0,23,United States,2,Engineering,3,None,0,0,1,1,1
37,Vicki Catrone,3.8883245619999998,100,2,4,0,0,4,0.764854272,2,1,27,United States,1,Humanities,2,Club/Intramural,0,0,1,1,0
38,Gloria Hahn,3.869563435,32,1,2,0,1,3,0.8760430770000001,0,1,24,United States,2,Engineering,1,Club/Intramural,0,0,0,1,0
39,Catherine Terry,3.868880799,15,2,3,0,0,6,0.6383745439999999,0,1,27,China,2,Engineering,2,None,0,0,0,1,0
40,Kelley Rottenberg,3.868362868,47,2,0,0,0,3,0.336369323,0,1,28,India,1,Quantitative,1,Club/Intramural,0,0,1,1,1
41,Ralph Ng,3.868109102,24,2,4,1,1,3,0.883572276,2,0,28,United States,2,Sciences,2,None,0,0,1,1,2
42,William Hershenson,3.8678952160000004,18,2,4,0,0,2,0.649267798,0,0,23,Canada,1,Engineering,1,NCAA/Professional,0,0,1,1,2
43,Luis Mcgraw,3.867010735,84,1,0,0,0,5,0.209016282,0,0,23,United States,2,Engineering,2,None,0,0,1,1,0
44,William Edmonson,3.864957309,48,2,3,0,0,2,0.6867383309999999,0,0,25,United States,1,Sciences,3,Club/Intramural,1,1,2,1,0
45,Erin Mohammad,3.851303534,62,2,2,0,1,3,0.424772537,0,0,25,United States,1,Quantitative,3,None,0,0,2,1,2
46,Sylvester Turner,3.850462073,61,1,1,0,0,3,1.029528487,1,0,28,United States,1,Sciences,1,None,1,1,1,1,1
47,Marshall Clement,3.847253719,19,2,0,0,0,3,0.585753635,4,0,31,United States,1,Quantitative,3,None,0,0,0,1,1
48,Mark Childs,3.843852142,51,1,4,1,0,3,0.438924803,0,0,25,United States,1,Sciences,2,None,0,0,1,1,0
49,Warren Ray,3.840148555,28,1,3,1,0,3,0.65240999,0,0,24,United States,1,Humanities,1,None,0,0,2,1,0
50,Sharon Orr,3.8400572960000003,35,1,3,0,0,1,0.332056865,0,1,31,United States,1,Quantitative,2,Club/Intramural,0,1,2,1,0
51,Donald Heflin,3.834767147,39,2,0,0,0,1,0.39632668299999996,0,0,24,United States,1,Engineering,2,NCAA/Professional,0,0,0,1,0
52,John Kaufman,3.833153774,12,2,4,0,0,5,0.798617192,0,0,27,United States,1,Engineering,2,Club/Intramural,0,0,1,1,0
53,Jane Button,3.82,34,1,4,1,1,3,0.932,2,1,29,United States,1,Quantitative,3,Club/Intramural,0,0,2,1,2
54,Jennifer Hoban,3.81430502,42,0,1,0,0,1,0.662388165,0,1,37,United States,1,Quantitative,2,None,1,1,0,1,0
55,Justin Collins,3.8119040930000003,5,0,3,0,0,4,0.272419474,0,0,22,China,1,Sciences,1,None,0,0,0,1,2
56,Tara Smith,3.805504675,89,2,0,0,0,5,0.7050187990000001,0,1,37,United States,1,Engineering,2,NCAA/Professional,0,0,1,1,1
57,James Coronado,3.80275289,5,0,2,0,0,5,0.672776927,0,0,26,United States,2,Humanities,2,NCAA/Professional,0,0,1,1,1
58,John Nixon,3.7924224630000003,33,0,1,0,0,5,0.32312497,0,0,33,Canada,2,Engineering,3,None,0,0,1,1,0
59,Robert Howard,3.7890117639999996,29,0,3,0,0,2,0.383718227,0,0,21,Canada,1,Sciences,2,None,0,0,1,1,1
60,Holly Patterson,3.787564967,5,2,3,1,1,4,0.87922556,2,1,25,United States,1,Quantitative,1,Club/Intramural,0,0,2,1,2
61,Suzanne Phillips,3.78719106,24,2,3,1,1,3,0.736470747,2,1,22,United States,2,Quantitative,2,None,0,0,2,1,2
62,Nickolas Velez,3.786158725,36,2,4,1,0,5,0.110190113,0,0,34,United States,2,Humanities,2,None,0,0,2,1,2
63,Glen Hall,3.785870352,19,0,2,1,0,4,0.32055790300000003,2,0,33,United States,2,Engineering,3,None,0,0,1,1,1
64,Christina Roberts,3.7833158069999997,13,1,1,0,0,5,0.348182913,0,1,30,United States,1,Humanities,2,None,0,0,0,1,2
65,James Lehnen,3.782248585,73,0,1,0,0,3,0.669678915,0,0,29,United States,1,Quantitative,1,None,0,0,0,1,0
66,Eula Farris,3.774724426,25,0,0,0,0,5,0.8285506979999999,0,1,23,United States,1,Quantitative,3,Club/Intramural,0,0,0,1,2
67,Jackie Reed,3.765002155,69,0,3,0,0,5,-0.036028152,0,1,27,United States,2,Engineering,2,Club/Intramural,0,0,1,1,1
68,Dawn Keels,3.764329698,59,1,4,0,0,3,0.284659115,0,1,23,United States,2,Quantitative,1,Club/Intramural,0,0,1,1,0
69,Joseph Luthy,3.753269825,17,0,0,0,0,3,0.561705978,0,0,28,China,1,Sciences,2,None,1,1,0,1,0
70,Valerie Denis,3.743264973,26,2,4,0,0,3,0.31184718300000003,0,1,35,China,2,Humanities,3,None,0,0,2,1,2
71,Martin Applin,3.731543877,78,2,2,0,0,4,0.362922663,1,0,26,United States,2,Humanities,1,Club/Intramural,0,0,1,1,1
72,Clark Weiler,3.71514545,48,1,3,0,0,1,0.358225576,2,0,23,United States,0,None,0,None,0,0,1,1,1
73,Todd Erving,3.71433749,54,2,2,1,0,6,0.6203447360000001,4,0,28,Canada,2,Engineering,2,None,0,0,1,1,1
74,James Joseph,3.712499639,77,1,3,0,0,1,0.46570708200000005,0,0,30,United States,2,Engineering,2,None,0,0,0,1,0
75,Freddie Wearing,3.7119760360000003,30,2,3,0,0,1,0.60601734,1,0,23,United States,1,Humanities,1,None,1,1,0,1,2
76,Nanette Duran,3.707828109,83,1,2,0,0,1,0.266458063,0,1,34,United States,2,Sciences,1,None,0,0,1,1,1
77,Maureen Tompkins,3.704080872,39,1,2,0,0,4,0.6671821370000001,0,1,27,United States,1,Humanities,2,NCAA/Professional,0,0,1,1,2
78,John Han,3.692789742,5,2,0,1,0,2,0.6764494040000001,0,0,27,United States,1,Engineering,1,None,0,0,0,1,1
79,Brenda Sur,3.682385572,18,1,0,0,0,2,0.512238894,4,1,23,United States,1,Engineering,2,None,0,0,1,1,0
80,Michael Dyer,3.679055563,17,0,1,0,0,2,0.619083073,0,0,36,United States,1,Engineering,2,Club/Intramural,0,0,1,1,2
81,Julie Morales,3.6781919189999996,42,0,2,1,0,1,0.41893012,2,1,31,United States,1,Engineering,2,Club/Intramural,1,1,1,1,1
82,Earnestine Marini,3.66545317,74,1,4,0,0,1,0.36187621,0,1,28,United States,1,Sciences,1,None,1,0,0,1,2
83,Mary Holding,3.6621945289999998,46,0,2,0,0,4,0.607999795,0,1,31,United States,1,Engineering,3,NCAA/Professional,0,0,0,1,2
84,Howard Penland,3.6606157269999997,63,2,4,0,0,4,0.425674179,3,0,29,United States,1,Sciences,1,Club/Intramural,0,0,1,1,1
85,Terry Bair,3.6543787310000004,15,2,4,1,1,3,0.520838871,0,0,25,United States,1,Humanities,2,None,0,0,0,1,0
86,James Cain,3.651289417,23,2,1,0,0,5,0.267167467,0,0,26,United States,1,Humanities,2,None,0,0,0,1,1
87,Roy Daniel,3.6496815739999997,40,1,3,0,0,2,0.512921982,0,0,29,United States,1,Engineering,2,NCAA/Professional,0,0,2,1,2
88,Morgan Guzman,3.647168025,5,2,3,1,1,4,0.790565635,0,1,25,United States,1,Sciences,2,Club/Intramural,0,0,1,1,2
89,Jason Miller,3.64441768,5,2,4,1,1,4,0.8801833040000001,0,0,21,United States,2,Quantitative,2,Club/Intramural,0,0,1,1,2
90,Lester Vassel,3.640745758,13,2,3,0,0,2,0.809688715,0,0,27,China,2,Quantitative,1,None,1,0,1,1,1
91,Terence Guadalupe,3.639252687,21,2,3,0,0,1,-0.015952471,0,0,22,United States,1,Humanities,2,None,0,0,1,1,2
92,Rosemarie Baker,3.6336015010000002,16,2,3,0,0,3,0.524161525,0,1,23,Canada,2,Humanities,2,Club/Intramural,0,0,1,1,2
93,Karen Owen,3.62837692,86,0,1,0,0,2,0.40281793299999996,0,1,28,United States,1,Sciences,2,Club/Intramural,0,0,0,1,0
94,Robin Golden,3.623760059,54,1,2,0,1,4,0.17034322100000002,4,1,24,Australia,1,Engineering,2,Club/Intramural,0,0,2,1,1
95,Ron Ruiz,3.6224861489999998,15,1,2,1,0,1,0.334633707,0,0,33,India,1,Sciences,2,Club/Intramural,0,0,0,1,0
96,Melanie Seibel,3.6177468960000003,84,1,2,0,0,2,0.515706574,3,1,29,United States,1,Humanities,1,Club/Intramural,0,0,1,1,1
97,Nicola Lane,3.615341773,52,0,2,0,0,1,0.619832123,0,1,28,United States,1,Engineering,2,None,0,0,1,1,0
98,Regina Longe,3.598473173,22,2,1,0,0,4,0.263307415,0,1,22,United States,1,Quantitative,3,Club/Intramural,0,0,0,1,0
99,Daniel Caballero,3.5978172560000004,36,0,1,0,0,5,-0.12677311900000002,0,0,26,United States,1,Quantitative,3,None,0,1,1,1,1
100,Henrietta Craig,3.597537796,32,0,2,0,0,3,0.7642313890000001,1,1,29,United States,1,Engineering,1,None,0,0,0,1,1
101,Zachary Miracle,3.59162128,27,1,4,0,0,0,0.449269135,0,0,23,United States,1,Quantitative,2,NCAA/Professional,0,0,0,1,0
102,Penny Rose,3.589772532,29,0,2,0,0,5,0.615224456,0,1,28,United States,1,Quantitative,1,None,0,0,1,1,1
103,Michael Hester,3.5852554569999997,49,0,4,0,0,5,0.9210169570000001,0,0,23,United States,0,None,0,None,0,0,1,1,1
104,Laura Brown,3.58317059,45,0,4,0,0,4,0.713596392,0,1,30,United States,0,None,0,None,0,0,1,1,0
105,Frank Karow,3.5782543380000003,90,2,3,1,0,5,0.205887266,3,0,35,United States,1,Sciences,1,None,0,0,1,1,2
106,Michael Kincaid,3.57708027,35,2,0,0,0,3,0.6421439489999999,2,0,22,United States,1,Humanities,3,Club/Intramural,0,0,1,1,1
107,Anne Lucas,3.576380926,37,1,4,0,0,0,0.163036736,3,1,23,United States,1,Engineering,1,None,0,0,2,1,1
108,Craig Martinez,3.575478344,72,1,2,0,0,3,0.620635216,2,0,28,India,1,Quantitative,1,None,0,0,0,1,2
109,Cheryl Rogers,3.573906885,45,1,3,0,0,6,0.5943580970000001,2,1,27,United States,1,Sciences,2,None,0,0,1,1,1
110,Sharon Allison,3.572791995,34,0,0,0,0,4,0.11655948699999999,0,1,28,United States,2,Quantitative,1,None,0,0,0,1,0
111,Ray Cogan,3.5684174239999997,111,2,4,0,1,1,0.47479044299999995,2,0,26,United States,1,Engineering,2,None,0,0,2,1,2
112,Joel Martin,3.564686695,68,0,1,0,0,5,0.35104267899999997,0,0,33,United States,0,None,0,None,0,0,1,1,2
113,Sherika Ray,3.5618037589999996,13,2,0,0,0,5,0.6930587109999999,0,1,22,United States,1,Humanities,2,Club/Intramural,0,0,0,1,2
114,June Isbell,3.5608326260000003,33,2,4,0,0,4,0.287548641,0,1,32,Mexico,1,Sciences,1,None,0,0,2,1,2
115,Sean Eversole,3.558835082,100,0,1,0,1,1,0.28981477899999997,3,0,21,Mexico,1,Engineering,1,None,0,0,1,1,2
116,James Patton,3.556981197,25,0,3,0,0,1,0.921564376,3,0,28,United States,1,Engineering,1,None,0,0,1,1,1
117,Peggy Roach,3.55517565,73,1,1,0,0,2,0.262374117,0,1,26,United States,2,Sciences,2,None,0,0,1,1,2
118,Joseph Hyneman,3.553401868,20,0,0,0,0,3,0.42810978299999997,0,0,24,United States,1,Humanities,1,None,0,0,0,1,0
119,Rosa Anderson,3.547112293,48,1,1,0,0,3,0.348671035,3,1,29,United States,2,Humanities,2,Club/Intramural,0,0,1,1,2
120,Scott Patterson,3.5470663910000004,106,1,3,0,0,3,0.765399075,0,0,26,United States,1,Sciences,1,Club/Intramural,0,0,2,1,1
