,GPA,Leadership Capability,Technical Aptitude,Years of Experience,Soft Skills,Job Performance,Military Tenure,Avg Commute Time,Job Tenure,Employee Referrals,HireVue Score,Cultural Fit,Education,Educational Prestige,Degree,LinkedIn Score,Responsible Social Media Use,Arrest Records,Criminal Records,Arrest Record,Criminal Record,Names,Gender,Race
0,2.969763622660187,-0.14365878636687715,2.347031146423689,3.785862302757759,3.5298973571655017,1,2.952349303285522,11.751425841976143,7.2916082540255855,1.0,2.0,0.0,2.0,1.0,Humanities,Very Good,Good,0.0,0.0,0.0,0.0,Damian Kirkpatrick,0.0,2.0
1,2.956057102254835,0.6481050789159513,2.7404416534368834,2.8695164617592317,3.662320632000394,2,0.7739947225125539,66.97270482243783,3.2041887251467993,1.0,2.0,2.0,1.0,2.0,Engineering,Very Good,Good,0.0,0.0,0.0,0.0,Daniel Neil,0.0,0.0
2,3.4065774401052673,0.4609805033463668,1.6734387823200911,3.707436400615157,2.3245829498902872,0,1.8145507493228639,39.90128548068199,5.272064063923937,0.0,0.0,0.0,1.0,2.0,Humanities,Ok,Good,0.0,0.0,0.0,0.0,Thomas Medley,1.0,0.0
3,1.987386727292153,-0.2707808474934979,1.6522937464602594,0.7038369149011787,2.565189331064266,-2,1.7339677506036653,38.29177144469103,5.077784484560873,0.0,1.0,0.0,1.0,3.0,Humanities,Ok,Good,0.0,0.0,0.0,0.0,Carol Dyer,0.0,0.0
4,3.403909903072414,0.5622371516956044,2.2333989346788354,1.7161501918692648,4.176276462710775,2,2.059470970010993,28.21325462145624,6.314675907874598,1.0,2.0,2.0,1.0,1.0,Sciences,Very Good,Good,0.0,0.0,0.0,0.0,Timothy Brown,0.0,2.0
5,3.296986111393931,1.0025914313254274,3.181840598756926,1.971507938685467,3.7611877777898846,2,1.8909261151301064,31.28671418888336,5.893309295345928,1.0,2.0,2.0,1.0,2.0,Engineering,Ok,Bad,0.0,0.0,0.0,0.0,Christopher Becker,0.0,0.0
6,3.4761115256191344,0.457173715995824,2.98229728156392,7.20905472995851,3.9261661936409755,2,0.14611205416680617,88.03703212475428,3.0,1.0,0.0,2.0,1.0,1.0,Engineering,Ok,Good,0.0,0.0,0.0,0.0,Ray Desimone,0.0,2.0
7,3.468281925838448,0.9813968140275724,4.15996852079148,2.963880143672811,4.464422943220321,2,2.5990799744597264,12.829381030641365,7.246153171986347,1.0,2.0,1.0,1.0,3.0,Quantitative,Very Good,Good,0.0,0.0,0.0,0.0,John Yang,0.0,0.0
8,3.1493346923435674,-0.9254705117749457,2.0358323316952482,8.413645869146052,2.342556608885991,-2,1.6011715965225313,39.44659572132468,5.156385807898296,0.0,0.0,0.0,1.0,1.0,Sciences,None,Good,0.0,0.0,0.0,0.0,Latonia Rogers,1.0,2.0
9,2.5191960139631493,-0.7686758540045061,2.2857915064632106,5.430312603918672,2.3087035326170104,-2,1.5021474699733732,47.4232485350438,5.133583725238747,0.0,0.0,0.0,1.0,1.0,Sciences,None,Bad,0.0,0.0,0.0,0.0,Jean Soolua,1.0,0.0
10,3.0942057979876973,-0.2862883945630205,0.7987703249740059,4.825564840117982,2.338022491434928,-1,3.7215480894842226,10.0,9.891893168727343,0.0,0.0,0.0,1.0,1.0,Humanities,Very Good,Good,1.0,0.0,1.0,0.0,Helen Hamilton,0.0,0.0
11,3.415779550463581,0.36103378775383177,1.6805669089344013,7.166976927357741,3.3152558871380258,1,0.13027826275199672,77.80335434999785,3.0,0.0,2.0,0.0,1.0,1.0,Sciences,Ok,Good,0.0,0.0,0.0,0.0,Jimmy Kessler,0.0,0.0
12,2.477192183712585,-0.689330862672742,1.6871049509827214,4.891150542841605,2.4228641679226293,-2,1.6106395548012418,33.77741359722663,5.378864018794174,0.0,0.0,0.0,1.0,1.0,Sciences,None,Good,0.0,0.0,0.0,0.0,Cheryl Chronister,1.0,0.0
13,3.1013978013724257,-0.6054742097023712,1.9194138143854802,-0.615452149939669,3.2875103917196373,0,2.590647635542595,14.71900429880883,7.086295549928454,0.0,0.0,0.0,1.0,1.0,Humanities,Very Good,Good,0.0,0.0,0.0,0.0,Beverly Wapp,1.0,2.0
14,2.627155668858617,1.1449866330054634,3.352759658814704,0.3342225559363472,3.751856055585082,2,3.0963428260346073,13.705384978217406,7.6703131761267915,1.0,2.0,2.0,1.0,1.0,Engineering,Very Good,Good,0.0,0.0,0.0,0.0,Eddie Williams,0.0,0.0
15,3.7125776647109476,0.14041273081001193,1.9791671154837696,4.219524727789561,3.86257766783393,2,1.394985785694376,49.26583897207794,4.298611927240837,0.0,2.0,2.0,1.0,1.0,Engineering,Ok,Good,0.0,0.0,0.0,0.0,Julie Alsup,0.0,2.0
16,3.8387727487505114,-0.743146170369551,2.514824495060383,7.297473356972522,3.2625491849397865,0,1.6616507077143046,37.93190329045332,5.612411662472048,0.0,0.0,0.0,2.0,2.0,Sciences,Very Good,Bad,0.0,0.0,0.0,0.0,Carol Bonardi,0.0,2.0
17,2.871240856999125,-0.5436472937872938,1.665071835599917,3.886827384757112,2.2511397908984745,-2,1.8227490885748217,31.972552040668777,5.581465733447885,0.0,0.0,0.0,0.0,0.0,None,Ok,Bad,0.0,0.0,0.0,0.0,Roxann Schroepfer,1.0,3.0
18,3.167157525423206,-0.14573059916101577,2.640577413464438,8.667196123894506,3.164094464754265,0,2.5714803969873654,17.300912579838155,6.856509705280218,0.0,2.0,0.0,2.0,1.0,Humanities,Ok,Good,0.0,0.0,0.0,0.0,David Coolidge,0.0,0.0
19,2.9630886304080497,-0.3511226365776493,1.1442392726474173,1.6466736660992476,2.15721611495451,-2,3.1222190430939802,1.5726982684096846,8.346779983618344,0.0,0.0,0.0,1.0,1.0,Humanities,None,Good,1.0,0.0,1.0,0.0,Martha Warrington,1.0,2.0
20,2.9368271184576673,-0.6130779908481148,1.9476246981398782,6.93290110545205,1.4615677104665348,-2,2.093113373597085,37.09755150776176,5.992196362757801,0.0,0.0,0.0,1.0,1.0,Sciences,Ok,Bad,0.0,0.0,0.0,0.0,Julia Faulk,1.0,0.0
21,2.5369681955441994,0.9624215334139542,0.9683604326276722,0.7612253960123057,2.7130861637517087,0,3.710325655256981,10.0,9.648941466841048,0.0,0.0,0.0,1.0,3.0,Humanities,Very Good,Good,0.0,0.0,0.0,0.0,Jessica Rodriguez,1.0,2.0
22,3.7404968111409227,0.6921951344169381,2.223221763034688,5.70601781960357,3.7853966514469417,2,0.0,76.9907366185355,3.0,1.0,2.0,2.0,1.0,1.0,Quantitative,Very Good,Good,0.0,0.0,0.0,0.0,James Pittman,0.0,2.0
23,2.7959984986124486,0.5948546923540015,1.504467179758084,3.2091272740735524,3.69389568854297,2,2.8305832268452575,17.735306795143764,7.416067387325552,1.0,2.0,2.0,1.0,1.0,Humanities,Ok,Good,0.0,0.0,0.0,0.0,Joseph Gregory,0.0,2.0
24,3.4154906384179906,-0.9818049973174154,0.21854699065477967,3.417127543298732,2.598797492319101,-1,1.930091959144091,35.33677247698718,5.672607452705651,0.0,0.0,0.0,1.0,3.0,Humanities,Very Good,Good,0.0,0.0,0.0,0.0,Elke Scharmer,1.0,2.0
25,3.3772769815463675,1.3838549068555728,2.8633046879438075,2.1347463832319207,4.846935922341421,2,3.2593274366384826,2.7226263067768812,8.372342725489808,1.0,2.0,1.0,2.0,2.0,Quantitative,Very Good,Good,0.0,0.0,0.0,0.0,Claudio Custard,0.0,2.0
26,3.143777247889565,0.6730253161122993,1.5157754975997344,7.282082453235398,2.6481415409582287,0,2.895001135372274,3.7139691249267734,7.887754894868551,0.0,0.0,0.0,1.0,1.0,Humanities,None,Bad,0.0,0.0,0.0,0.0,William Oneal,0.0,0.0
27,3.06261536405012,-0.1125316094177478,2.2419513503770467,5.398931262424288,3.1596479822973573,0,2.7520343898052144,14.120687325001898,7.480817144177693,0.0,2.0,0.0,1.0,1.0,Humanities,Ok,Bad,0.0,0.0,0.0,0.0,Mattie Heling,1.0,0.0
28,3.8851342999884553,0.8631354344359292,3.929345688630229,-0.11077340914065115,4.0788824724970745,2,2.1443680585888623,25.006817199258627,6.392739031105472,1.0,2.0,2.0,1.0,1.0,Engineering,Ok,Good,1.0,0.0,1.0,0.0,Charles Carter,0.0,0.0
29,3.641517506534962,0.6676087298668977,1.7603725123487788,2.2525860876760255,2.9140764702345074,0,0.6430542147300764,69.67964732752307,3.0,0.0,0.0,0.0,2.0,1.0,Sciences,None,Good,0.0,0.0,0.0,0.0,Buster Kelly,0.0,0.0
30,2.8890395077746063,-0.4911753689814321,3.751687544116935,2.797310524136635,2.646324234672001,-2,0.5241196627577218,54.90294724804325,3.379170125941563,0.0,0.0,0.0,1.0,1.0,Humanities,None,Bad,0.0,0.0,0.0,0.0,Alphonso Lamb,0.0,0.0
31,2.980914825367361,0.7485962718608808,0.9311631342581195,4.327589328237978,2.470804102604868,0,2.3817209046619543,16.508068444697102,7.036656385293527,0.0,0.0,0.0,2.0,1.0,Sciences,Ok,Bad,0.0,0.0,0.0,0.0,Joann Beltrame,1.0,0.0
32,2.218590358164125,-0.48967837848473583,2.8599148263173557,4.614165246687815,2.2253997137169876,-2,2.3535328654539533,22.50043938748496,6.62312605601604,0.0,0.0,0.0,1.0,1.0,Sciences,Ok,Bad,0.0,0.0,0.0,0.0,Kyle Cage,0.0,2.0
33,2.757833356664319,0.13907246824911673,1.968327139708321,2.6075738996402564,2.465432575136015,0,1.2362674596793322,46.403132827810886,4.6434492944695505,0.0,0.0,2.0,1.0,3.0,Humanities,Ok,Bad,0.0,0.0,0.0,0.0,Shawn Zambrana,1.0,2.0
34,2.691522871399806,0.9762682313403781,2.4726977847927882,6.466582701809376,3.0055407355189385,2,1.3802166005303496,38.686003102375736,5.040979146683819,1.0,2.0,2.0,1.0,1.0,Quantitative,Very Good,Good,0.0,0.0,0.0,0.0,Pierre Sanford,0.0,2.0
35,3.5873378238871854,0.3659869645043577,1.457943767365625,4.636218815576036,3.7153968319644712,2,0.9844357054853408,52.973084321715774,4.165148144961769,1.0,2.0,0.0,2.0,1.0,Quantitative,Ok,Good,0.0,0.0,0.0,0.0,Stephen Mimes,0.0,0.0
36,3.7354578913854004,-0.8641508298080554,1.0437934964861482,1.9456957673648279,2.9136069433703664,0,1.911026445232019,44.634385241620116,5.099905329868226,0.0,0.0,0.0,1.0,2.0,Quantitative,None,Good,0.0,0.0,0.0,0.0,Lauren Brown,1.0,0.0
37,2.50909367204208,0.2281276823342879,1.0845100340227907,7.015123308245657,2.6918704943559653,1,1.4241407389057172,39.86569708908986,5.012567696852388,0.0,1.0,0.0,1.0,2.0,Quantitative,Ok,Good,1.0,0.0,1.0,0.0,Susan Williams,1.0,0.0
38,3.6171243594742073,0.2831381091681389,3.6041340832619015,1.1383532104502838,4.255436257013056,2,2.659750287819395,12.84707925644593,7.201586948014809,1.0,2.0,2.0,1.0,1.0,Engineering,None,Good,0.0,0.0,0.0,0.0,Raymond Dalton,0.0,0.0
39,2.3106090178167085,-0.8306690445662696,1.7637210166620143,7.649015466297664,2.5479563640627823,-2,2.2586210583279103,20.97106558879212,6.82679015615262,0.0,1.0,0.0,2.0,1.0,Quantitative,Ok,Bad,0.0,0.0,0.0,0.0,Adelaide Livingston,1.0,0.0
40,3.0897063695467977,-0.028737590174375494,1.4011125093439687,6.623924250720124,2.3727227834770086,-1,3.0859724370546306,12.182820289087832,7.557794424803697,1.0,0.0,0.0,1.0,1.0,Sciences,None,Bad,0.0,0.0,0.0,0.0,Richard Bardon,0.0,2.0
41,3.2950674617297726,1.3419652910464352,1.8757696591568824,5.559731691856562,2.916646532908325,2,2.3604691665364017,24.808296788893234,6.554743972822639,1.0,0.0,2.0,2.0,1.0,Quantitative,Very Good,Good,0.0,0.0,0.0,0.0,Michael Alley,0.0,2.0
42,3.499605956420114,-0.7380511145446637,2.0907363809817094,7.745731906997993,2.932299013283905,-1,2.364585290377508,14.993775508805758,6.644724457852609,0.0,0.0,2.0,1.0,2.0,Sciences,Very Good,Good,0.0,0.0,0.0,0.0,Susie Blackmon,1.0,0.0
43,2.1384321851291976,0.45558456975394557,1.6565751295819973,-0.8360578877503801,1.3635165408958223,-2,0.8751643984578692,57.3364424104723,3.4823676954829526,0.0,0.0,0.0,1.0,1.0,Sciences,Ok,Good,0.0,0.0,0.0,0.0,Jessica Samuel,1.0,0.0
44,3.3170227225128937,-0.23275239504854528,1.4016858480318397,4.80443650684066,3.906929161716074,1,2.0595526406367526,35.07998863119567,5.9074489338617475,1.0,2.0,1.0,1.0,2.0,Quantitative,Ok,Good,0.0,0.0,0.0,0.0,James Gaters,0.0,2.0
45,3.105730492443108,-0.45658629815808494,1.8363701974368063,2.0390520580782727,2.360408849316734,-2,3.3347619114262126,0.11377592957884985,8.530471512156712,0.0,0.0,0.0,1.0,1.0,Quantitative,None,Good,0.0,0.0,0.0,0.0,Rhonda Anderson,1.0,0.0
46,3.7032322936891764,0.23809883598631307,2.0509943456788187,2.567057721534934,3.260313542787759,1,1.736442725554534,35.7466809681345,5.758602630723397,0.0,0.0,0.0,1.0,1.0,Engineering,Ok,Good,0.0,0.0,0.0,0.0,Douglas Arias,0.0,0.0
47,3.767387456943717,-0.37494490588441165,2.003643581343166,3.5420012856811187,3.222324376335817,0,4.342206445832015,10.0,10.638308764557681,0.0,0.0,0.0,1.0,1.0,Humanities,None,Good,0.0,0.0,0.0,0.0,Cary Roman,1.0,2.0
48,2.8935139454768266,-0.3925782668884655,1.8909552949510222,0.7688385207086106,2.916804612068211,-1,2.377689811135335,22.26536551226566,6.820728227087094,0.0,0.0,0.0,1.0,1.0,Humanities,Ok,Bad,0.0,0.0,0.0,0.0,Joanne Hardy,1.0,0.0
49,3.125737109260444,0.3104296373758759,1.2601210039738695,5.0824737594250085,2.857508258805003,0,2.505428272674121,15.733798037207487,7.308057997744156,0.0,0.0,0.0,2.0,3.0,Humanities,Ok,Good,0.0,0.0,0.0,0.0,Alice Ames,1.0,2.0
50,2.786405432968861,-0.9139109630536679,2.298447609291161,2.5893346787347635,2.6360975871049726,-2,3.2147317056038096,1.3753381308866608,8.760624819895092,0.0,0.0,0.0,1.0,2.0,Humanities,None,Good,0.0,0.0,0.0,0.0,Sherrie Winslow,1.0,2.0
51,2.81622717895048,-0.5763231369125251,2.415436225098775,2.749904782585191,1.9846930117322057,-2,2.0028066500828285,32.62529971065602,6.062300781505501,0.0,0.0,0.0,2.0,1.0,Quantitative,Ok,Bad,0.0,0.0,0.0,0.0,Ann Munoz,1.0,0.0
52,2.7969715294685775,0.3382925185211281,1.4115150341723386,5.8332475624338205,3.336033777036172,2,3.2882546908341523,10.0,8.811829668542625,1.0,2.0,2.0,1.0,1.0,Engineering,None,Good,0.0,0.0,0.0,0.0,Wesley Miller,0.0,2.0
53,2.4292147318407924,1.7266475164586057,2.1362540547623126,3.9500108432867242,3.846469885012909,2,1.0845619996852927,51.185916121728766,3.8831009094275144,0.0,2.0,0.0,1.0,1.0,Engineering,Very Good,Good,0.0,0.0,0.0,0.0,Robert Calbert,0.0,0.0
54,3.467643554715697,0.921536873068806,1.9002582339066947,3.1016086460758707,4.449310015120203,2,2.486514653249346,13.018801333553913,7.309570425420216,1.0,2.0,1.0,1.0,2.0,Humanities,Very Good,Good,0.0,0.0,0.0,0.0,Tod Caldwell,0.0,0.0
55,3.3235260305650143,-0.196091609879222,2.6069513958209094,3.3286479635614925,3.8920427915756046,2,2.7556312575063613,10.288455671757294,7.321358433159,1.0,0.0,0.0,1.0,1.0,Quantitative,Very Good,Good,0.0,0.0,0.0,0.0,George Henderson,0.0,0.0
56,3.887541176282288,-0.8979543031318419,1.7118802784465406,2.4916456107584963,3.2503191365569313,0,2.6227798173340737,11.967648980200714,7.147819071203752,0.0,0.0,0.0,1.0,2.0,Humanities,Very Good,Good,0.0,0.0,0.0,0.0,Karlene Padgett,1.0,2.0
57,3.9696611245430944,-0.47529335889304336,1.4926874492860156,5.5488786166070785,4.225931455088947,2,2.5671900607228926,14.045949718508705,6.834721121025169,1.0,2.0,1.0,1.0,1.0,Sciences,Ok,Good,0.0,0.0,0.0,0.0,Maria Johnson,1.0,0.0
58,2.8011518923557404,-0.5156202850173681,1.3584328979772544,3.767330307284347,1.5844415290779936,-2,1.8152576914321072,30.707820337956214,6.083547746888584,0.0,0.0,0.0,1.0,1.0,Humanities,None,Bad,0.0,0.0,0.0,0.0,Jennifer Mcqueen,1.0,0.0
59,2.8768988620738436,-0.7959091804616913,1.2116373185345322,7.142884420922014,1.9173724510043844,-2,3.9268819817690956,10.0,10.212678671445753,0.0,0.0,0.0,1.0,1.0,Quantitative,None,Good,0.0,0.0,0.0,0.0,Jamie Fowler,1.0,0.0
