,Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Sex,Age,Education,Educational Prestige,Criminal Record,Arrest Records,LinkedIn Score,Responsible Social Media Use,HireVue Score,origin_Australia,origin_Canada,origin_China,origin_India,origin_Mexico,origin_United States,degree_Engineering,degree_Humanities,degree_None,degree_Quantitative,degree_Sciences,sport_Club/Intramural,sport_NCAA/Professional,sport_None,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Other,Race,Performance
0,Jerry Eike,2.186182924,-1.36,0,1.0,0,0,3,0.163575535,0,24,2,0.3333333333333333,0,1,0.0,1,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.1,0.0,0.0,0.0,0.0,African-American,2
1,David Boyd,3.537560294,-1.08,1,0.75,0,0,3,0.24742795399999998,0,26,1,0.3333333333333333,0,1,1.0,1,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.1,0.0,0.0,0.0,0.0,African-American,2
2,Ethel Butler,2.989846005,-0.7,0,0.5,0,0,4,0.138566007,1,31,1,0.6666666666666666,0,1,0.0,1,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.1,0.0,0.0,0.0,0.0,African-American,2
3,Kelly Duval,2.858011565,-0.6,0,1.0,0,0,3,0.233411938,1,26,1,0.3333333333333333,0,1,0.5,1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.1,0.0,0.0,0.0,0.0,African-American,2
4,Douglas Tibolla,4.006970873999999,-0.5,2,1.0,1,1,3,0.557728485,0,24,1,0.6666666666666666,1,1,0.0,1,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.1,0.0,0.0,0.0,0.0,African-American,3
5,Kathlene Carner,4.063397659,-0.46,1,1.0,0,1,4,0.39205537799999995,1,28,1,0.6666666666666666,0,0,1.0,1,0.5,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.1,0.0,Hispanic,4
6,Kelly Gaddis,3.1869348989999997,-0.4,0,0.5,0,0,3,0.29205537800000003,1,23,1,0.3333333333333333,0,0,0.0,1,0.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.0,0.0,0.1,0.0,0.0,Caucasian,3
7,Shirley Black,3.193994617,-0.4,0,0.0,1,0,2,0.291854245,1,22,1,1.0,0,0,0.0,1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,0.0,0.1,0.0,0.0,Caucasian,2
8,Moses Aguilera,2.671482665,-0.34,0,0.25,0,0,2,0.516282491,0,28,2,0.3333333333333333,0,0,0.0,1,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.1,0.0,0.0,0.0,0.0,African-American,2
9,Valarie Collins,3.538385136,-0.28,0,0.25,1,0,5,0.355885314,1,24,1,0.3333333333333333,0,0,0.5,1,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.1,0.0,0.0,0.0,0.0,African-American,2
10,Janice Baker,3.894808965,-0.28,1,1.0,0,0,4,0.505056353,1,32,2,0.3333333333333333,0,1,0.5,1,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.1,0.0,0.0,0.0,0.0,African-American,3
11,Virginia Cox,2.930320951,-0.26,0,0.5,0,0,5,0.296300371,1,26,0,0.0,0,0,0.0,1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0.1,0.0,0.0,Caucasian,1
12,Ray Cogan,3.5684174239999997,-0.22,2,1.0,0,1,1,0.374790443,0,26,1,0.6666666666666666,0,0,1.0,1,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.0,0.1,0.0,0.0,0.0,Asian,2
13,Casandra Bush,3.001248701,-0.2,0,0.5,1,0,4,0.333567312,1,25,1,0.6666666666666666,0,0,1.0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,0.0,0.1,0.0,0.0,Caucasian,3
