Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Sex,Age,Education,Educational Prestige,Criminal Record,Arrest Records,LinkedIn Score,Responsible Social Media Use,HireVue Score,origin_Australia,origin_Canada,origin_China,origin_India,origin_Mexico,origin_United States,degree_Engineering,degree_Humanities,degree_None,degree_Quantitative,degree_Sciences,sport_Club/Intramural,sport_NCAA/Professional,sport_None,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Other,Job Tenure,Military Tenure,Employee Referrals,Arrest Record,Performance
Janey Olson,4.944346269,22.13000605,0,2.435290265,4.718029696,0,2.96621736,-1.584988099,1,24,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4.033578844,2.392773464,0,0,2
Judith Lim,4.84979273,53.94045871,0,2.807642714,5.510172405,0,8.381630717,0.981746575,1,26,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1.002065155,1.168295161,0,0,2
Natalie Numbers,4.837200062,9.14507734,0,2.44336142,3.200481848,0,1.278758279,-0.857503908,1,31,1,1,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,5.411364054,3.422361643,0,0,-2
Mary Strong,4.626787943,10,2,2.234415441,4.968593109,0,9.401059776,0.644777186,1,28,1,1,0,0,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,8.848106991,4.820166247,1,1,2
Joseph Mcfaul,4.529708304,69.89929675,1,3.295645588,4.709017946,0,6.434618762,0.400775947,0,33,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0.137666866,0.506494693,0,0,2
Craig Warburton,4.512023465,28.83562627,2,2.526638466,5.070572706,0,7.79374859,0.509224562,0,25,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,2.969390142,2.036556981,1,0,2
Tyron Salzman,4.505434152,9.191685396,0,2.418213058,4.102349984,0,3.983814752,-0.759612179,0,26,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,4.08853743,2.687019889,0,0,1
Carlos Nelson,4.475368763,11.44755654,0,2.113984247,4.603885036,0,9.267982334,0.367422424,0,25,1,2,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4.629612741,2.703274308,1,0,2
Mike Jenkins,4.44286233,64.80257878,0,2.405693449,4.976751825,0,5.873775068,-0.19367054,0,25,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.109684474,0.412790511,1,0,2
Eileen Smith,4.414517877,51.39192545,2,0.700249415,4.20960854,0,8.324588437,0.845061442,1,33,1,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0.717931928,0.824300919,1,0,2
