,Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Sex,Age,Education,Educational Prestige,Criminal Record,Arrest Records,LinkedIn Score,Responsible Social Media Use,HireVue Score,origin_Australia,origin_Canada,origin_China,origin_India,origin_Mexico,origin_United States,degree_Engineering,degree_Humanities,degree_None,degree_Quantitative,degree_Sciences,sport_Club/Intramural,sport_NCAA/Professional,sport_None,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Other,Race,Performance
5,Kathlene Carner,4.063397659,-0.46,1,1.0,0,1,4,0.39205537799999995,1,28,1,0.6666666666666666,0,0,1.0,1,0.5,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.1,0.0,Hispanic,4
15,Scott Patterson,3.5470663910000004,-0.12,1,0.75,0,0,3,0.165399075,0,26,1,0.3333333333333333,0,0,1.0,1,0.5,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,0.0,0.1,0.0,0.0,Caucasian,4
71,Oscar Jenkins,3.9725860969999998,0.42,2,0.5,1,1,2,0.26028941899999997,0,22,2,0.6666666666666666,0,0,0.5,1,0.5,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.0,0.0,0.1,0.0,0.0,Caucasian,4
76,Martin Applin,3.731543877,0.44,2,0.5,0,0,4,0.362922663,0,26,2,0.3333333333333333,0,0,0.5,1,0.5,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.1,0.0,0.0,0.0,0.0,African-American,4
103,Janis Frazier,3.5064239130000003,0.58,1,0.0,1,0,3,0.74763328,1,31,2,0.6666666666666666,0,0,0.5,1,0.5,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,0.0,0.1,0.0,0.0,Caucasian,4
119,David Smith,4.087106366,0.66,2,1.0,1,1,5,0.690356573,0,23,2,0.3333333333333333,0,0,0.5,1,0.5,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.1,0.0,0.0,0.0,0.0,African-American,4
127,Howard Penland,3.6606157269999997,0.74,2,1.0,0,0,4,0.425674179,0,29,1,0.3333333333333333,0,0,0.5,1,0.5,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.1,0.0,Hispanic,4
129,Roy Hoffman,3.2173590510000003,0.76,2,0.25,0,0,1,0.41605824700000005,0,22,1,0.6666666666666666,0,0,0.5,1,1.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,0.0,0.1,0.0,0.0,Caucasian,4
137,Moises Hill,3.245478765,0.78,2,0.0,0,0,1,0.657270935,0,28,1,0.6666666666666666,0,0,0.5,1,0.5,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.1,0.0,0.0,Caucasian,4
142,Courtney Wilson,4.260731331000001,0.82,2,1.0,1,1,3,0.985431642,1,28,2,1.0,0,0,1.0,1,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.0,0.0,0.1,0.0,0.0,Caucasian,4
156,Neil Villa,2.676385234,0.88,0,0.25,1,0,5,0.067954917,0,25,2,0.3333333333333333,0,0,1.0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,0.0,0.1,0.0,0.0,Caucasian,4
173,Gloria Weber,4.065148699,0.94,0,1.0,1,1,4,1.102829087,1,33,2,0.6666666666666666,0,0,1.0,1,1.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,0.0,0.1,0.0,0.0,Caucasian,4
175,Thomas Fonseca,3.127396384,0.94,2,0.5,0,0,3,0.693713355,0,27,2,0.3333333333333333,0,0,0.5,1,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,0.0,0.1,0.0,0.0,Caucasian,4
181,James Rotella,3.532020363,0.96,2,0.75,0,0,1,0.44688551299999996,0,24,1,1.0,0,0,0.0,1,1.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,0.0,0.1,0.0,0.0,Caucasian,4
185,Paul Adams,3.2411621569999998,0.96,2,0.0,1,0,2,0.440363925,0,29,2,0.6666666666666666,1,1,0.0,1,1.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.1,Other,4
190,Deon Alverez,3.5068463139999997,1.0,2,0.75,0,0,0,0.300185291,0,23,1,0.6666666666666666,0,0,1.0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.1,Other,4
191,William Mcbryde,3.18793741,1.0,2,0.0,0,0,4,0.48433798,0,25,2,1.0,0,0,0.5,1,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.1,0.0,0.0,Caucasian,4
198,William Edmonson,3.864957309,1.04,2,0.75,0,0,2,0.6867383309999999,0,25,1,1.0,1,1,1.0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,0.0,0.1,0.0,0.0,Caucasian,4
200,George Wright,4.126898096000001,1.04,2,0.75,1,0,5,0.619716845,0,26,1,1.0,0,0,1.0,1,1.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.1,0.0,0.0,Caucasian,4
201,Rosa Anderson,3.547112293,1.04,1,0.25,0,0,3,0.348671035,1,29,2,0.6666666666666666,0,0,0.5,1,1.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.1,0.0,Hispanic,4
209,Amy Gunnels,4.224951992,1.06,1,1.0,1,1,1,0.812474593,1,25,2,1.0,0,0,1.0,1,1.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,0.0,0.1,0.0,0.0,Caucasian,4
249,Melinda Hodges,3.98066456,1.2,2,1.0,1,1,3,0.922883377,1,29,2,0.6666666666666666,0,0,1.0,1,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,0.0,0.1,0.0,0.0,Caucasian,4
252,Fred Houston,2.888195063,1.2,2,0.75,0,0,3,0.23036359899999997,0,27,1,0.3333333333333333,0,0,0.0,1,0.5,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,0.0,0.1,0.0,0.0,Caucasian,4
255,Jack Martini,4.118743395,1.2,2,1.0,1,0,3,0.8987950140000001,0,30,1,1.0,0,0,0.5,1,1.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0.1,0.0,0.0,0.0,0.0,African-American,4
264,Michael Booker,3.394632987,1.24,2,0.75,0,0,2,0.742245122,0,26,2,1.0,0,0,0.5,1,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,0.0,0.1,0.0,0.0,Caucasian,4
281,Nickolas Velez,3.786158725,1.28,2,1.0,1,0,5,0.110190113,0,34,2,0.6666666666666666,0,0,1.0,1,1.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,0.0,0.1,0.0,0.0,Caucasian,4
285,Michael Kincaid,3.57708027,1.3,2,0.0,0,0,3,0.6421439489999999,0,22,1,1.0,0,0,0.5,1,0.5,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,0.1,0.0,0.0,0.0,Asian,4
290,Dawn Csaszar,3.894736525,1.3,0,1.0,0,0,3,0.5493703679999999,1,27,1,0.6666666666666666,0,0,0.0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,0.0,0.1,0.0,0.0,Caucasian,4
297,Michael Cohen,3.113315042,1.32,2,0.75,0,0,3,0.7147790820000001,0,27,2,1.0,0,0,0.0,1,0.5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.0,0.1,0.0,0.0,0.0,Asian,4
