,Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Sex,Age,Education,Educational Prestige,Criminal Record,Arrest Records,LinkedIn Score,Responsible Social Media Use,HireVue Score,origin_Australia,origin_Canada,origin_China,origin_India,origin_Mexico,origin_United States,degree_Engineering,degree_Humanities,degree_None,degree_Quantitative,degree_Sciences,sport_Club/Intramural,sport_NCAA/Professional,sport_None,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Other,Performance
4,Michael Feria,2.5102154018421587,91.15464460302704,1,4,0.0,0.0,3.0,0.3247414175935659,0,31.0,1,3,0.0,0.0,1,1.0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,4
12,Amy Gunnels,4.224951991575663,47.08882333149233,0,4,0.0,0.0,1.0,0.3124745928167152,1,25.0,1,3,0.0,0.0,0,1.0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,4
13,June Crowder,2.9061029864364647,84.67106967226827,1,0,0.0,0.0,5.0,0.12787377482228968,1,30.0,1,2,1.0,1.0,0,1.0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,4
14,Jeffrey Challender,4.095519126530485,1.3674510648531282,2,2,0.0,0.0,3.0,0.47657609717194666,0,32.0,1,3,0.0,0.0,0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4
16,Dorothy Howard,3.148373059800362,30.532830172916043,0,1,0.0,0.0,4.0,0.8367843284024251,1,30.0,2,2,0.0,0.0,2,1.0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,4
19,Andre White,3.246087188730533,7.799538117269179,1,0,0.0,1.0,4.0,0.97246804050958,0,34.0,2,2,0.0,0.0,1,1.0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4
22,Donald Stanford,3.425377191483152,4.505011044536676,2,2,0.0,0.0,4.0,0.5582701778262917,0,29.0,1,2,0.0,0.0,2,1.0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
23,Danny Gugler,2.8094177271290413,31.82309826728719,0,4,1.0,1.0,2.0,0.9590936637922726,0,23.0,2,1,0.0,0.0,0,1.0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,4
25,David Smith,4.087106366198438,15.918928946382406,1,4,0.0,0.0,5.0,0.3903565726932017,0,23.0,2,2,0.0,0.0,1,1.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,4
31,Sherika Ray,3.5618037593211063,13.138254478789076,2,0,0.0,0.0,5.0,0.6930587110647365,1,22.0,1,2,0.0,0.0,0,1.0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,4
42,Michael Cohen,3.1133150423729044,33.8222496522548,2,3,0.0,0.0,3.0,0.7147790820527629,0,27.0,2,3,0.0,0.0,0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,4
48,William Mcbryde,3.1879374100734528,50.21497963756923,2,0,0.0,0.0,4.0,0.4843379796993926,0,25.0,2,3,0.0,0.0,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4
50,Dawn Keels,3.7643296984463515,59.06907470627487,1,4,0.0,0.0,3.0,0.2846591150661581,1,23.0,2,1,0.0,0.0,1,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,4
55,Michael Booker,3.3946329874815975,37.95912953397682,2,3,0.0,0.0,2.0,0.7422451216952921,0,26.0,2,3,0.0,0.0,1,1.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
63,Randall Phillips,3.1880707691230072,76.1825319731646,1,3,0.0,0.0,3.0,0.5773265876352556,0,35.0,1,2,0.0,0.0,1,1.0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,4
64,Olive Figueredo,2.6695911696064387,1.6610324820465792,1,2,0.0,0.0,4.0,0.6489914202151474,1,26.0,1,1,0.0,1.0,2,1.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,4
65,Robert Marks,2.8660659151507226,13.418781349331155,2,2,0.0,0.0,4.0,0.3584961962954105,0,24.0,1,3,0.0,0.0,0,1.0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4
69,George Wright,4.126898095771685,48.15438877912425,0,2,0.0,0.0,5.0,0.619716845178894,0,26.0,1,3,0.0,0.0,1,1.0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4
72,Kelley Lopez,2.8921670630438108,32.102180914420444,0,4,0.0,0.0,4.0,0.8185218082625999,1,22.0,1,2,0.0,0.0,1,1.0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
82,Mary Neal,2.7816142772258337,21.659236288486547,1,2,0.0,0.0,1.0,0.8175665080546023,1,22.0,1,3,0.0,0.0,1,1.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,4
83,William Mccluney,2.615847820115504,58.57555186196929,1,4,0.0,0.0,1.0,0.6273465099409172,0,27.0,2,2,0.0,0.0,2,1.0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,4
90,Gloria Weber,4.065148699477799,53.447122743397685,1,4,0.0,0.0,4.0,1.1028290870538613,1,33.0,2,2,0.0,0.0,2,1.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,4
99,Thomas Fonseca,3.12739638416058,53.31847753114426,2,2,0.0,0.0,3.0,0.6937133551240902,0,27.0,2,1,0.0,0.0,1,1.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,4
