,Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Race,Sex,Age,Birth Origin,Education,Undergraduate Degree,Educational Prestige,Sports,Criminal Record,Arrest Records,LinkedIn Score,Responsible Social Media Use,HireVue Score,scores
55,Michael Brund,0.9372083943289873,0.46193321247694397,1.2,1.0,0.0,0.0,3.0,0.7786082302296405,0,0,24.0,China,0.7,Sciences,0.9,None,-2.0,-1.0,0.4,0.5,1.5,3.861933212476944
384,Brianne Goodie,0.8379312957071959,0.40933327364175026,1.2,1.0,0.0,0.0,2.0,0.38110330305286905,0,1,22.0,United States,0.7,Quantitative,0.9,None,-2.0,-1.0,0.0,0.5,1.5,3.8093332736417502
437,Henry Holt,0.9513202555114281,0.39526051212047847,0.0,1.0,0.0,0.0,2.0,0.0072145163589584895,4,0,24.0,United States,0.7,Quantitative,0.9,None,-0.0,-0.0,0.0,0.5,1.5,3.7952605121204783
198,Karen Laforce,0.8656061016341026,0.38432739921493286,0.6,1.0,0.0,0.0,4.0,0.4294642853545592,0,1,24.0,United States,0.7,Humanities,0.9,Club/Intramural,-0.0,-0.0,0.2,0.5,1.5,3.784327399214933
365,Gregg Hooks,0.8541801133311548,0.37400232543560746,0.0,1.0,0.0,0.0,4.0,0.1896677882451513,0,0,21.0,United States,0.7,Quantitative,0.9,None,-0.0,-0.0,0.0,0.5,1.5,3.774002325435607
270,Linda Briscoe,0.7506841178016492,0.3357270553715876,0.0,1.0,0.0,0.0,2.0,0.7141844007884067,1,1,24.0,United States,0.7,Engineering,0.9,Club/Intramural,-0.0,-0.0,0.4,0.5,1.5,3.7357270553715876
426,Richard Bixby,0.6514837543626413,0.3145758875415093,1.2,1.0,0.8,0.9,4.0,0.5077344962008088,0,0,27.0,United States,0.7,Engineering,0.9,None,-0.0,-0.0,0.4,0.5,1.5,3.714575887541509
385,Dean Schwartz,0.9247212125311025,0.24949642999158833,0.0,1.0,0.0,0.0,1.0,0.5542868485329459,0,1,31.0,United States,0.7,Sciences,0.9,None,-0.0,-0.0,0.0,0.5,1.5,3.649496429991588
316,Leslie Moore,0.8316060085792334,0.45416963206982636,0.0,0.75,0.0,0.0,5.0,0.29287568283752197,0,0,27.0,United States,0.7,Engineering,0.9,None,-0.0,-0.0,0.4,0.5,1.5,3.6041696320698264
395,Grady Koonce,0.7707312667771329,0.20086450580088455,0.0,1.0,0.0,0.0,2.0,0.41451173771750843,0,0,31.0,United States,1.4,Humanities,0.9,Club/Intramural,-0.0,-0.0,0.2,0.5,1.5,3.6008645058008844
