,Unnamed: 0,Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Race,Sex,Age,Birth Origin,Education,Undergraduate Degree,Educational Prestige,Sports,Criminal Record,Arrest Records,LinkedIn Score,Responsible Social Media Use,HireVue Score,scores
204,204,Molly Brickell,0.878719969,2.58,0.0,1.0,0.0,0.9,3.0,0.1959295496,0,1,29,United States,0.7,Humanities,1.5,NCAA/Professional,0,0,0.2,0.5,1.5,4.9
428,428,Erin Mohammad,0.9628258835,1.1400000000000001,2.0,0.5,0.0,0.9,3.0,0.3398180296,0,0,25,United States,0.7,Quantitative,1.5,None,0,0,0.4,0.5,1.5,4.4
492,492,Shirley Morrison,0.772017739,-0.12,0.0,1.0,0.0,0.9,3.0,0.4766000672,0,0,23,United States,0.7,Quantitative,1.0,None,0,0,0.0,0.5,1.5,4.4
99,99,Ray Cogan,0.8921043559999999,-0.33,2.0,1.0,0.0,0.9,1.0,0.37983235439999996,2,0,26,United States,0.7,Engineering,1.0,None,0,0,0.4,0.5,1.5,4.4
9,9,Anthony Ortiz,0.87160349625,2.13,1.0,0.5,0.0,0.9,1.0,0.18567779280000002,4,0,30,United States,0.7,Quantitative,1.5,None,0,0,0.2,0.5,1.5,4.4
67,67,Suzanne Phillips,0.946797765,2.2800000000000002,1.0,0.5,0.8,0.9,3.0,0.4291765976000001,2,1,22,United States,1.4,Quantitative,0.5,None,0,0,0.2,0.5,1.5,4.2
119,119,Joe West,0.7187105570000001,0.51,1.0,0.75,0.8,0.0,5.0,0.36658743680000005,1,0,22,United States,1.4,Humanities,1.0,Club/Intramural,0,0,0.4,0.5,1.5,4.05
451,451,James Boggess,0.8548587205,0.78,2.0,0.75,0.8,0.0,3.0,0.22035702880000005,0,0,25,India,0.7,Quantitative,1.0,None,0,0,0.0,0.5,1.5,4.05
256,256,Lance Olson,0.5701525465,2.31,0.0,0.75,0.8,0.0,4.0,0.43881169200000003,0,0,22,United States,0.7,Sciences,1.0,None,0,0,0.2,0.5,1.5,4.05
373,373,Amy Gunnels,1.056237998,1.59,0.0,1.0,0.0,0.0,1.0,0.24997967440000002,0,1,25,United States,0.7,Humanities,1.5,Club/Intramural,0,0,0.0,0.5,1.5,4.0
366,366,Jorge Smith,0.81484599375,1.62,0.0,1.0,0.0,0.0,0.0,0.28572618720000004,0,0,29,United States,1.4,Engineering,1.5,Club/Intramural,0,0,0.2,0.5,1.5,4.0
268,268,Valerie Denis,0.93581624325,2.2199999999999998,2.0,1.0,0.0,0.0,3.0,0.24947774640000003,0,1,35,China,1.4,Humanities,1.5,None,0,0,0.4,0.5,1.5,4.0
57,57,Dina Jacobs,0.63533650725,2.58,1.0,1.0,0.0,0.0,1.0,0.8140093263999999,2,1,24,United States,0.7,Quantitative,1.5,None,0,0,0.2,0.5,1.5,4.0
219,219,Don Mcfolley,0.8629841,2.4899999999999998,1.0,1.0,0.0,0.0,3.0,0.49767389120000005,0,0,36,United States,0.7,Humanities,1.5,None,0,0,0.2,0.5,1.5,4.0
294,294,Danny Gugler,0.70235443175,2.04,0.0,1.0,0.0,0.9,2.0,0.7672749312000001,0,0,23,United States,1.4,Quantitative,0.5,Club/Intramural,0,0,0.0,0.5,1.5,3.9
261,261,Carissa Schmidt,0.7070664465000001,2.2800000000000002,0.0,0.5,0.0,0.9,6.0,0.5962141496000001,0,1,24,United States,0.7,Humanities,1.0,None,0,0,0.4,0.5,1.5,3.9
15,15,Helen Adams,0.7604272805,1.62,0.0,0.5,0.0,0.9,2.0,0.22480256240000004,4,1,29,United States,0.7,Engineering,1.0,None,0,0,0.0,0.5,1.5,3.9
