,Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Race,Sex,Age,Birth Origin,Education,Undergraduate Degree,Educational Prestige,Sports,Criminal Record,Arrest Records,LinkedIn Score,Responsible Social Media Use,HireVue Score,scores
142,Courtney Wilson,4.260731331000001,0.82,0.2,0.1,0.1,1,3,0.985431642,0,1,28,United States,2,Engineering,1.0,None,0,0,1.0,1,1.0,2.3854316420000004
304,Janet Wisman,4.0705440280000005,1.34,0.2,0.1,0.1,1,0,0.983629236,0,1,25,United States,1,Engineering,0.6666666666666666,Club/Intramural,0,0,1.0,1,1.0,2.383629236
458,Jeffrey Challender,4.095519127,1.9,0.2,0.07500000000000001,0.1,1,3,0.976576097,0,0,32,Mexico,1,Sciences,1.0,Club/Intramural,0,0,1.0,1,1.0,2.351576097
173,Gloria Weber,4.065148699,0.94,0.0,0.1,0.1,1,4,1.102829087,0,1,33,United States,2,Humanities,0.6666666666666666,Club/Intramural,0,0,1.0,1,1.0,2.302829087
427,Oscar Abraham,4.01,1.7,0.2,0.1,0.1,1,3,0.9003200000000001,1,0,24,United States,2,Sciences,1.0,Club/Intramural,0,0,0.5,1,1.0,2.30032
255,Jack Martini,4.118743395,1.2,0.2,0.1,0.1,0,3,0.8987950140000001,1,0,30,United States,1,Engineering,1.0,NCAA/Professional,0,0,0.5,1,1.0,2.2987950140000004
455,Lisette Mccage,4.270793072,1.9,0.2,0.07500000000000001,0.1,1,2,0.9234250759999999,0,1,24,United States,2,Sciences,1.0,NCAA/Professional,0,0,1.0,1,1.0,2.298425076
359,Ralph Ng,3.868109102,1.52,0.2,0.1,0.1,1,3,0.883572276,2,0,28,United States,2,Sciences,0.6666666666666666,None,0,0,0.5,1,1.0,2.283572276
469,Jason Miller,3.64441768,1.9,0.2,0.1,0.1,1,4,0.8801833040000001,0,0,21,United States,2,Quantitative,0.6666666666666666,Club/Intramural,0,0,0.5,1,1.0,2.2801833040000004
466,Holly Patterson,3.787564967,1.9,0.2,0.07500000000000001,0.1,1,4,0.87922556,2,1,25,United States,1,Quantitative,0.3333333333333333,Club/Intramural,0,0,1.0,1,1.0,2.25422556
459,Shannon Yeater,4.048154057,1.9,0.2,0.07500000000000001,0.1,1,1,0.865285808,2,1,26,United States,1,Quantitative,1.0,Club/Intramural,0,0,1.0,1,1.0,2.240285808
318,Glen Burton,4.051628272,1.38,0.2,0.1,0.1,1,4,0.833905969,0,0,25,Mexico,2,Sciences,0.6666666666666666,None,0,0,1.0,1,1.0,2.2339059690000003
461,Deanna Graves,4.010679543,1.9,0.2,0.07500000000000001,0.0,1,3,0.9578420059999999,0,1,24,United States,1,Sciences,0.6666666666666666,None,1,1,1.0,1,1.0,2.232842006
295,Jane Button,3.82,1.32,0.1,0.1,0.1,1,3,0.932,2,1,29,United States,1,Quantitative,1.0,Club/Intramural,0,0,1.0,1,1.0,2.232
418,Jose Sipe,4.045516333,1.68,0.2,0.1,0.1,1,3,0.8264515459999999,0,0,24,United States,2,Engineering,0.3333333333333333,None,0,1,1.0,1,1.0,2.226451546
429,Dina Jacobs,2.541346029,1.72,0.1,0.1,0.0,0,1,1.0175116579999999,2,1,24,United States,1,Quantitative,1.0,None,0,0,0.5,1,1.0,2.217511658
457,Frank Kutz,4.098691441000001,1.9,0.2,0.07500000000000001,0.1,1,1,0.837501257,0,0,32,United States,1,Humanities,0.6666666666666666,None,0,0,0.5,1,1.0,2.212501257
246,Hal Crowson,2.7684794839999998,1.2,0.2,0.0,0.0,0,2,1.010933334,0,0,22,United States,1,Humanities,0.3333333333333333,None,0,0,0.0,1,1.0,2.210933334
242,Shaun Kelly,2.797561304,1.18,0.2,0.07500000000000001,0.1,0,5,0.805972492,0,0,24,United States,0,None,0.0,None,0,0,0.5,1,1.0,2.180972492
460,Dennis Bazan,4.041063233,1.9,0.1,0.025,0.1,1,1,0.943379944,4,0,31,United States,2,Sciences,0.3333333333333333,None,0,0,0.5,1,1.0,2.1683799440000002
468,Morgan Guzman,3.647168025,1.9,0.2,0.07500000000000001,0.1,1,4,0.790565635,0,1,25,United States,1,Sciences,0.6666666666666666,Club/Intramural,0,0,0.5,1,1.0,2.165565635
298,Gregory Horn,3.217613287,1.32,0.0,0.05,0.0,0,4,1.105482587,0,0,23,United States,1,Sciences,1.0,None,0,0,0.5,1,1.0,2.155482587
391,Lana Hernandez,3.9612223280000003,1.62,0.2,0.1,0.1,1,4,0.735149287,0,1,22,United States,2,Humanities,0.6666666666666666,Club/Intramural,0,0,1.0,1,1.0,2.135149287
462,Bennie Larson,3.9831975269999997,1.9,0.2,0.1,0.1,1,4,0.728367628,0,0,28,United States,2,Quantitative,0.3333333333333333,None,1,1,0.0,1,1.0,2.1283676280000003
456,Michael Utecht,4.129336017,1.9,0.1,0.1,0.1,1,2,0.827376252,0,0,28,United States,2,Sciences,1.0,None,0,0,0.5,1,1.0,2.127376252
232,George Farrell,3.493804687,1.16,0.0,0.05,0.0,0,3,1.076397702,0,0,24,United States,1,Engineering,0.3333333333333333,None,0,0,0.0,1,1.0,2.1263977020000002
442,John Harris,2.105994351,1.74,0.2,0.07500000000000001,0.0,0,4,0.847111442,0,0,22,United States,1,Sciences,1.0,NCAA/Professional,0,0,1.0,1,1.0,2.122111442
209,Amy Gunnels,4.224951992,1.06,0.1,0.1,0.1,1,1,0.812474593,0,1,25,United States,2,Humanities,1.0,Club/Intramural,0,0,1.0,1,1.0,2.112474593
356,Suzanne Phillips,3.78719106,1.52,0.2,0.07500000000000001,0.1,1,3,0.736470747,2,1,22,United States,2,Quantitative,0.6666666666666666,None,0,0,1.0,1,1.0,2.1114707470000003
454,Phillip Goers,4.279468612,1.9,0.2,0.07500000000000001,0.1,1,2,0.704426172,2,0,24,United States,2,Engineering,1.0,Club/Intramural,0,0,1.0,1,1.0,2.079426172
389,Thomas Branham,4.114741026,1.6,0.1,0.1,0.1,1,4,0.77418076,0,0,22,United States,1,Quantitative,0.3333333333333333,None,0,0,1.0,1,1.0,2.07418076
475,Andre White,3.246087189,1.9,0.1,0.0,0.0,1,4,0.972468041,0,0,34,Mexico,2,Sciences,0.6666666666666666,None,0,0,0.5,1,1.0,2.072468041
260,Dexter Taormina,3.429425205,1.22,0.0,0.0,0.0,0,3,1.0611570609999998,0,0,24,United States,1,Engineering,0.3333333333333333,None,0,0,0.5,1,1.0,2.061157061
311,Danny Gugler,2.809417727,1.36,0.0,0.1,0.0,1,2,0.9590936640000001,0,0,23,United States,2,Quantitative,0.3333333333333333,Club/Intramural,0,0,0.0,1,1.0,2.059093664
393,Joyce Phillips,4.0597950339999995,1.62,0.2,0.07500000000000001,0.1,1,2,0.64452378,0,1,30,United States,1,Humanities,0.6666666666666666,Club/Intramural,0,0,0.0,1,1.0,2.01952378
474,Phoebe Snyder,3.4135475439999996,1.9,0.2,0.07500000000000001,0.0,0,6,0.7248685140000001,0,1,25,India,1,Quantitative,0.6666666666666666,None,0,0,0.0,1,1.0,1.999868514
200,George Wright,4.126898096000001,1.04,0.2,0.07500000000000001,0.1,0,5,0.619716845,0,0,26,India,1,Sciences,1.0,Club/Intramural,0,0,1.0,1,1.0,1.9947168450000001
485,John Boudreaux,2.966233941,1.9,0.1,0.025,0.0,0,0,0.865651251,0,0,30,United States,1,Engineering,0.6666666666666666,None,0,1,0.5,1,1.0,1.990651251
276,Martha Stockwell,2.109623563,1.28,0.1,0.0,0.0,0,6,0.855921285,0,1,26,United States,1,Humanities,0.6666666666666666,None,0,0,0.0,1,1.0,1.955921285
406,William Hershenson,3.8678952160000004,1.64,0.2,0.1,0.0,0,2,0.649267798,0,0,23,Canada,1,Engineering,0.3333333333333333,NCAA/Professional,0,0,0.5,1,1.0,1.9492677980000002
199,Evelyn Water,2.9230714460000002,1.04,0.1,0.05,0.0,0,3,0.786270276,2,1,36,United States,2,Sciences,0.6666666666666666,None,0,0,0.5,1,1.0,1.936270276
322,William Zuehlke,3.489832152,1.4,0.2,0.05,0.0,1,2,0.680185954,0,0,31,United States,1,Engineering,0.3333333333333333,None,0,0,1.0,1,1.0,1.9301859540000001
309,Kelley Lopez,2.892167063,1.36,0.0,0.1,0.0,0,4,0.818521808,0,1,22,United States,1,Sciences,0.6666666666666666,Club/Intramural,0,0,0.5,1,1.0,1.918521808
179,Patricia Soto,2.664510549,0.96,0.1,0.1,0.0,0,1,0.71549512,0,1,25,United States,1,Humanities,0.6666666666666666,None,0,0,0.5,1,1.0,1.91549512
320,Lance Milligan,3.3335832930000002,1.4,0.1,0.05,0.0,0,2,0.765044753,0,0,23,United States,0,None,0.0,None,0,0,0.5,1,1.0,1.9150447529999999
327,Christopher Burcham,3.316920442,1.42,0.1,0.1,0.0,0,2,0.712706506,4,0,27,United States,0,None,0.0,None,0,0,1.0,1,1.0,1.912706506
275,Verna Bottom,1.953348031,1.28,0.0,0.025,0.0,0,4,0.8861061579999999,0,1,32,United States,1,Quantitative,0.6666666666666666,None,0,0,0.0,1,1.0,1.911106158
224,Lucille Ivey,2.860370235,1.1,0.0,0.1,0.1,0,0,0.703056065,3,1,22,India,1,Humanities,0.3333333333333333,None,0,0,0.5,1,1.0,1.9030560650000001
254,Cynthia Hinojos,3.367518987,1.2,0.1,0.07500000000000001,0.0,0,4,0.72415233,0,1,24,United States,1,Quantitative,0.6666666666666666,None,0,0,0.0,1,1.0,1.8991523300000002
439,Sherika Ray,3.5618037589999996,1.74,0.2,0.0,0.0,0,5,0.6930587109999999,0,1,22,United States,1,Humanities,0.6666666666666666,Club/Intramural,0,0,0.0,1,1.0,1.893058711
291,Madeleine Brown,1.989914763,1.3,0.1,0.07500000000000001,0.0,0,3,0.7133202,0,1,24,United States,1,Sciences,0.6666666666666666,NCAA/Professional,0,0,0.5,1,1.0,1.8883202
323,Freddie Wearing,3.7119760360000003,1.4,0.2,0.07500000000000001,0.0,0,1,0.60601734,1,0,23,United States,1,Humanities,0.3333333333333333,None,1,1,0.0,1,1.0,1.8810173399999999
